umbral,coste,senales_validacion_2023,cobertura_validacion_2023,precision_validacion_2023,recall_validacion_2023,f1_validacion_2023,precision_lift_validacion_2023,operaciones_no_solapadas_validacion_2023,operaciones_por_dia_validacion_2023,tasa_retorno_positivo_validacion_2023,retorno_neto_medio_validacion_2023,retorno_neto_mediano_validacion_2023,factor_beneficio_validacion_2023,maximo_drawdown_validacion_2023,pr_auc_validacion_2023,pr_auc_lift_validacion_2023,senales_validacion_2024,cobertura_validacion_2024,precision_validacion_2024,recall_validacion_2024,f1_validacion_2024,precision_lift_validacion_2024,operaciones_no_solapadas_validacion_2024,operaciones_por_dia_validacion_2024,tasa_retorno_positivo_validacion_2024,retorno_neto_medio_validacion_2024,retorno_neto_mediano_validacion_2024,factor_beneficio_validacion_2024,maximo_drawdown_validacion_2024,pr_auc_validacion_2024,pr_auc_lift_validacion_2024,senales_minimo,senales_medio,senales_diferencia,cobertura_minimo,cobertura_medio,cobertura_diferencia,precision_minimo,precision_medio,precision_diferencia,recall_minimo,recall_medio,recall_diferencia,f1_minimo,f1_medio,f1_diferencia,precision_lift_minimo,precision_lift_medio,precision_lift_diferencia,operaciones_no_solapadas_minimo,operaciones_no_solapadas_medio,operaciones_no_solapadas_diferencia,operaciones_por_dia_minimo,operaciones_por_dia_medio,operaciones_por_dia_diferencia,tasa_retorno_positivo_minimo,tasa_retorno_positivo_medio,tasa_retorno_positivo_diferencia,retorno_neto_medio_minimo,retorno_neto_medio_medio,retorno_neto_medio_diferencia,retorno_neto_mediano_minimo,retorno_neto_mediano_medio,retorno_neto_mediano_diferencia,factor_beneficio_minimo,factor_beneficio_medio,factor_beneficio_diferencia,maximo_drawdown_minimo,maximo_drawdown_medio,maximo_drawdown_diferencia,pr_auc_minimo,pr_auc_medio,pr_auc_diferencia,pr_auc_lift_minimo,pr_auc_lift_medio,pr_auc_lift_diferencia,simbolo,objetivo,variante,tipo_modelo,retorno_neto_medio_minimo_coste_020,factor_beneficio_minimo_coste_020,cumple_minimo,puntuacion
0.87,0.001,1,1.916905960427393e-06,1.0,8.474719910506958e-06,1.6949296180476107e-05,4.421041034593807,1,0.0027422355694613,1.0,0.0089999997764825,0.0089999997764825,inf,0.0,0.2818083900799256,1.2458864564361696,2,3.798237617745366e-06,1.0,1.35000135000135e-05,2.6999662504218698e-05,3.554283554283554,1,0.0027347362783657,1.0,0.0089999997764825,0.0089999997764825,inf,0.0,0.3275446034618342,1.1641863973787254,1,1.5,1,1.916905960427393e-06,2.8575717890863796e-06,1.8813316573179728e-06,1.0,1.0,0.0,8.474719910506958e-06,1.0987366705260228e-05,5.025293589506542e-06,1.6949296180476107e-05,2.19744793423474e-05,1.005036632374259e-05,3.554283554283554,3.9876622944386804,0.8667574803102527,1,1.0,0,0.0027347362783657,0.0027384859239135,7.4992910956001024e-06,1.0,1.0,0.0,0.0089999997764825,0.0089999997764825,0.0,0.0089999997764825,0.0089999997764825,0.0,inf,inf,,0.0,0.0,0.0,0.2818083900799256,0.30467649677087993,0.04573621338190864,1.1641863973787254,1.2050364269074474,0.08170005905744415,BTCUSDT,largo_tp100_sl050_480m,sgd_moderado,sgd,0.0079999997764825,inf,False,inf
0.88,0.001,1,1.916905960427393e-06,1.0,8.474719910506958e-06,1.6949296180476107e-05,4.421041034593807,1,0.0027422355694613,1.0,0.0089999997764825,0.0089999997764825,inf,0.0,0.2818083900799256,1.2458864564361696,1,1.899118808872683e-06,1.0,6.75000675000675e-06,1.3499922375446342e-05,3.554283554283554,1,0.0027347362783657,1.0,0.0089999997764825,0.0089999997764825,inf,0.0,0.3275446034618342,1.1641863973787254,1,1.0,0,1.899118808872683e-06,1.908012384650038e-06,1.778715155471017e-08,1.0,1.0,0.0,6.75000675000675e-06,7.612363330256854e-06,1.7247131605002078e-06,1.3499922375446342e-05,1.5224609277961225e-05,3.449373805029765e-06,3.554283554283554,3.9876622944386804,0.8667574803102527,1,1.0,0,0.0027347362783657,0.0027384859239135,7.4992910956001024e-06,1.0,1.0,0.0,0.0089999997764825,0.0089999997764825,0.0,0.0089999997764825,0.0089999997764825,0.0,inf,inf,,0.0,0.0,0.0,0.2818083900799256,0.30467649677087993,0.04573621338190864,1.1641863973787254,1.2050364269074474,0.08170005905744415,BTCUSDT,largo_tp100_sl050_480m,sgd_moderado,sgd,0.0079999997764825,inf,False,inf
0.65,0.001,70,0.0001340895986698,0.3428571428571428,0.0002150653260928,0.0004298610116062,1.60389268240228,6,0.0164421413605491,0.5,0.0006617396710595,0.0019852191510144,1.494477557452963,-0.0079840000519454,0.3273470757634776,1.5313362733165772,1,1.897821301146284e-06,1.0,6.662003264381599e-06,1.3323917764779556e-05,3.5103427600679526,1,0.0027328678601454,1.0,0.0039999998882412,0.0039999998882412,inf,0.0,0.3515532621225506,1.2340724484701668,1,35.5,69,1.897821301146284e-06,6.799370998547315e-05,0.00013219177736865372,0.3428571428571428,0.6714285714285714,0.6571428571428573,6.662003264381599e-06,0.0001108636646785908,0.0002084033228284184,1.3323917764779556e-05,0.0002215924646854898,0.00041653709384142045,1.60389268240228,2.5571177212351164,1.9064500776656728,1,3.5,5,0.0027328678601454,0.00958750461034725,0.013709273500403702,0.5,0.75,0.5,0.0006617396710595,0.00233086977965035,0.0033382602171816997,0.0019852191510144,0.0029926095196278002,0.0020147807372268,1.494477557452963,inf,inf,-0.0079840000519454,-0.0039920000259727,0.0079840000519454,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb,-0.0003382603289404,0.8159888814998133,False,0.06682301949954542
0.72,0.001,584,0.0011189497200709,0.3527397260273973,0.0018599275892268,0.0037003439882882,1.662208369031006,16,0.0438557253230648,0.5,0.001055922501313,-6.415809527970853e-05,1.864915135122515,-0.012187635498625,0.2897648727478278,1.3654532251216702,11,2.088078967350038e-05,0.0909090909090909,6.944155104648417e-06,1.3887249421943244e-05,0.3325619008298897,2,0.0054669807649596,0.5,0.0019504006379283,0.0019504006379283,2.8582332532363424,0.0,0.322641199183896,1.1802798753529464,11,297.5,573,2.088078967350038e-05,0.0005699152548722002,0.0010980689303973995,0.0909090909090909,0.22182440846824408,0.2618306351183064,6.944155104648417e-06,0.0009334358721657242,0.0018529834341221517,1.3887249421943244e-05,0.0018571156188550717,0.0036864567388662567,0.3325619008298897,0.9973851349304479,1.3296464682011164,2,9.0,14,0.0054669807649596,0.0246613530440122,0.0383887445581052,0.5,0.5,0.0,0.001055922501313,0.00150316156962065,0.0008944781366153,-6.415809527970853e-05,0.0009431212713242957,0.0020145587332080087,1.864915135122515,2.3615741941794286,0.9933181181138273,-0.012187635498625,-0.0060938177493125,0.012187635498625,0.2897648727478278,0.3062030359658619,0.03287632643606819,1.1802798753529464,1.2728665502373082,0.1851733497687238,BTCUSDT,largo_tp070_sl035_240m,histgb_moderado,histgb,5.59225013130344e-05,1.030742229983334,False,0.05756847141574656
0.57,0.001,75,0.000143767947032,0.6,0.0003813623959728,0.0007622403089614,2.652624620756284,4,0.0109689422778455,0.5,0.0026072559305466,0.0037145119169726,2.3775005963946296,-0.0059999998882411,0.272940986791253,1.2066833026266557,20,3.798237617745366e-05,0.2,2.7000027000027e-05,5.399276496949409e-05,0.7108567108567109,2,0.0054694725567315,0.5,0.0014999999441206,0.0014999999441206,1.499999990686774,0.0,0.3267091565946254,1.1612169823181278,20,47.5,55,3.798237617745366e-05,9.087516160472682e-05,0.00010578557085454634,0.2,0.4,0.39999999999999997,2.7000027000027e-05,0.0002041812114864135,0.000354362368972773,5.399276496949409e-05,0.0004081165369654471,0.000708247543991906,0.7108567108567109,1.6817406658064975,1.941767909899573,2,3.0,2,0.0054694725567315,0.0082192074172885,0.005499469721114001,0.5,0.5,0.0,0.0014999999441206,0.0020536279373336,0.001107255986426,0.0014999999441206,0.0026072559305466,0.002214511972852,1.499999990686774,1.9387502935407017,0.8775006057078556,-0.0059999998882411,-0.00299999994412055,0.0059999998882411,0.272940986791253,0.2998250716929392,0.0537681698033724,1.1612169823181278,1.1839501424723917,0.04546632030852793,BTCUSDT,largo_tp100_sl050_480m,sgd_sin_pesos,sgd,0.0004999999441206,1.1428571291724028,False,0.04320858869667937
0.75,0.001,37,7.092552053581355e-05,0.2702702702702703,8.474719910506958e-05,0.0001694412674206,1.1948759552956234,5,0.0137111778473069,0.4,0.0009600459985667,-0.0011997697836486,1.3636601359566607,-0.0119639997778236,0.2818083900799256,1.2458864564361696,343,0.0006513977514433,0.2857142857142857,0.0006615006615006,0.0013199453165511,1.0155095869381583,4,0.010938945113463,0.75,0.0052499998603016,0.0089999997764825,4.499999972060322,-0.0059999998882412,0.3275446034618342,1.1641863973787254,37,190.0,306,7.092552053581355e-05,0.0003611616359895568,0.0005804722309074864,0.2702702702702703,0.277992277992278,0.015444015444015413,8.474719910506958e-05,0.0003731239303028348,0.0005767534623955304,0.0001694412674206,0.00074469329198585,0.0011505040491305001,1.0155095869381583,1.105192771116891,0.1793663683574651,4,4.5,1,0.010938945113463,0.012325061480384949,0.0027722327338439,0.4,0.575,0.35,0.0009600459985667,0.00310502292943415,0.0042899538617349,-0.0011997697836486,0.00390011499641695,0.0101997695601311,1.3636601359566607,2.931830054008491,3.1363398361036614,-0.0119639997778236,-0.008981999833032401,0.0059639998895824,0.2818083900799256,0.30467649677087993,0.04573621338190864,1.1641863973787254,1.2050364269074474,0.08170005905744415,BTCUSDT,largo_tp100_sl050_480m,sgd_moderado,sgd,-3.995400143321608e-05,0.9876683426622485,False,0.035345015873533565
0.76,0.001,29,5.559027285239441e-05,0.2068965517241379,5.084831946304175e-05,0.0001016716514017,0.9146981450883738,5,0.0137111778473069,0.4,0.0009600459985667,-0.0011997697836486,1.3636601359566607,-0.0119639997778236,0.2818083900799256,1.2458864564361696,321,0.0006096171376481,0.2679127725856697,0.0005805005805005,0.0011584909981208,0.9522379615837558,4,0.010938945113463,0.5,0.0014999999441206,0.0014999999441206,1.499999990686774,-0.0059999998882412,0.3275446034618342,1.1641863973787254,29,175.0,292,5.559027285239441e-05,0.0003326037052502472,0.0005540268647957055,0.2068965517241379,0.2374046621549038,0.0610162208615318,5.084831946304175e-05,0.00031567444998177087,0.0005296522610374582,0.0001016716514017,0.00063008132476125,0.0010568193467191001,0.9146981450883738,0.9334680533360649,0.03753981649538207,4,4.5,1,0.010938945113463,0.012325061480384949,0.0027722327338439,0.4,0.45,0.09999999999999998,0.0009600459985667,0.00123002297134365,0.0005399539455539,-0.0011997697836486,0.00015011508023599995,0.0026997697277692002,1.3636601359566607,1.4318300633217174,0.13633985473011334,-0.0119639997778236,-0.008981999833032401,0.0059639998895824,0.2818083900799256,0.30467649677087993,0.04573621338190864,1.1641863973787254,1.2050364269074474,0.08170005905744415,BTCUSDT,largo_tp100_sl050_480m,sgd_moderado,sgd,-3.995400143321608e-05,0.9876683426622485,False,0.033070672601276226
0.62,0.001,235,0.0004501579383915,0.4127659574468085,0.000869222359625,0.0017347915120407,1.9309275378566453,21,0.0575474947619219,0.5238095238095238,0.0004620022058287,0.0009370435038581,1.3314714531019969,-0.0123442143209674,0.3273470757634776,1.5313362733165772,91,0.0001727017384043,0.2527472527472527,0.0001532260750807,0.0003062664784681,0.8872294888083836,9,0.0245958107413093,0.6666666666666666,0.0010420940062548,0.0030200622752308,1.9596779134629048,-0.0079840000519455,0.3515532621225506,1.2340724484701668,91,163.0,144,0.0001727017384043,0.0003114298383979,0.0002774561999872,0.2527472527472527,0.3327566050970306,0.1600187046995558,0.0001532260750807,0.00051122421735285,0.0007159962845443,0.0003062664784681,0.0010205289952544,0.0014285250335726,0.8872294888083836,1.4090785133325143,1.0436980490482617,9,15.0,12,0.0245958107413093,0.0410716527516156,0.0329516840206126,0.5238095238095238,0.5952380952380952,0.1428571428571428,0.0004620022058287,0.00075204810604175,0.0005800918004261,0.0009370435038581,0.00197855288954445,0.0020830187713727,1.3314714531019969,1.645574683282451,0.6282064603609079,-0.0123442143209674,-0.01016410718645645,0.0043602142690219,0.3273470757634776,0.3394501689430141,0.024206186359073012,1.2340724484701668,1.382704360893372,0.29726382484641034,BTCUSDT,largo_tp050_sl030_120m,histgb_moderado,histgb,-0.0005379977941712,0.7127584253313418,False,0.030700201768311623
0.56,0.001,82,0.000157186288755,0.5975609756097561,0.0004152612756148,0.0008299457994579,2.6418415938426403,5,0.0137111778473069,0.4,0.000885804766789,-0.0015709759425371,1.3263600146110424,-0.0119639997778234,0.272940986791253,1.2066833026266557,25,4.747797022181708e-05,0.24,4.05000405000405e-05,8.098641452896276e-05,0.853028053028053,2,0.0054694725567315,0.5,0.0014999999441206,0.0014999999441206,1.499999990686774,0.0,0.3267091565946254,1.1612169823181278,25,53.5,57,4.747797022181708e-05,0.00010233212948840853,0.00010970831853318292,0.24,0.41878048780487803,0.3575609756097561,4.05000405000405e-05,0.00022788065805742026,0.0003747612351147595,8.098641452896276e-05,0.00045546610699343133,0.0007489593849289372,0.853028053028053,1.7474348234353467,1.7888135408145873,2,3.5,3,0.0054694725567315,0.0095903252020192,0.008241705290575399,0.4,0.45,0.09999999999999998,0.000885804766789,0.0011929023554548,0.0006141951773315999,-0.0015709759425371,-3.548799920825006e-05,0.0030709758866577,1.3263600146110424,1.4131800026489083,0.17363997607573167,-0.0119639997778234,-0.0059819998889117,0.0119639997778234,0.272940986791253,0.2998250716929392,0.0537681698033724,1.1612169823181278,1.1839501424723917,0.04546632030852793,BTCUSDT,largo_tp100_sl050_480m,sgd_sin_pesos,sgd,-0.0001141952332109,0.9655436001032064,False,0.027419911266472648
0.58,0.001,65,0.0001245988874277,0.6,0.0003305140765097,0.0006606642216443,2.652624620756284,3,0.0082267067083841,0.3333333333333333,0.0006000767015308,-0.0011997697836486,1.2500399577532686,-0.007192571053322,0.272940986791253,1.2066833026266557,12,2.27894257064722e-05,0.25,2.025002025002025e-05,4.049676025917927e-05,0.8885708885708885,2,0.0054694725567315,0.5,0.0014999999441206,0.0014999999441206,1.499999990686774,0.0,0.3267091565946254,1.1612169823181278,12,38.5,53,2.27894257064722e-05,7.36941565670861e-05,0.0001018094617212278,0.25,0.425,0.35,2.025002025002025e-05,0.00017538204837986012,0.0003102640562596798,4.049676025917927e-05,0.0003505804909517396,0.0006201674613851207,0.8885708885708885,1.7705977546635863,1.7640537321853955,2,2.5,1,0.0054694725567315,0.0068480896325577995,0.0027572341516526,0.3333333333333333,0.41666666666666663,0.16666666666666669,0.0006000767015308,0.0010500383228256999,0.0008999232425898,-0.0011997697836486,0.00015011508023599995,0.0026997697277692002,1.2500399577532686,1.3750199742200213,0.24996003293350544,-0.007192571053322,-0.003596285526661,0.007192571053322,0.272940986791253,0.2998250716929392,0.0537681698033724,1.1612169823181278,1.1839501424723917,0.04546632030852793,BTCUSDT,largo_tp100_sl050_480m,sgd_sin_pesos,sgd,-0.0003999232984691,0.8695869637830947,False,0.021361440578171704
