variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,0.01561922,-0.2179066,0.14104557,0.2179066
cuerpo_relativo,-0.031122923,0.029629393,-0.080540806,0.080540806
mecha_superior_relativa,-0.111382335,-0.0736837,-0.026637085,0.111382335
mecha_inferior_relativa,-0.02007496,-0.05772886,-0.036224063,0.05772886
rendimiento_1m,-0.0635338,-0.117355995,-0.0134571185,0.117355995
rendimiento_5m,-0.06267764,-0.06156089,0.047018956,0.06267764
volatilidad_5m,0.07477203,0.04468504,-0.05331541,0.07477203
desviacion_media_cierre_5m,0.076818705,0.038789883,-0.03462556,0.076818705
volumen_relativo_5m,0.10459606,-0.013086351,-0.000102960366,0.10459606
operaciones_relativas_5m,-0.0021956,0.056485284,-0.062015638,0.062015638
rendimiento_15m,0.048654642,-0.009573293,-0.05744087,0.05744087
volatilidad_15m,-0.0501914,-0.029835463,-0.04658328,0.0501914
desviacion_media_cierre_15m,0.07443062,0.107935,-0.062583454,0.107935
volumen_relativo_15m,-0.08824796,0.0036517605,0.08679563,0.08824796
operaciones_relativas_15m,-0.076954246,0.03902512,-0.09058633,0.09058633
rendimiento_30m,-0.00019540715,0.037802424,0.09608758,0.09608758
volatilidad_30m,-0.12715232,-0.17743015,0.061826788,0.17743015
desviacion_media_cierre_30m,-0.048358653,0.047070663,-0.114330634,0.114330634
volumen_relativo_30m,-0.11928712,-0.08540861,0.028057681,0.11928712
operaciones_relativas_30m,-0.0689305,0.06582645,-0.010611934,0.0689305
rendimiento_60m,-0.07950345,-0.049505495,0.09570789,0.09570789
volatilidad_60m,0.02862645,-0.0064194337,-0.09884432,0.09884432
desviacion_media_cierre_60m,-0.07849581,0.07697034,0.036595646,0.07849581
volumen_relativo_60m,0.08444491,-0.031252973,0.06466133,0.08444491
operaciones_relativas_60m,-0.13781454,0.067045875,0.09805622,0.13781454
rendimiento_240m,-0.0060918285,-0.08507592,0.035490703,0.08507592
volatilidad_240m,0.0640697,-0.497707,0.25746068,0.497707
desviacion_media_cierre_240m,0.002742153,0.07887463,-0.10563024,0.10563024
volumen_relativo_240m,0.119084604,0.05012589,-0.015393469,0.119084604
operaciones_relativas_240m,0.1639131,-0.048027176,-0.02601833,0.1639131
minuto_dia_seno,0.0120644355,-0.010902778,0.04019226,0.04019226
minuto_dia_coseno,-0.011725616,0.12489991,-0.012947031,0.12489991
dia_semana_seno,0.047247402,-0.0031223083,0.022481414,0.047247402
dia_semana_coseno,0.06382371,0.011428422,0.049161207,0.06382371
otro_rendimiento_1m,-0.11026098,-0.10691151,0.008326942,0.11026098
divergencia_rendimiento_1m,0.06583788,-0.054042954,0.079206996,0.079206996
divergencia_rendimiento_60m,0.12932363,-0.040524602,-0.095732294,0.12932363
otro_rendimiento_240m,-0.056691393,-0.0770342,0.075386524,0.0770342
divergencia_rendimiento_240m,0.04588604,-0.045857828,-0.01942323,0.04588604
otro_volatilidad_60m,-0.10762465,-0.022648618,0.1926788,0.1926788
ratio_volatilidad_60m,-0.048766878,0.083791345,-0.07498604,0.083791345
otro_volatilidad_240m,0.18993592,0.011037508,-0.33586282,0.33586282
ratio_volatilidad_240m,0.16773519,-0.12982954,-0.13864055,0.16773519
correlacion_btc_eth_60m,0.0058951834,0.066500776,-0.0014857049,0.066500776
beta_propio_otro_60m,0.039090537,0.0033789086,0.06848289,0.06848289
residual_propio_otro_60m,-0.007246165,-0.06365813,0.027626462,0.06365813
correlacion_btc_eth_240m,-0.0027745375,-0.01915974,0.0188856,0.01915974
beta_propio_otro_240m,-0.1999785,0.17435029,0.062477797,0.1999785
residual_propio_otro_240m,-0.082256265,0.1209449,-0.006662984,0.1209449
correlacion_btc_eth_1440m,0.08932475,0.0064431364,0.01830596,0.08932475
beta_propio_otro_1440m,0.06035634,-0.09859816,0.011948109,0.09859816
residual_propio_otro_1440m,0.026132401,-0.047529876,-0.07289455,0.07289455
