modelo,muestras,accuracy,balanced_accuracy,f1_macro
SGDClassifier control V1 mismas filas,525360,0.43354081011116186,0.39982499881381206,0.361880135229804
DummyClassifier (most_frequent),525360,0.3917123496269225,0.3333333333333333,0.1876404750507192
