variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,-0.026357045,-0.14813791,0.09693389,0.14813791
cuerpo_relativo,0.11601207,-0.07756004,-0.10191964,0.11601207
mecha_superior_relativa,-0.03369221,-0.009063634,0.037928842,0.037928842
mecha_inferior_relativa,-0.018120043,-0.0029568246,0.025519058,0.025519058
rendimiento_1m,-0.07273888,0.05021205,0.05671988,0.07273888
rendimiento_5m,-0.039340302,0.018034274,0.0026089977,0.039340302
volatilidad_5m,0.030519413,-0.0109120235,0.035830818,0.035830818
desviacion_media_cierre_5m,0.027189674,-0.0066399556,-0.000982557,0.027189674
volumen_relativo_5m,0.010022592,0.014549193,0.039981194,0.039981194
operaciones_relativas_5m,0.00626505,0.032726847,-0.030896181,0.032726847
rendimiento_15m,-0.032627225,0.016582534,0.0155555485,0.032627225
volatilidad_15m,0.0071240827,-0.11884862,0.042440064,0.11884862
desviacion_media_cierre_15m,0.020333556,-0.0071092662,-0.018293165,0.020333556
volumen_relativo_15m,0.054127205,0.010369007,-0.07546056,0.07546056
operaciones_relativas_15m,-0.068174385,0.028771713,-0.022949755,0.068174385
rendimiento_30m,-0.034538962,0.036433328,0.003389887,0.036433328
volatilidad_30m,0.039056025,-0.1335136,0.043959085,0.1335136
desviacion_media_cierre_30m,0.073725194,0.041287165,-0.109698705,0.109698705
volumen_relativo_30m,-0.072232895,0.0034378814,0.03351271,0.072232895
operaciones_relativas_30m,0.10298714,-0.054804567,0.009454324,0.10298714
rendimiento_60m,-0.013117987,0.04585529,-0.01338815,0.04585529
volatilidad_60m,-0.3022733,0.09353465,0.08373614,0.3022733
desviacion_media_cierre_60m,0.017198496,-0.0958469,0.11127208,0.11127208
volumen_relativo_60m,-0.10344005,0.031824194,-0.017337412,0.10344005
operaciones_relativas_60m,-0.052231655,0.010360917,0.019269014,0.052231655
rendimiento_240m,-0.06866189,0.053141676,0.031677146,0.06866189
volatilidad_240m,0.45261085,-0.16400473,-0.52077496,0.52077496
desviacion_media_cierre_240m,0.06961917,0.044154506,-0.12458992,0.12458992
volumen_relativo_240m,0.09216712,-0.14818622,-0.07430555,0.14818622
operaciones_relativas_240m,-0.0064362525,-0.07151603,0.047540877,0.07151603
minuto_dia_seno,-0.03864364,0.030053567,-0.0065267934,0.03864364
minuto_dia_coseno,-0.07162382,0.10967426,-0.059137933,0.10967426
dia_semana_seno,0.045434065,-0.100122504,0.105001695,0.105001695
dia_semana_coseno,0.0026758213,-0.030885668,0.01755935,0.030885668
otro_rendimiento_1m,-0.047990322,0.031176854,0.035929512,0.047990322
divergencia_rendimiento_1m,-0.017403804,0.015667947,0.01636731,0.017403804
divergencia_rendimiento_60m,0.017028254,0.02405594,-0.016180092,0.02405594
otro_rendimiento_240m,0.0395297,0.009529834,-0.038777,0.0395297
divergencia_rendimiento_240m,-0.17424358,0.059180554,0.11913875,0.17424358
otro_volatilidad_60m,0.22884554,-0.27269244,0.0057085953,0.27269244
ratio_volatilidad_60m,0.2888992,-0.087820694,0.015122711,0.2888992
otro_volatilidad_240m,-0.20806186,-0.36283654,0.58417964,0.58417964
ratio_volatilidad_240m,-0.107762285,0.08498672,0.10838421,0.10838421
correlacion_btc_eth_60m,0.113713115,-0.0165631,0.081214294,0.113713115
beta_propio_otro_60m,-0.2365208,0.052008223,-0.034239836,0.2365208
residual_propio_otro_60m,-0.0018428917,-0.035919316,0.00043599808,0.035919316
correlacion_btc_eth_240m,0.07955035,0.056296334,-0.03348575,0.07955035
beta_propio_otro_240m,-0.00822386,-0.20182298,0.1556402,0.20182298
residual_propio_otro_240m,0.15514536,-0.07148453,-0.10021594,0.15514536
correlacion_btc_eth_1440m,-0.03586788,-0.07233852,0.17790928,0.17790928
beta_propio_otro_1440m,0.05103182,-0.013671387,-0.06767372,0.06767372
residual_propio_otro_1440m,0.0066628433,-0.048136037,0.057982974,0.057982974
