mes,muestras,accuracy,balanced_accuracy,f1_macro,precision_baja,recall_baja,f1_baja,soporte_baja,precision_sube,recall_sube,f1_sube,soporte_sube,tasa_predicha_baja,tasa_predicha_sube
2023-01,44640,0.6334453405017921,0.3585603960989328,0.32983936813997866,0.17275541795665636,0.04992841803865426,0.07746772178259059,5588,0.42493506493506494,0.07911025145067699,0.13338768854463923,10340,0.03617831541218638,0.043122759856630825
2023-02,40320,0.5975694444444445,0.36339324864034056,0.325352278095036,0.2946199829205807,0.041061651987621996,0.07207771858351614,8402,0.35946462715105165,0.09678249678249679,0.1525045629689718,7770,0.02904265873015873,0.05188492063492064
2023-03,42640,0.5253986866791744,0.3898429498978075,0.3732140976301603,0.2986356745831228,0.13488531324888736,0.1858344469774389,8763,0.3978102189781022,0.18095238095238095,0.24875382859888295,11445,0.09282363977485929,0.12209193245778611
2023-04,43200,0.6455092592592593,0.3567116894387168,0.3216600307278702,0.28133704735376047,0.041666666666666664,0.07258354293927416,7272,0.3838223632038065,0.0611651712372046,0.10551558752997602,7913,0.024930555555555556,0.029189814814814814
2023-05,44640,0.6564964157706094,0.3534919690302883,0.31862409947660975,0.25329428989751096,0.021646646646646648,0.03988472622478386,7992,0.34009156311314587,0.07455197132616488,0.12229539040451552,6975,0.015300179211469533,0.03425179211469534
2023-06,43200,0.6503472222222222,0.36650801573588043,0.3422237170632749,0.2755905511811024,0.056801416347005015,0.09418960244648318,6778,0.34572127139364306,0.08635641871259314,0.13819390148553556,8187,0.032337962962962964,0.047337962962962964
2023-07,44640,0.7917786738351255,0.35016594895962716,0.33495313624920287,0.3094017094017094,0.038724860932819856,0.06883437915953604,4674,0.1964856230031949,0.028386798984537272,0.049606775559588624,4333,0.01310483870967742,0.014023297491039427
2023-08,44640,0.791173835125448,0.3717862422217026,0.369181281814388,0.5164992826398852,0.06277244986922406,0.11194029850746269,5735,0.2965186074429772,0.06701030927835051,0.10931622040274397,3686,0.015613799283154121,0.018660394265232975
2023-09,43200,0.7813425925925926,0.3461374823648978,0.32791228714708237,0.297029702970297,0.021236432279377066,0.03963884606914776,4238,0.1931106471816284,0.03908725966617367,0.06501493586364435,4733,0.007013888888888889,0.022175925925925925
2023-10,44640,0.6593637992831541,0.36101610809593193,0.333142308365084,0.2831449126413155,0.09168053244592346,0.13851181498240323,6010,0.2107168718320058,0.03309450699419993,0.05720463927658738,8793,0.04359318996415771,0.03093637992831541
2023-11,43200,0.6294444444444445,0.35463863163354464,0.3079741277964061,0.3336980306345733,0.04243183082915971,0.07529005183905209,7188,0.552710843373494,0.040932411331697525,0.07622014537902388,8966,0.021157407407407406,0.015370370370370371
2023-12,44400,0.5598873873873874,0.3432206988274862,0.2738862763827103,0.15309842041312272,0.01440329218106996,0.026329537143454186,8748,0.45687885010266943,0.04155771385879716,0.07618558466016093,10708,0.018536036036036038,0.02193693693693694
