variante,umbral,operaciones_minimas,retorno_neto_medio_minimo,retorno_neto_mediano_minimo,factor_beneficio_minimo,drawdown_peor,operaciones_positivas_minimas,cumple_filtros
control_63,0.4,116,0.0013984157126719,0.0005426315333606,1.1599816362812885,-0.2367637234877453,53.65853658536586,True
control_63,0.42,96,0.0040688845303931,0.0041567697722287,1.5512673416561311,-0.0968303247254116,60.41666666666666,True
control_63,0.44,77,0.0028652927343018,0.0053591266025493,1.348079626823793,-0.1323303028378601,60.31746031746032,True
control_63,0.46,58,0.0017167147868277,0.0027846728901966,1.2016420036859476,-0.2198680543066474,56.19047619047619,True
control_63,0.48,49,0.0029933874316718,0.0043988897463562,1.3661095300578925,-0.1886718280363784,56.25,False
control_63,0.5,41,0.0031236184421175,0.0076437896054003,1.389574923941295,-0.1686542328690633,57.647058823529406,False
flujo_spot,0.4,96,0.0037035554994942,0.0026392251691605,1.511140064516182,-0.0971245161535144,54.10958904109589,True
flujo_spot,0.42,79,0.0041275344914634,0.0036694840222176,1.570160359699161,-0.1186122187985071,59.23076923076923,True
flujo_spot,0.44,61,0.0033903210933885,0.0033949161272605,1.4595688987482196,-0.1611159543021035,58.26086956521739,True
flujo_spot,0.46,49,0.0037658578988084,0.0042515560165975,1.5006909059477995,-0.1374098358755558,61.05263157894737,False
flujo_spot,0.48,42,0.0034100206101243,0.0047732804452568,1.3877561288056928,-0.1587207403666177,55.42168674698795,False
flujo_spot,0.5,41,0.0034514730992066,0.0077615836817019,1.389097267202466,-0.1747041726932032,60.526315789473685,False
