periodo,horizonte,umbral_rearme,enfriamiento,distancia_minima,diferencia_minima,exige_pendiente_positiva_5m,operaciones,precision,porcentaje_acierto,porcentaje_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown
validacion_2023,300,,0,0.0,,False,78,0.5128205128205128,51.28205128205128,61.53846153846154,0.005254431741065791,0.0036680409059607353,2.259116283251166,-0.06329459602922993
validacion_2023,300,,0,0.0,,True,78,0.5128205128205128,51.28205128205128,61.53846153846154,0.005254431741065791,0.0036680409059607353,2.259116283251166,-0.06329459602922993
validacion_2023,300,,0,0.0,0.0,False,74,0.527027027027027,52.702702702702695,60.810810810810814,0.005234198865763937,0.004887184553589941,2.2944330599984113,-0.06154802518814673
validacion_2023,300,,0,0.0,0.0,True,74,0.527027027027027,52.702702702702695,60.810810810810814,0.005407141461922554,0.004887184553589941,2.396948690991798,-0.048857943954918936
validacion_2023,300,,0,0.0,0.05,False,66,0.48484848484848486,48.484848484848484,56.060606060606055,0.004941168794382878,0.0036680409059607353,2.1812820031604634,-0.04377924078563278
validacion_2023,300,,0,0.0,0.05,True,66,0.48484848484848486,48.484848484848484,56.060606060606055,0.004874701866733265,0.0036680409059607353,2.165391798088515,-0.04377924078563278
validacion_2023,300,,0,0.0,0.1,False,54,0.5185185185185185,51.85185185185185,55.55555555555556,0.00508133190107101,0.0036680409059607353,2.195902314905377,-0.04377924078563289
validacion_2023,300,,0,0.0,0.1,True,54,0.5185185185185185,51.85185185185185,55.55555555555556,0.00508133190107101,0.0036680409059607353,2.195902314905377,-0.04377924078563289
validacion_2023,300,,0,0.0,0.15,False,38,0.5263157894736842,52.63157894736842,60.526315789473685,0.003292015138077186,0.004347994750055429,1.7403325326862862,-0.05765346208642819
validacion_2023,300,,0,0.0,0.15,True,38,0.5,50.0,57.89473684210527,0.0031698500617130705,0.004347994750055429,1.698032224805793,-0.05765346208642819
validacion_2023,300,,0,0.005,,False,71,0.5070422535211268,50.70422535211267,63.38028169014085,0.005616760700796424,0.0036000149476774776,2.2913741763623037,-0.06329459602922982
validacion_2023,300,,0,0.005,,True,71,0.5070422535211268,50.70422535211267,63.38028169014085,0.005616760700796424,0.0036000149476774776,2.2913741763623037,-0.06329459602922982
validacion_2023,300,,0,0.005,0.0,False,67,0.5223880597014925,52.23880597014925,62.68656716417911,0.005537088587767056,0.004527131926905238,2.3130536022102577,-0.06154802518814684
validacion_2023,300,,0,0.005,0.0,True,67,0.5223880597014925,52.23880597014925,62.68656716417911,0.005728099813375081,0.004527131926905238,2.422796602900371,-0.048857943954918936
validacion_2023,300,,0,0.005,0.05,False,59,0.4915254237288136,49.152542372881356,57.6271186440678,0.004190344246539992,0.004008472655980478,1.944042994742833,-0.04507499656095937
validacion_2023,300,,0,0.005,0.05,True,59,0.4915254237288136,49.152542372881356,57.6271186440678,0.0041159914122200865,0.004008472655980478,1.9272920386759325,-0.04507499656095937
validacion_2023,300,,0,0.005,0.1,False,50,0.52,52.0,57.99999999999999,0.004385492946585637,0.0036680409059607353,2.0281457056952683,-0.04550980021295037
validacion_2023,300,,0,0.005,0.1,True,50,0.52,52.0,57.99999999999999,0.004385492946585637,0.0036680409059607353,2.0281457056952683,-0.04550980021295037
validacion_2023,300,,0,0.005,0.15,False,37,0.5405405405405406,54.054054054054056,62.16216216216216,0.003461674141674672,0.004640588736449459,1.7716331633317906,-0.05765346208642819
validacion_2023,300,,0,0.005,0.15,True,37,0.5135135135135135,51.35135135135135,59.45945945945946,0.003336207306489905,0.004640588736449459,1.7279256780512295,-0.05765346208642819
validacion_2023,300,,0,0.01,,False,65,0.5076923076923077,50.76923076923077,61.53846153846154,0.004921367986208659,0.004008472655980478,2.014455885905861,-0.05283763027933108
validacion_2023,300,,0,0.01,,True,65,0.5076923076923077,50.76923076923077,61.53846153846154,0.004921367986208659,0.004008472655980478,2.014455885905861,-0.05283763027933108
validacion_2023,300,,0,0.01,0.0,False,62,0.5161290322580645,51.61290322580645,61.29032258064516,0.005310926761877289,0.004887184553589941,2.2034742824031346,-0.06154802518814684
validacion_2023,300,,0,0.01,0.0,True,62,0.5161290322580645,51.61290322580645,61.29032258064516,0.005517342118582735,0.004887184553589941,2.3115979599018583,-0.048857943954918825
validacion_2023,300,,0,0.01,0.05,False,55,0.4727272727272727,47.27272727272727,58.18181818181818,0.003949031103465847,0.004527131926905238,1.8834991336127438,-0.04507499656095926
validacion_2023,300,,0,0.01,0.05,True,54,0.48148148148148145,48.148148148148145,57.407407407407405,0.0038947034455295384,0.004267802291442858,1.8555020187855664,-0.04507499656095926
validacion_2023,300,,0,0.01,0.1,False,47,0.5106382978723404,51.06382978723404,57.446808510638306,0.0038514775978615774,0.004008472655980478,1.8593740108869694,-0.04550980021295026
validacion_2023,300,,0,0.01,0.1,True,47,0.5106382978723404,51.06382978723404,57.446808510638306,0.0038514775978615774,0.004008472655980478,1.8593740108869694,-0.04550980021295026
validacion_2023,300,,0,0.01,0.15,False,37,0.5405405405405406,54.054054054054056,62.16216216216216,0.003461674141674672,0.004640588736449459,1.7716331633317906,-0.05765346208642819
validacion_2023,300,,0,0.01,0.15,True,37,0.5135135135135135,51.35135135135135,59.45945945945946,0.003336207306489905,0.004640588736449459,1.7279256780512295,-0.05765346208642819
validacion_2023,300,,0,0.02,,False,57,0.5263157894736842,52.63157894736842,59.64912280701754,0.004347933893433028,0.0033276091559409924,1.8408232807448408,-0.0816866642707671
validacion_2023,300,,0,0.02,,True,57,0.5263157894736842,52.63157894736842,59.64912280701754,0.004347933893433028,0.0033276091559409924,1.8408232807448408,-0.0816866642707671
validacion_2023,300,,0,0.02,0.0,False,54,0.5,50.0,57.407407407407405,0.004430981017097458,0.0032643804196583756,1.9188590258543168,-0.07578627703581986
validacion_2023,300,,0,0.02,0.0,True,54,0.5,50.0,57.407407407407405,0.004667976426648155,0.0032643804196583756,2.018037677760028,-0.06328873050592865
validacion_2023,300,,0,0.02,0.05,False,48,0.4583333333333333,45.83333333333333,54.166666666666664,0.0027619626311617546,0.0032643804196583756,1.5698845031029554,-0.05305653558814771
validacion_2023,300,,0,0.02,0.05,True,47,0.46808510638297873,46.808510638297875,53.191489361702125,0.0026742868439093123,0.003201151683375759,1.5402983700495438,-0.059529534824504404
validacion_2023,300,,0,0.02,0.1,False,43,0.4883720930232558,48.837209302325576,53.48837209302325,0.0029228721235465722,0.003201151683375759,1.6027371206960217,-0.0643188026492788
validacion_2023,300,,0,0.02,0.1,True,43,0.4883720930232558,48.837209302325576,53.48837209302325,0.0029228721235465722,0.003201151683375759,1.6027371206960217,-0.0643188026492788
validacion_2023,300,,0,0.02,0.15,False,32,0.5,50.0,56.25,0.0025352587637639847,0.0036282762235185792,1.5091176311084291,-0.07593158960228541
validacion_2023,300,,0,0.02,0.15,True,32,0.46875,46.875,53.125,0.0023901877355815976,0.0036282762235185792,1.4694123004316866,-0.07593158960228541
validacion_2023,300,,30,0.0,,False,77,0.5324675324675324,53.246753246753244,61.038961038961034,0.005377046806365345,0.004008472655980478,2.2719792458105146,-0.06329459602922971
validacion_2023,300,,30,0.0,,True,77,0.5324675324675324,53.246753246753244,61.038961038961034,0.005377046806365345,0.004008472655980478,2.2719792458105146,-0.06329459602922971
validacion_2023,300,,30,0.0,0.0,False,73,0.5342465753424658,53.42465753424658,60.273972602739725,0.0052903477001902165,0.004527131926905238,2.290638850705207,-0.06154802518814673
validacion_2023,300,,30,0.0,0.0,True,73,0.5342465753424658,53.42465753424658,60.273972602739725,0.00546565937300854,0.004527131926905238,2.3929849558289593,-0.048857943954918936
validacion_2023,300,,30,0.0,0.05,False,65,0.49230769230769234,49.23076923076923,55.38461538461539,0.004936460049984544,0.0033276091559409924,2.162275130846994,-0.04377924078563267
validacion_2023,300,,30,0.0,0.05,True,65,0.49230769230769234,49.23076923076923,55.38461538461539,0.004868970554217244,0.0033276091559409924,2.1463849257750454,-0.04377924078563267
validacion_2023,300,,30,0.0,0.1,False,53,0.5283018867924528,52.83018867924528,54.71698113207547,0.005078201612784149,0.0033276091559409924,2.173032898670508,-0.04377924078563278
validacion_2023,300,,30,0.0,0.1,True,53,0.5283018867924528,52.83018867924528,54.71698113207547,0.005078201612784149,0.0033276091559409924,2.173032898670508,-0.04377924078563278
validacion_2023,300,,30,0.0,0.15,False,37,0.5405405405405406,54.054054054054056,59.45945945945946,0.0032391712990988766,0.0040554007636613995,1.709278921637301,-0.05765346208642819
validacion_2023,300,,30,0.0,0.15,True,37,0.5135135135135135,51.35135135135135,56.75675675675676,0.003113704463914109,0.0040554007636613995,1.667624505266335,-0.05765346208642819
validacion_2023,300,,30,0.005,,False,70,0.5285714285714286,52.85714285714286,62.857142857142854,0.005782732467766514,0.003804243801828978,2.310807652270699,-0.06329459602922982
validacion_2023,300,,30,0.005,,True,70,0.5285714285714286,52.85714285714286,62.857142857142854,0.005783731859327241,0.003804243801828978,2.3110341905227654,-0.06329459602922982
