periodo,horizonte,operaciones,precision,porcentaje_acierto,porcentaje_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown
validacion_2023,300,78,0.5128205128205128,51.28205128205128,61.53846153846154,0.005254431741065791,0.0036680409059607353,2.259116283251166,-0.06329459602922993
validacion_2023,360,75,0.5333333333333333,53.333333333333336,60.0,0.005362278576345144,0.0031767523578992716,2.1020503556765457,-0.07260032149688422
validacion_2023,420,74,0.527027027027027,52.702702702702695,59.45945945945946,0.005162375752150779,0.004517691896821164,2.077054548917889,-0.06446696998665391
validacion_2023,480,70,0.5,50.0,61.42857142857143,0.005191087265403582,0.005219992298277299,1.8054006324372958,-0.08872424885244934
validacion_2023,540,69,0.4927536231884058,49.275362318840585,57.971014492753625,0.005137573413640398,0.0023471960105486698,1.8332313599988284,-0.07437803164792745
validacion_2023,600,69,0.4782608695652174,47.82608695652174,60.86956521739131,0.005874422618882218,0.0027112953000213444,2.0120114477656665,-0.07195236655757986
validacion_2023,720,69,0.4782608695652174,47.82608695652174,62.31884057971014,0.005664772528997991,0.0027200773523164976,2.056955066682134,-0.0603392244033607
validacion_2024,300,151,0.47019867549668876,47.019867549668874,55.62913907284768,0.0016277135337300684,0.0029058051730975762,1.2334859187166982,-0.13287112391962652
validacion_2024,360,141,0.475177304964539,47.5177304964539,57.446808510638306,0.0010891919681306134,0.004167155076932106,1.1366965817945278,-0.1914615030972736
validacion_2024,420,135,0.48148148148148145,48.148148148148145,60.0,0.0027350144156898363,0.004912792527400512,1.3508277391457777,-0.14758906222592127
validacion_2024,480,127,0.48031496062992124,48.031496062992126,61.417322834645674,0.003496752860065116,0.005907866412025232,1.433836715067117,-0.12580432747781312
validacion_2024,540,124,0.45161290322580644,45.16129032258064,58.87096774193549,0.0034837700823203144,0.005011204681565685,1.4366307093275594,-0.1574867762837937
validacion_2024,600,121,0.4628099173553719,46.28099173553719,60.33057851239669,0.003440128114757728,0.0037671983191990286,1.4329430992876306,-0.18678582676491717
validacion_2024,720,118,0.4830508474576271,48.30508474576271,60.16949152542372,0.005248149544079084,0.0040324219364238365,1.8064518400267309,-0.12218016443858437
