umbral_meta,operaciones,precision,porcentaje_acierto,porcentaje_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,cumple_minimo_operaciones
0.4,79,0.6708860759493671,67.08860759493672,67.08860759493672,0.00546941655704361,0.00541736407438831,1.8634017187657852,-0.12212610810417857,True
0.42,79,0.6708860759493671,67.08860759493672,67.08860759493672,0.005571714794599777,0.00541736407438831,1.8795505114590312,-0.12212610810417857,True
0.44,79,0.6708860759493671,67.08860759493672,67.08860759493672,0.005571714794599777,0.00541736407438831,1.8795505114590312,-0.12212610810417857,True
0.46,78,0.6666666666666666,66.66666666666666,66.66666666666666,0.005621014652805014,0.005515907340746807,1.8761009205754435,-0.12363899276891743,True
0.48,77,0.6753246753246753,67.53246753246754,67.53246753246754,0.005918012071470702,0.005614450607105304,1.9299210621527105,-0.11441463681798802,True
0.5,77,0.6753246753246753,67.53246753246754,67.53246753246754,0.005918012071470702,0.005614450607105304,1.9299210621527105,-0.11441463681798802,True
0.52,77,0.6753246753246753,67.53246753246754,67.53246753246754,0.005918012071470702,0.005614450607105304,1.9299210621527105,-0.11441463681798802,True
0.54,77,0.6753246753246753,67.53246753246754,67.53246753246754,0.005918012071470702,0.005614450607105304,1.9299210621527105,-0.11441463681798802,True
0.56,76,0.6710526315789473,67.10526315789474,67.10526315789474,0.005873618567560135,0.005515907340746807,1.9109590291440988,-0.11441463681798802,True
0.58,75,0.6666666666666666,66.66666666666666,66.66666666666666,0.005841795717758195,0.00541736407438831,1.9053091676791345,-0.11441463681798758,True
0.6,73,0.6575342465753424,65.75342465753424,65.75342465753424,0.004873965372222612,0.004973688953113676,1.7351815311030097,-0.11442257184974536,True
0.62,72,0.6666666666666666,66.66666666666666,66.66666666666666,0.005098940930339173,0.005195526513750993,1.7767560754521372,-0.1042791831649238,True
0.64,72,0.6666666666666666,66.66666666666666,66.66666666666666,0.005098940930339173,0.005195526513750993,1.7767560754521372,-0.1042791831649238,True
0.66,72,0.6666666666666666,66.66666666666666,66.66666666666666,0.005098940930339173,0.005195526513750993,1.7767560754521372,-0.1042791831649238,True
0.68,71,0.6619718309859155,66.19718309859155,66.19718309859155,0.004532167744136881,0.004973688953113676,1.696377323907392,-0.11270460634614765,True
0.7,71,0.6619718309859155,66.19718309859155,66.19718309859155,0.004532167744136881,0.004973688953113676,1.696377323907392,-0.11270460634614765,True
0.72,71,0.6619718309859155,66.19718309859155,66.19718309859155,0.004532167744136881,0.004973688953113676,1.696377323907392,-0.11270460634614765,True
0.74,70,0.6571428571428571,65.71428571428571,65.71428571428571,0.00423310482475211,0.004814952474931023,1.641264738141365,-0.12344637324104246,True
