fecha_entrada,fecha_salida_fija,indice_entrada,indice_salida_fija,probabilidad_sube_entrada,probabilidad_baja_entrada,probabilidad_baja_maxima,minuto_maximo_baja,objetivo_sube_4h,retorno_fijo_bruto,retorno_fijo_neto,operacion_positiva,excursion_favorable_maxima,excursion_adversa_maxima,cruza_baja_0_32,minuto_cruce_baja_0_32,retorno_neto_en_cruce_0_32,cruza_baja_0_47,minuto_cruce_baja_0_47,retorno_neto_en_cruce_0_47,pliegue
2023-01-12 13:30:00+00:00,2023-01-12 21:30:00+00:00,16650,17130,0.7029159069061279,0.6529931426048279,0.7699186205863953,249,1,0.03632597012489969,0.035325970124899686,True,0.053850042364495865,-0.011857648679534094,True,240.0,0.006295403190374472,True,4.0,-0.00028225669080639195,validacion_2023
2023-01-14 00:38:00+00:00,2023-01-14 08:38:00+00:00,18758,19238,0.7745713591575623,0.22027981281280518,0.8854519724845886,7,1,0.012801742246087322,0.011801742246087321,True,0.026515169806218486,-0.0020715730917625352,True,1.0,0.009797772938205163,True,1.0,0.009797772938205163,validacion_2023
2023-01-14 09:18:00+00:00,2023-01-14 17:18:00+00:00,19278,19758,0.45643019676208496,0.288894385099411,0.611501157283783,198,1,0.011079326423562463,0.010079326423562462,True,0.029280105957589786,-0.01805415566987667,True,2.0,-0.00677076572613755,True,112.0,0.004704250926837684,validacion_2023
2023-01-16 08:10:00+00:00,2023-01-16 16:10:00+00:00,22090,22570,0.5183886289596558,0.3775857985019684,0.5409479737281799,2,1,0.014773176820616296,0.013773176820616295,True,0.018210756315851118,-0.0031851292284210686,True,259.0,0.006529498475142393,True,1.0,0.003094337085911448,validacion_2023
2023-01-18 15:54:00+00:00,2023-01-18 23:54:00+00:00,25434,25914,0.5946813821792603,0.39528676867485046,0.5272497534751892,3,0,-0.009015006000099746,-0.010015006000099747,False,0.01296251567118678,-0.022005317660229395,True,45.0,-0.014024337784525498,True,2.0,0.004875017731924004,validacion_2023
2023-01-21 10:26:00+00:00,2023-01-21 18:26:00+00:00,29426,29906,0.5134773850440979,0.5553712844848633,0.5926728844642639,1,1,0.016758202451935933,0.015758202451935932,True,0.025742080625808184,-0.008340040886081534,True,255.0,0.007972467288062668,True,6.0,0.0013537146383232343,validacion_2023
2023-01-23 15:02:00+00:00,2023-01-23 23:02:00+00:00,32582,33062,0.4606282413005829,0.4938252866268158,0.5048052072525024,20,1,0.008525299597603508,0.007525299597603508,True,0.019850568573291483,-0.003445845406844672,True,259.0,0.00622650801933411,True,10.0,-0.00014909792941286606,validacion_2023
2023-01-25 01:26:00+00:00,2023-01-25 09:26:00+00:00,34646,35126,0.4724380373954773,0.22381405532360077,0.39763423800468445,116,1,0.011432173600699036,0.010432173600699035,True,0.017364716226189847,-0.0014877149591748795,True,62.0,0.00720343005416535,False,,,validacion_2023
2023-01-25 22:09:00+00:00,2023-01-26 06:09:00+00:00,35889,36369,0.6313202381134033,0.36200931668281555,0.5222496390342712,2,0,-0.011866648062356822,-0.012866648062356822,False,0.005804032612160226,-0.026403185262655726,True,39.0,-0.018465009176277136,True,2.0,0.002977737980485063,validacion_2023
2023-01-30 19:13:00+00:00,2023-01-31 03:13:00+00:00,42913,43393,0.4988788068294525,0.4563215374946594,0.4563215374946594,0,0,0.0036827536300612085,0.0026827536300612085,True,0.0061469975041406055,-0.012019116771436633,True,28.0,-0.0038862214868716763,False,,,validacion_2023
2023-02-01 19:31:00+00:00,2023-02-02 03:31:00+00:00,45811,46291,0.44947752356529236,0.34386101365089417,0.5889077186584473,315,1,0.046343185795222785,0.045343185795222785,True,0.061890879383993846,-0.003550581336550951,True,257.0,0.03636822680640728,True,11.0,0.01517462730935526,validacion_2023
2023-02-02 22:00:00+00:00,2023-02-03 06:00:00+00:00,47400,47880,0.45258399844169617,0.3692956268787384,0.3692956268787384,0,0,0.0007960679095706524,-0.0002039320904293476,False,0.004933834034945184,-0.0038952441005453142,True,5.0,-0.0006443010302504817,False,,,validacion_2023
2023-02-07 18:27:00+00:00,2023-02-08 02:27:00+00:00,54387,54867,0.4619266390800476,0.43048200011253357,0.4667993187904358,11,1,0.021160240804364294,0.020160240804364293,True,0.02798601181578997,-0.0019501576695244438,True,258.0,0.017640246099465462,False,,,validacion_2023
2023-02-09 19:26:00+00:00,2023-02-10 03:26:00+00:00,57326,57806,0.4733063876628876,0.3224990963935852,0.4988718628883362,124,0,-0.013543645446033703,-0.014543645446033704,False,0.0019663767613955496,-0.02186286235903867,True,7.0,-0.009731885430591225,True,124.0,-0.01983617555956041,validacion_2023
