pliegue,umbral_baja,operaciones,operaciones_con_cruce,porcentaje_operaciones_con_cruce,porcentaje_perdedoras_con_cruce,porcentaje_ganadoras_con_cruce,precision_alerta_perdida,retorno_neto_medio_fijo_cruzadas,retorno_neto_medio_en_cruce
validacion_2023,0.32,70,68,97.14285714285714,96.29629629629629,97.67441860465115,38.23529411764706,0.004744335429573065,0.0002494855724696424
validacion_2023,0.47,70,50,71.42857142857143,70.37037037037037,72.09302325581395,38.0,0.006886911273681831,0.0005879094112718142
validacion_2024,0.32,127,98,77.16535433070865,85.71428571428571,71.7948717948718,42.857142857142854,0.0017822032079017971,0.000197184063679395
validacion_2024,0.47,127,119,93.7007874015748,97.95918367346938,91.02564102564102,40.33613445378151,0.002830475302513298,-0.0021954038940725663
