fecha_utc,identificador_ejecucion,simbolo,pliegue,variante,grupo,penalty,alpha,l1_ratio,epocas,tamano_lote,variables,coeficientes_totalmente_cero,muestras,accuracy,balanced_accuracy,f1_macro,f1_extremos_promedio,pr_auc_baja,pr_auc_sube,tasa_predicha_baja,tasa_predicha_neutral,tasa_predicha_sube,precision_baja,recall_baja,f1_baja,soporte_baja,precision_neutral,recall_neutral,f1_neutral,soporte_neutral,precision_sube,recall_sube,f1_sube,soporte_sube,mejor_lado,f1_mejor_lado,desviacion_mensual_f1_baja,desviacion_mensual_f1_sube,ruta,division_2025_utilizada,division_2026_utilizada
2026-07-04T19:25:26.423234+00:00,20260704T192509Z_df37e4d6,BTCUSDT,validacion_2023,v3a_63_l2,reduccion,l2,0.0001,0.15,3,100000,63,0,523360,0.6607918067869153,0.36376096171304245,0.33922379943697817,0.10886202990559447,0.22887752667237313,0.2634394010612163,0.029990828492815653,0.9312939468052583,0.03871522470192602,0.2827471967380224,0.054528923182778785,0.09142598162416052,81388,0.6856516797222826,0.9599710447169535,0.7999473384997456,348123,0.35564110156944034,0.0767829172393952,0.12629807818702843,93849,SUBE,0.12629807818702843,0.0449213967739819,0.05119185191552294,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_63_l2\validacion_2023\20260704T192509Z_df37e4d6,False,False
2026-07-04T19:25:57.871049+00:00,20260704T192509Z_df37e4d6,BTCUSDT,validacion_2024,v3a_63_l2,reduccion,l2,0.0001,0.15,3,100000,63,0,526800,0.5253511769172361,0.3866466540350518,0.3589656492043019,0.19437252979702035,0.28651378519776455,0.3412182379739664,0.05005694760820045,0.7974411541381928,0.1525018982536067,0.30955631399317407,0.06929659247185861,0.11324288330281339,117798,0.5689253782504785,0.8705983061651944,0.6881518880188651,274525,0.36833130025641664,0.22004506346810235,0.2755021762912273,134477,SUBE,0.2755021762912273,0.044284335912297426,0.0726545288286239,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_63_l2\validacion_2024\20260704T192509Z_df37e4d6,False,False
2026-07-04T19:26:18.978883+00:00,20260704T192509Z_df37e4d6,BTCUSDT,validacion_2023,v3a_52_l2,reduccion,l2,0.0001,0.15,3,100000,52,0,523360,0.6610421125038215,0.3628820971663089,0.3374053934992867,0.10617381525550257,0.22929966640871322,0.2643693665503489,0.028983873433200857,0.9337683430143687,0.03724778355243045,0.28215439382952073,0.05258760505234187,0.08865229864225277,81388,0.6848272037683882,0.9613642304587746,0.799868549986855,348123,0.3595978249717862,0.0746944559878102,0.12369533186875237,93849,SUBE,0.12369533186875237,0.04289987672589479,0.05267742745738151,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_52_l2\validacion_2023\20260704T192509Z_df37e4d6,False,False
2026-07-04T19:26:46.385271+00:00,20260704T192509Z_df37e4d6,BTCUSDT,validacion_2024,v3a_52_l2,reduccion,l2,0.0001,0.15,3,100000,52,0,526800,0.5258466211085802,0.3843504354697633,0.35211169363593614,0.18381740137930447,0.2864880274974353,0.3419858262615022,0.03850797266514806,0.8062642369020501,0.15522779043280183,0.30710835058661146,0.05288714579194893,0.09023492946322528,117798,0.5669162311060885,0.8771223021582734,0.6887002781491995,274525,0.3667914006897058,0.22304185845906735,0.2773998732953836,134477,SUBE,0.2773998732953836,0.03837365180733707,0.07526469840670601,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_52_l2\validacion_2024\20260704T192509Z_df37e4d6,False,False
2026-07-04T19:27:06.216056+00:00,20260704T192509Z_df37e4d6,BTCUSDT,validacion_2023,v3a_46_l2,reduccion,l2,0.0001,0.15,3,100000,46,0,523360,0.6610554876184653,0.36242192260234574,0.3365200979150024,0.1048131092201871,0.22979405692980426,0.26529232868876357,0.030252598593702232,0.9347217976154081,0.035025603790889634,0.2823848923135224,0.054934388361920675,0.09197601341274005,81388,0.6845926785991708,0.9620162988369053,0.799934075304633,348123,0.35999127161638755,0.07031508060821107,0.11765020502763415,93849,SUBE,0.11765020502763415,0.04385279554867837,0.050835210487325845,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_46_l2\validacion_2023\20260704T192509Z_df37e4d6,False,False
2026-07-04T19:27:32.597017+00:00,20260704T192509Z_df37e4d6,BTCUSDT,validacion_2024,v3a_46_l2,reduccion,l2,0.0001,0.15,3,100000,46,0,526800,0.5262927107061504,0.38346719693992243,0.349869984238077,0.18029614279728068,0.28682568306595413,0.3422394569317634,0.03597000759301443,0.8114217919514047,0.15260820045558088,0.3074568578816824,0.049457545968522386,0.08520845064242726,117798,0.5657621702299881,0.8809361624624351,0.6890176671196697,274525,0.36801253824912306,0.22000788238880997,0.2753838349521341,134477,SUBE,0.2753838349521341,0.03724554151271406,0.07589699272685138,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\BTCUSDT\v3a_46_l2\validacion_2024\20260704T192509Z_df37e4d6,False,False
2026-07-04T19:28:15.914412+00:00,20260704T192801Z_ba91dd22,ETHUSDT,validacion_2023,v3a_63_l2,reduccion,l2,0.0001,0.15,3,100000,63,0,523360,0.6059500152858454,0.35267320558098075,0.3055682385682239,0.07979711085752342,0.2386740596464196,0.28843433617283487,0.030418832161418528,0.9455288902476306,0.02405227759095078,0.2698492462311558,0.04319541501181439,0.07447020585048754,99455,0.6220061755838109,0.9671916340395045,0.7571104939896248,318242,0.3998252303781379,0.04763256769162337,0.08512401586455928,105663,SUBE,0.08512401586455928,0.039966309023358994,0.03527755029345223,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_63_l2\validacion_2023\20260704T192801Z_ba91dd22,False,False
2026-07-04T19:28:45.697783+00:00,20260704T192801Z_ba91dd22,ETHUSDT,validacion_2024,v3a_63_l2,reduccion,l2,0.0001,0.15,3,100000,63,0,526800,0.45496772968868643,0.3820202617779471,0.3472015768175744,0.2146173130303233,0.3094787893442652,0.3616045068887148,0.08907744874715262,0.758209946848899,0.15271260440394838,0.3280484166560116,0.1085360952669689,0.16310745447899172,141833,0.4835450960756087,0.834766823702295,0.6123701043920766,231370,0.38711481808350634,0.20275786636457743,0.2661271715816549,153597,SUBE,0.2661271715816549,0.046444318918031455,0.06914229061113951,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_63_l2\validacion_2024\20260704T192801Z_ba91dd22,False,False
2026-07-04T19:29:06.797336+00:00,20260704T192801Z_ba91dd22,ETHUSDT,validacion_2023,v3a_52_l2,reduccion,l2,0.0001,0.15,3,100000,52,0,523360,0.6058009782940996,0.3526574147784431,0.30555688141884024,0.07984790897919228,0.24024518508626563,0.28891254742831374,0.032329562824824215,0.9454085142158362,0.022261922959339653,0.2730496453900709,0.04645316977527525,0.07939849624060151,99455,0.621925709746983,0.9669433952778075,0.7569748262981363,318242,0.4042571453094155,0.044575679282246386,0.08029732171778305,105663,SUBE,0.08029732171778305,0.04039413802674162,0.03413769930363037,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_52_l2\validacion_2023\20260704T192801Z_ba91dd22,False,False
2026-07-04T19:29:34.007812+00:00,20260704T192801Z_ba91dd22,ETHUSDT,validacion_2024,v3a_52_l2,reduccion,l2,0.0001,0.15,3,100000,52,0,526800,0.4556321184510251,0.3811232206056648,0.3434495311170119,0.20856255102059262,0.31082265716200863,0.36213598859003376,0.07910592255125284,0.7682137433561124,0.1526803340926348,0.3318695558275142,0.0975090423244238,0.15073076629646986,141833,0.4819061268362594,0.8429139473570472,0.6132234913098504,231370,0.38755719116769444,0.20294667213552348,0.2663943357447154,153597,SUBE,0.2663943357447154,0.04158536346641031,0.07023637301739749,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v3\ablaciones\ETHUSDT\v3a_52_l2\validacion_2024\20260704T192801Z_ba91dd22,False,False
