variable,grupo,es_cruzada,coeficiente_BAJA,coeficiente_absoluto_BAJA,coeficiente_NEUTRAL,coeficiente_absoluto_NEUTRAL,coeficiente_SUBE,coeficiente_absoluto_SUBE,importancia_media_absoluta,importancia_maxima_absoluta
otro_volatilidad_240m,volatilidad_otro,True,0.12869325280189514,0.12869325280189514,-0.41791993379592896,0.41791993379592896,0.3096092641353607,0.3096092641353607,0.28540748357772827,0.41791993379592896
otro_volatilidad_60m,volatilidad_otro,True,0.2772461771965027,0.2772461771965027,-0.332642525434494,0.332642525434494,-0.026069998741149902,0.026069998741149902,0.21198623379071554,0.332642525434494
volatilidad_60m,volatilidad_propia,False,-0.3206339180469513,0.3206339180469513,0.13201791048049927,0.13201791048049927,0.12933777272701263,0.12933777272701263,0.19399653375148773,0.3206339180469513
ratio_volatilidad_240m,volatilidad_relativa,True,-0.21821445226669312,0.21821445226669312,0.019174227491021156,0.019174227491021156,0.2729686200618744,0.2729686200618744,0.17011909993986288,0.2729686200618744
beta_propio_otro_240m,beta,True,0.20770275592803955,0.20770275592803955,-0.1279023289680481,0.1279023289680481,-0.14463911950588226,0.14463911950588226,0.1600814014673233,0.20770275592803955
ratio_volatilidad_60m,volatilidad_relativa,True,0.24112693965435028,0.24112693965435028,-0.14183641970157623,0.14183641970157623,0.08238986134529114,0.08238986134529114,0.15511774023373923,0.24112693965435028
minuto_dia_coseno,tiempo,False,-0.13039928674697876,0.13039928674697876,0.17578035593032837,0.17578035593032837,-0.11770083755254745,0.11770083755254745,0.14129349340995154,0.17578035593032837
beta_propio_otro_60m,beta,True,-0.1869000345468521,0.1869000345468521,0.11181209236383438,0.11181209236383438,-0.12202002853155136,0.12202002853155136,0.14024405181407928,0.1869000345468521
dia_semana_seno,tiempo,False,0.13501161336898804,0.13501161336898804,-0.15776890516281128,0.15776890516281128,0.11986444145441055,0.11986444145441055,0.1375483199954033,0.15776890516281128
volatilidad_240m,volatilidad_propia,False,0.14833468198776245,0.14833468198776245,-0.04954494908452034,0.04954494908452034,-0.160941943526268,0.160941943526268,0.11960719153285027,0.160941943526268
correlacion_btc_eth_60m,correlacion,True,0.12301048636436462,0.12301048636436462,-0.07750678807497025,0.07750678807497025,0.13247837126255035,0.13247837126255035,0.11099854856729507,0.13247837126255035
rango_relativo,forma_vela,False,0.0030620519537478685,0.0030620519537478685,-0.17644934356212616,0.17644934356212616,0.09351833909749985,0.09351833909749985,0.0910099115377913,0.17644934356212616
volatilidad_30m,volatilidad_propia,False,0.06589994579553604,0.06589994579553604,-0.11838657408952713,0.11838657408952713,0.04948272183537483,0.04948272183537483,0.07792308057347934,0.11838657408952713
cuerpo_relativo,forma_vela,False,0.09523450583219528,0.09523450583219528,-0.06544356048107147,0.06544356048107147,-0.04822970926761627,0.04822970926761627,0.06963592519362767,0.09523450583219528
volatilidad_15m,volatilidad_propia,False,0.017054906114935875,0.017054906114935875,-0.11090563237667084,0.11090563237667084,0.06208029016852379,0.06208029016852379,0.06334694288671017,0.11090563237667084
correlacion_btc_eth_1440m,correlacion,True,-0.045702796429395676,0.045702796429395676,-0.026899822056293488,0.026899822056293488,0.10117421299219131,0.10117421299219131,0.057925610492626824,0.10117421299219131
residual_propio_otro_240m,residual,True,0.09482986479997635,0.09482986479997635,-0.06819485127925873,0.06819485127925873,-0.009846107102930546,0.009846107102930546,0.05762360772738854,0.09482986479997635
operaciones_relativas_60m,operaciones_relativas,False,-0.06166465952992439,0.06166465952992439,-0.02858377993106842,0.02858377993106842,0.07429483532905579,0.07429483532905579,0.05484775826334953,0.07429483532905579
correlacion_btc_eth_240m,correlacion,True,0.016568446531891823,0.016568446531891823,-0.018123311921954155,0.018123311921954155,0.12652933597564697,0.12652933597564697,0.053740364809830986,0.12652933597564697
volumen_relativo_240m,volumen_relativo,False,0.04241141676902771,0.04241141676902771,-0.0764690488576889,0.0764690488576889,-0.04068239405751228,0.04068239405751228,0.053187619894742966,0.0764690488576889
divergencia_rendimiento_240m,divergencia_rendimiento,True,-0.09401894360780716,0.09401894360780716,0.049374476075172424,0.049374476075172424,0.011090651154518127,0.011090651154518127,0.0514946902791659,0.09401894360780716
rendimiento_1m,rendimiento_propio,False,-0.07074297219514847,0.07074297219514847,0.05440372973680496,0.05440372973680496,0.029034189879894257,0.029034189879894257,0.05139363060394923,0.07074297219514847
desviacion_media_cierre_30m,desviacion_media,False,0.06549966335296631,0.06549966335296631,0.01736181415617466,0.01736181415617466,-0.054496880620718,0.054496880620718,0.04578611937661966,0.06549966335296631
zscore_divergencia_1440m,zscore_divergencia,True,0.04536948353052139,0.04536948353052139,0.016206223517656326,0.016206223517656326,-0.07241210341453552,0.07241210341453552,0.04466260348757108,0.07241210341453552
desviacion_media_cierre_240m,desviacion_media,False,0.06985405087471008,0.06985405087471008,-0.0257340706884861,0.0257340706884861,-0.034468330442905426,0.034468330442905426,0.04335215066870054,0.06985405087471008
residual_propio_otro_1440m,residual,True,0.018930062651634216,0.018930062651634216,-0.04292014613747597,0.04292014613747597,0.05860484763979912,0.05860484763979912,0.0401516854763031,0.05860484763979912
divergencia_rendimiento_1m,divergencia_rendimiento,True,-0.03672347590327263,0.03672347590327263,0.024953531101346016,0.024953531101346016,0.04353635013103485,0.04353635013103485,0.035071119045217834,0.04353635013103485
minuto_dia_seno,tiempo,False,-0.04236020892858505,0.04236020892858505,0.03913286700844765,0.03913286700844765,-0.023452555760741234,0.023452555760741234,0.03498187723259131,0.04236020892858505
mecha_superior_relativa,forma_vela,False,-0.026110313832759857,0.026110313832759857,-0.03244129195809364,0.03244129195809364,0.04107801243662834,0.04107801243662834,0.03320987274249395,0.04107801243662834
operaciones_relativas_240m,operaciones_relativas,False,0.044271837919950485,0.044271837919950485,-0.030900297686457634,0.030900297686457634,-0.022652119398117065,0.022652119398117065,0.03260808500150839,0.044271837919950485
operaciones_relativas_5m,operaciones_relativas,False,0.008105351589620113,0.008105351589620113,0.039595432579517365,0.039595432579517365,-0.04635811224579811,0.04635811224579811,0.0313529654716452,0.04635811224579811
beta_propio_otro_1440m,beta,True,0.029024070128798485,0.029024070128798485,-0.008538257330656052,0.008538257330656052,-0.04365861788392067,0.04365861788392067,0.027073648447791736,0.04365861788392067
volumen_relativo_15m,volumen_relativo,False,0.024244274944067,0.024244274944067,0.014703328721225262,0.014703328721225262,-0.039837390184402466,0.039837390184402466,0.02626166461656491,0.039837390184402466
volatilidad_5m,volatilidad_propia,False,0.01892339065670967,0.01892339065670967,-0.029168935492634773,0.029168935492634773,0.027955692261457443,0.027955692261457443,0.025349339470267296,0.029168935492634773
dia_semana_coseno,tiempo,False,0.010638164356350899,0.010638164356350899,-0.03771519288420677,0.03771519288420677,0.02378796599805355,0.02378796599805355,0.02404710774620374,0.03771519288420677
otro_rendimiento_240m,rendimiento_otro,True,0.0394597090780735,0.0394597090780735,-0.008411748334765434,0.008411748334765434,-0.02197292633354664,0.02197292633354664,0.023281461248795193,0.0394597090780735
otro_rendimiento_1m,rendimiento_otro,True,-0.036995477974414825,0.036995477974414825,0.030210422351956367,0.030210422351956367,-0.00034486912772990763,0.00034486912772990763,0.022516923151367035,0.036995477974414825
zscore_divergencia_240m,zscore_divergencia,True,-0.03217541053891182,0.03217541053891182,-0.01875493675470352,0.01875493675470352,0.01632840186357498,0.01632840186357498,0.022419583052396774,0.03217541053891182
desviacion_media_cierre_60m,desviacion_media,False,0.012686880305409431,0.012686880305409431,-0.028970854356884956,0.028970854356884956,0.02339240536093712,0.02339240536093712,0.021683380007743835,0.028970854356884956
operaciones_relativas_30m,operaciones_relativas,False,0.03585408627986908,0.03585408627986908,-0.01957344263792038,0.01957344263792038,-0.007397637236863375,0.007397637236863375,0.020941722051550943,0.03585408627986908
divergencia_rendimiento_60m,divergencia_rendimiento,True,0.012464193627238274,0.012464193627238274,0.023601984605193138,0.023601984605193138,-0.022780632600188255,0.022780632600188255,0.019615603610873222,0.023601984605193138
rendimiento_240m,rendimiento_propio,False,-0.01454954780638218,0.01454954780638218,0.023206857964396477,0.023206857964396477,-0.02018018253147602,0.02018018253147602,0.01931219610075156,0.023206857964396477
volumen_relativo_60m,volumen_relativo,False,-0.042723607271909714,0.042723607271909714,0.00917025376111269,0.00917025376111269,-0.00562477670609951,0.00562477670609951,0.01917287924637397,0.042723607271909714
mecha_inferior_relativa,forma_vela,False,-0.00985351949930191,0.00985351949930191,-0.017397603020071983,0.017397603020071983,0.024994859471917152,0.024994859471917152,0.017415327330430348,0.024994859471917152
operaciones_relativas_15m,operaciones_relativas,False,-0.017783358693122864,0.017783358693122864,0.0180156622081995,0.0180156622081995,0.011044569313526154,0.011044569313526154,0.015614530071616173,0.0180156622081995
residual_propio_otro_60m,residual,True,-0.005722704343497753,0.005722704343497753,-0.02688739076256752,0.02688739076256752,0.009132676757872105,0.009132676757872105,0.013914257287979126,0.02688739076256752
rendimiento_60m,rendimiento_propio,False,0.001076715998351574,0.001076715998351574,0.02326943539083004,0.02326943539083004,-0.016160644590854645,0.016160644590854645,0.013502265326678753,0.02326943539083004
divergencia_rendimiento_15m,divergencia_rendimiento,True,0.01032610796391964,0.01032610796391964,-0.014872207306325436,0.014872207306325436,0.01393792126327753,0.01393792126327753,0.013045412177840868,0.014872207306325436
otro_rendimiento_15m,rendimiento_otro,True,-0.018604997545480728,0.018604997545480728,0.010454561561346054,0.010454561561346054,-0.009517328813672066,0.009517328813672066,0.012858962640166283,0.018604997545480728
volumen_relativo_30m,volumen_relativo,False,-0.02639385126531124,0.02639385126531124,0.002675415715202689,0.002675415715202689,0.008496096357703209,0.008496096357703209,0.012521787779405713,0.02639385126531124
rendimiento_30m,rendimiento_propio,False,-0.01199862640351057,0.01199862640351057,0.013923116959631443,0.013923116959631443,0.007621751632541418,0.007621751632541418,0.011181164998561144,0.013923116959631443
desviacion_media_cierre_5m,desviacion_media,False,0.01757480390369892,0.01757480390369892,-0.011111482977867126,0.011111482977867126,-0.0013893843861296773,0.0013893843861296773,0.010025223755898574,0.01757480390369892
volumen_relativo_5m,volumen_relativo,False,-0.0030481808353215456,0.0030481808353215456,0.003583382349461317,0.003583382349461317,0.018152451142668724,0.018152451142668724,0.008261338109150529,0.018152451142668724
rendimiento_15m,rendimiento_propio,False,-0.01654071919620037,0.01654071919620037,0.0033180818427354097,0.0033180818427354097,-0.002761912764981389,0.002761912764981389,0.007540237934639056,0.01654071919620037
rendimiento_5m,rendimiento_propio,False,-0.012792094610631466,0.012792094610631466,0.009037354961037636,0.009037354961037636,0.00043055572314187884,0.00043055572314187884,0.007420001764936994,0.012792094610631466
divergencia_rendimiento_30m,divergencia_rendimiento,True,-0.003994463477283716,0.003994463477283716,0.00969727709889412,0.00969727709889412,0.004953945986926556,0.004953945986926556,0.006215228854368131,0.00969727709889412
divergencia_rendimiento_5m,divergencia_rendimiento,True,-0.011761185713112354,0.011761185713112354,-0.0046722134575247765,0.0046722134575247765,-0.0012712642783299088,0.0012712642783299088,0.005901554482989013,0.011761185713112354
otro_rendimiento_30m,rendimiento_otro,True,-0.00740831857547164,0.00740831857547164,0.0059245494194328785,0.0059245494194328785,0.0034294070210307837,0.0034294070210307837,0.0055874250053117675,0.00740831857547164
otro_rendimiento_5m,rendimiento_otro,True,-0.0040574404411017895,0.0040574404411017895,0.009690732695162296,0.009690732695162296,0.0010132641764357686,0.0010132641764357686,0.0049204791042332845,0.009690732695162296
otro_rendimiento_60m,rendimiento_otro,True,-0.005790185183286667,0.005790185183286667,0.0058271391317248344,0.0058271391317248344,-0.0006354335346259177,0.0006354335346259177,0.004084252616545807,0.0058271391317248344
proporcion_compradora_base,presion_compradora,False,0.007027768529951572,0.007027768529951572,-0.001145673799328506,0.001145673799328506,-0.0024460088461637497,0.0024460088461637497,0.003539817058481276,0.007027768529951572
desviacion_media_cierre_15m,desviacion_media,False,0.0012977875303477049,0.0012977875303477049,-0.00325269578024745,0.00325269578024745,0.004058331251144409,0.004058331251144409,0.002869604853913188,0.004058331251144409
proporcion_compradora_cotizacion,presion_compradora,False,-0.0005804793327115476,0.0005804793327115476,-0.0024533765390515327,0.0024533765390515327,0.001036172965541482,0.001036172965541482,0.0013566762791015208,0.0024533765390515327
