fecha_utc,identificador,simbolo,objetivo,variante,tipo_modelo,pliegue,variables,epocas,muestras,positivos,prevalencia,pr_auc,pr_auc_lift,roc_auc,brier,log_loss,ruta,ruta_umbrales,uso_2025,uso_2026
2026-07-04T21:35:03.135808+00:00,20260704T213421Z_3083f830,BTCUSDT,largo_tp070_sl035_240m,sgd_sin_pesos,sgd,validacion_2023,101,3,521918,110757,0.21221149682517176,0.26360082696759546,1.2421609145180303,0.5919440485411429,0.1648670881986618,0.5098467469215393,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\sgd_sin_pesos\validacion_2023\20260704T213421Z_3083f830,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\sgd_sin_pesos\validacion_2023\20260704T213421Z_3083f830\metricas_umbrales.csv,False,False
2026-07-04T21:35:48.020710+00:00,20260704T213421Z_3083f830,BTCUSDT,largo_tp070_sl035_240m,sgd_sin_pesos,sgd,validacion_2024,101,3,526800,144006,0.2733599088838269,0.3214930098741761,1.1760795911400634,0.575217168189605,0.20575517416000366,0.6141119599342346,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\sgd_sin_pesos\validacion_2024\20260704T213421Z_3083f830,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\sgd_sin_pesos\validacion_2024\20260704T213421Z_3083f830\metricas_umbrales.csv,False,False
2026-07-04T21:36:27.630888+00:00,20260704T213421Z_3083f830,BTCUSDT,largo_tp070_sl035_240m,sgd_moderado,sgd,validacion_2023,101,3,521918,110757,0.21221149682517176,0.2780729974571313,1.310357834600351,0.6119674277747981,0.17270013689994812,0.5264643430709839,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\sgd_moderado\validacion_2023\20260704T213421Z_3083f830,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\sgd_moderado\validacion_2023\20260704T213421Z_3083f830\metricas_umbrales.csv,False,False
2026-07-04T21:37:13.604425+00:00,20260704T213421Z_3083f830,BTCUSDT,largo_tp070_sl035_240m,sgd_moderado,sgd,validacion_2024,101,3,526800,144006,0.2733599088838269,0.3236220951930634,1.1838681704075233,0.5815613871161462,0.19820958375930786,0.5836714506149292,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\sgd_moderado\validacion_2024\20260704T213421Z_3083f830,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\sgd_moderado\validacion_2024\20260704T213421Z_3083f830\metricas_umbrales.csv,False,False
2026-07-04T21:38:11.264666+00:00,20260704T213421Z_3083f830,BTCUSDT,largo_tp070_sl035_240m,histgb_moderado,histgb,validacion_2023,101,3,521918,110757,0.21221149682517176,0.28976487274782786,1.3654532251216702,0.6340767619104214,0.16949359123476387,0.516399714591755,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\histgb_moderado\validacion_2023\20260704T213421Z_3083f830,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\histgb_moderado\validacion_2023\20260704T213421Z_3083f830\metricas_umbrales.csv,False,False
2026-07-04T21:39:06.086241+00:00,20260704T213421Z_3083f830,BTCUSDT,largo_tp070_sl035_240m,histgb_moderado,histgb,validacion_2024,101,3,526800,144006,0.2733599088838269,0.322641199183896,1.1802798753529464,0.5825864010376339,0.2040140820880848,0.5946326036141769,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\histgb_moderado\validacion_2024\20260704T213421Z_3083f830,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp070_sl035_240m\histgb_moderado\validacion_2024\20260704T213421Z_3083f830\metricas_umbrales.csv,False,False
2026-07-04T21:45:24.037837+00:00,20260704T214443Z_8ec6802b,BTCUSDT,largo_tp050_sl030_120m,sgd_sin_pesos,sgd,validacion_2023,101,3,522039,111594,0.21376563819944486,0.27819415706042927,1.3013979206558546,0.610422363819187,0.16500544548034668,0.5084787607192993,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp050_sl030_120m\sgd_sin_pesos\validacion_2023\20260704T214443Z_8ec6802b,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp050_sl030_120m\sgd_sin_pesos\validacion_2023\20260704T214443Z_8ec6802b\metricas_umbrales.csv,False,False
2026-07-04T21:46:19.694438+00:00,20260704T214443Z_8ec6802b,BTCUSDT,largo_tp050_sl030_120m,sgd_sin_pesos,sgd,validacion_2024,101,3,526920,150105,0.28487246640856295,0.34385562440610273,1.207051101642608,0.5908592966784376,0.20847798883914948,0.617091178894043,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp050_sl030_120m\sgd_sin_pesos\validacion_2024\20260704T214443Z_8ec6802b,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp050_sl030_120m\sgd_sin_pesos\validacion_2024\20260704T214443Z_8ec6802b\metricas_umbrales.csv,False,False
2026-07-04T21:47:01.224285+00:00,20260704T214443Z_8ec6802b,BTCUSDT,largo_tp050_sl030_120m,sgd_moderado,sgd,validacion_2023,101,3,522039,111594,0.21376563819944486,0.29640652001836953,1.3865957247152143,0.6343287898553003,0.17667809128761292,0.534584641456604,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp050_sl030_120m\sgd_moderado\validacion_2023\20260704T214443Z_8ec6802b,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp050_sl030_120m\sgd_moderado\validacion_2023\20260704T214443Z_8ec6802b\metricas_umbrales.csv,False,False
2026-07-04T21:47:49.465578+00:00,20260704T214443Z_8ec6802b,BTCUSDT,largo_tp050_sl030_120m,sgd_moderado,sgd,validacion_2024,101,3,526920,150105,0.28487246640856295,0.34820328418302915,1.2223128776637802,0.5981392542313207,0.20271742343902588,0.5936590433120728,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp050_sl030_120m\sgd_moderado\validacion_2024\20260704T214443Z_8ec6802b,C:\xampp\htdocs\tutan_gestion\modelos_entrenados\cripto\corto_plazo_v5\desarrollo\BTCUSDT\largo_tp050_sl030_120m\sgd_moderado\validacion_2024\20260704T214443Z_8ec6802b\metricas_umbrales.csv,False,False
