simbolo,tipo_decision,muestras,accuracy,balanced_accuracy,f1_macro,precision_baja,recall_baja,f1_baja,precision_neutral,recall_neutral,f1_neutral,precision_sube,recall_sube,f1_sube
BTCUSDT,original,217200,0.5580340699815838,0.39811941356819025,0.374703501078914,0.3077007459412023,0.058300251491280944,0.09802722395988048,0.612134482598823,0.8640767966507764,0.7166063696686321,0.3589642333295724,0.27198119256251335,0.3094769096082294
BTCUSDT,ajustada_congelada,217200,0.528135359116022,0.4123688568901683,0.41183979858972153,0.28804873048876917,0.20443539168208177,0.23914417699975687,0.6398510788402031,0.7490208263489702,0.690145407971069,0.3327149661569316,0.2836503526394529,0.3062298107983387
ETHUSDT,original,217200,0.48728360957642725,0.3969874493315908,0.3607634443012811,0.3518783739120855,0.05521461787128114,0.09545155699001853,0.5413660213844276,0.8016258316062421,0.6462779146861577,0.34725287489836215,0.3341218985172491,0.34056086122766716
ETHUSDT,ajustada_congelada,217200,0.46854972375690607,0.41358701798738934,0.4119403971756281,0.32196308977754806,0.25845765553961314,0.2867362203214299,0.5856417105518973,0.6556511370411379,0.6186721435906595,0.33426098890625594,0.3266522613814172,0.33041282761479474
