mes,tipo_decision,muestras,accuracy,balanced_accuracy,f1_macro,recall_baja,recall_neutral,recall_sube,reales_baja,reales_neutral,reales_sube,porcentaje_real_baja,porcentaje_real_neutral,porcentaje_real_sube,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube,cm_baja_baja,cm_baja_neutral,cm_baja_sube,cm_neutral_baja,cm_neutral_neutral,cm_neutral_sube,cm_sube_baja,cm_sube_neutral,cm_sube_sube,desde_ajuste,hasta_ajuste,muestras_ajuste,multiplicador_baja,multiplicador_neutral,multiplicador_sube
2025-04,original,43200,0.41131944444444446,0.40330767193175876,0.36163758284943287,0.08374527478918291,0.6447729248879673,0.48140481611812597,13756,14951,14493,31.842592592592595,34.6087962962963,33.54861111111111,2807,23288,17105,6.497685185185185,53.907407407407405,39.59490740740741,1152,6995,5609,792,9640,4519,863,6653,6977,2025-01-01T00:00:00+00:00,2025-03-31T19:59:00+00:00,129360,1.5,1.0,1.35
2025-04,ajustada_walk_forward,43200,0.4080324074074074,0.4079774519977056,0.40846447765262406,0.4030241349229427,0.4051902882750318,0.41571793279514246,13756,14951,14493,31.842592592592595,34.6087962962963,33.54861111111111,15745,13216,14239,36.44675925925926,30.592592592592595,32.960648148148145,5544,3675,4537,5216,6058,3677,4985,3483,6025,2025-01-01T00:00:00+00:00,2025-03-31T19:59:00+00:00,129360,1.5,1.0,1.35
2025-05,original,44640,0.41303763440860214,0.3999302925487813,0.3586819297290165,0.07218349449066787,0.6528903111595288,0.4747170719961474,13341,14687,16612,29.88575268817204,32.90098566308244,37.21326164874552,3345,23210,18085,7.493279569892473,51.99372759856631,40.51299283154122,963,6781,5597,496,9589,4602,1886,6840,7886,2025-01-01T00:00:00+00:00,2025-04-30T19:59:00+00:00,172560,1.5,1.0,1.35
2025-05,ajustada_walk_forward,44640,0.40855734767025087,0.41169023647907693,0.4104257477200653,0.4451690278090098,0.427452849458705,0.362448832169516,13341,14687,16612,29.88575268817204,32.90098566308244,37.21326164874552,17589,12732,14319,39.40188172043011,28.521505376344088,32.0766129032258,5939,3247,4155,4266,6278,4143,7384,3207,6021,2025-01-01T00:00:00+00:00,2025-04-30T19:59:00+00:00,172560,1.5,1.0,1.35
2025-06,original,43200,0.43425925925925923,0.3901164729892919,0.3502109211599931,0.07599420383191112,0.7728645506866488,0.3214906644493159,12422,17549,13229,28.75462962962963,40.62268518518518,30.622685185185183,1944,30508,10748,4.5,70.62037037037037,24.87962962962963,944,8384,3094,585,13563,3401,415,8561,4253,2025-01-01T00:00:00+00:00,2025-05-31T19:59:00+00:00,217200,1.4,1.0,1.25
2025-06,ajustada_walk_forward,43200,0.4321990740740741,0.4164693510397495,0.41024514965974607,0.42408629850265656,0.5751894694854408,0.25013228513115127,12422,17549,13229,28.75462962962963,40.62268518518518,30.622685185185183,14699,20418,8083,34.02546296296297,47.263888888888886,18.71064814814815,5268,4807,2347,5028,10094,2427,4403,5517,3309,2025-01-01T00:00:00+00:00,2025-05-31T19:59:00+00:00,217200,1.4,1.0,1.25
2025-07,original,44640,0.41312724014336916,0.36956156615737407,0.33671659923922914,0.07524631615659604,0.7200113218228135,0.3134270604927125,11469,17665,15506,25.692204301075268,39.57213261648745,34.73566308243727,3121,28819,12700,6.9914874551971335,64.5586917562724,28.449820788530467,863,6851,3755,861,12719,4085,1397,9249,4860,2025-01-01T00:00:00+00:00,2025-06-30T19:59:00+00:00,260400,1.45,1.0,1.3
2025-07,ajustada_walk_forward,44640,0.38277329749103944,0.38551536190773805,0.3749883953507762,0.4510419391402912,0.4513444664590999,0.25415968012382306,11469,17665,15506,25.692204301075268,39.57213261648745,34.73566308243727,17549,16672,10419,39.31227598566308,37.34767025089606,23.34005376344086,5173,3336,2960,6174,7973,3518,6202,5363,3941,2025-01-01T00:00:00+00:00,2025-06-30T19:59:00+00:00,260400,1.45,1.0,1.3
2025-08,original,44640,0.39453405017921145,0.3710740219743185,0.330702832586342,0.06573829158238681,0.6932594644506002,0.35422430988996845,12854,16245,15541,28.794802867383513,36.391129032258064,34.814068100358426,2948,27456,14236,6.603942652329748,61.505376344086024,31.89068100358423,845,7331,4678,930,11262,4053,1173,8863,5505,2025-01-01T00:00:00+00:00,2025-07-31T19:59:00+00:00,305040,1.4,1.0,1.25
2025-08,ajustada_walk_forward,44640,0.364336917562724,0.36151800373305604,0.3588935896738299,0.3411389450754629,0.4624807633117882,0.2809343028119169,12854,16245,15541,28.794802867383513,36.391129032258064,34.814068100358426,15438,17011,12191,34.583333333333336,38.107078853046595,27.309587813620073,4385,4130,4339,5246,7513,3486,5807,5368,4366,2025-01-01T00:00:00+00:00,2025-07-31T19:59:00+00:00,305040,1.4,1.0,1.25
2025-09,original,43200,0.5320833333333334,0.3721305113283326,0.33502904709195835,0.04264735465701066,0.8907599123673697,0.1829842669606173,9942,23279,9979,23.01388888888889,53.886574074074076,23.099537037037038,1135,36451,5614,2.627314814814815,84.37731481481482,12.99537037037037,424,7792,1726,481,20736,2062,230,7923,1826,2025-01-01T00:00:00+00:00,2025-08-31T19:59:00+00:00,349680,1.4,1.0,1.25
2025-09,ajustada_walk_forward,43200,0.5079166666666667,0.41661411900628953,0.41228820919604353,0.3545564272782136,0.713003135873534,0.18228279386712096,9942,23279,9979,23.01388888888889,53.886574074074076,23.099537037037038,11248,27082,4870,26.037037037037038,62.68981481481482,11.273148148148149,3525,5067,1350,4980,16598,1701,2743,5417,1819,2025-01-01T00:00:00+00:00,2025-08-31T19:59:00+00:00,349680,1.4,1.0,1.25
2025-10,original,44640,0.42616487455197133,0.38707536128036785,0.3420064172275437,0.05412092160197928,0.7545567056705671,0.35254845656855704,12934,17776,13930,28.974014336917563,39.82078853046595,31.205197132616487,2315,29286,13039,5.185931899641577,65.60483870967741,29.209229390681003,700,7621,4613,848,13413,3515,767,8252,4911,2025-01-01T00:00:00+00:00,2025-09-30T19:59:00+00:00,392880,1.4,1.0,1.3
2025-10,ajustada_walk_forward,44640,0.4198700716845878,0.4079217980921494,0.40735194741826586,0.3118138240296892,0.5217146714671467,0.3902368987796124,12934,17776,13930,28.974014336917563,39.82078853046595,31.205197132616487,11928,18907,13805,26.720430107526884,42.354390681003586,30.925179211469533,4033,4562,4339,4472,9274,4030,3423,5071,5436,2025-01-01T00:00:00+00:00,2025-09-30T19:59:00+00:00,392880,1.4,1.0,1.3
