mes,muestras,accuracy_original,accuracy_ajustada,delta_accuracy,balanced_accuracy_original,balanced_accuracy_ajustada,delta_balanced_accuracy,f1_macro_original,f1_macro_ajustada,delta_f1_macro,recall_baja_original,recall_baja_ajustada,delta_recall_baja,recall_neutral_original,recall_neutral_ajustada,delta_recall_neutral,recall_sube_original,recall_sube_ajustada,delta_recall_sube,predicho_baja_original_pct,predicho_baja_ajustada_pct,predicho_neutral_original_pct,predicho_neutral_ajustada_pct,predicho_sube_original_pct,predicho_sube_ajustada_pct
2025-01,44640,0.5257840501792115,0.48445340501792117,-0.041330645161290314,0.40308325260186395,0.40401789522724635,0.0009346426253823981,0.37983661258681045,0.40331220822114533,0.023475595634334878,0.06255077173030058,0.20978878960194963,0.14723801787164906,0.8250399205903932,0.6850804885417117,-0.13995943204868155,0.32165906548489803,0.31718440753807764,-0.004474657946820393,5.398745519713262,18.74551971326165,73.83064516129032,58.87320788530466,20.770609318996417,22.38127240143369
2025-02,40320,0.5529513888888888,0.549875992063492,-0.0030753968253968145,0.4148047119972205,0.4490941698747488,0.034289457877528295,0.3790071790802861,0.4425678768783112,0.06356069779802509,0.04499289051391428,0.2039406865732277,0.15894779605931342,0.8601547301271321,0.7713432565715062,-0.08881147355562591,0.3392665153506152,0.3719985664795126,0.03273205112889743,3.4449404761904763,14.15922619047619,74.44940476190476,61.50545634920634,22.105654761904763,24.33531746031746
2025-03,44640,0.48452060931899643,0.4815412186379928,-0.002979390681003613,0.40772712557492885,0.4252522994594223,0.017525173884493428,0.37229482490537186,0.417028403854456,0.04473357894908414,0.07208486468426328,0.2083194119612429,0.13623454727697962,0.822590969520902,0.730759761682013,-0.0918312078388891,0.32850554251962133,0.3366777247350109,0.008172182215389567,5.761648745519713,17.143817204301076,69.84991039426524,57.018369175627235,24.388440860215056,25.837813620071685
2025-04,43200,0.5405555555555556,0.5225231481481482,-0.018032407407407414,0.40813011781533226,0.43700985813825005,0.02887974032291779,0.38921801673459977,0.43659664860492287,0.047378631870323096,0.08686980609418282,0.2824376731301939,0.1955678670360111,0.8603874415497662,0.7423291026497439,-0.11805833890002226,0.2771331058020478,0.2862627986348123,0.009129692832764491,5.6990740740740735,19.30324074074074,76.64583333333333,62.12731481481482,17.65509259259259,18.569444444444443
2025-05,44640,0.5953181003584229,0.5622759856630825,-0.03304211469534046,0.3662973479492682,0.39062072011789634,0.02432337216862812,0.3339819961894073,0.38390667650818916,0.04992468031878183,0.04889106727116775,0.20928807744149,0.16039701017032226,0.9401850256563916,0.826173264916289,-0.11401176074010266,0.1098159509202454,0.13640081799591003,0.026584867075664625,2.7800179211469533,14.731182795698924,91.22535842293907,76.581541218638,5.994623655913978,8.687275985663083
2025-06,43200,0.6471064814814815,0.6056712962962963,-0.041435185185185186,0.36751228735743496,0.3787061006730812,0.011193813315646228,0.33968280798672223,0.37365821805534094,0.033975410068618705,0.037694013303769404,0.14146341463414633,0.10376940133037693,0.9630945970202837,0.8650511577813678,-0.0980434392389159,0.10174825174825175,0.1296037296037296,0.027855477855477845,1.8356481481481481,10.641203703703704,93.82638888888889,82.89583333333333,4.337962962962963,6.462962962962964
2025-07,44640,0.6676299283154122,0.6225806451612903,-0.04504928315412193,0.3454612201033341,0.36862286254834387,0.02316164244500979,0.31340698555991287,0.36280063791724554,0.049393652357332674,0.024995942217172537,0.15581886057458205,0.1308229183574095,0.9550657335339132,0.8522140100726012,-0.102851723461312,0.05632198455891659,0.09783571699784838,0.041513732438931784,1.8884408602150535,12.24462365591398,94.54973118279571,81.86155913978494,3.5618279569892475,5.893817204301075
2025-08,44640,0.6482302867383513,0.6173835125448028,-0.03084677419354842,0.3492760396216279,0.3588062954100904,0.009530255788462505,0.319738402846579,0.3510563495552399,0.03131794670866089,0.015187649052340907,0.11861428392117485,0.10342663486883394,0.9371280380357083,0.8644146690161918,-0.07271336901951653,0.09551243177683444,0.09338993329290479,-0.002122498483929647,2.706093189964158,10.521953405017921,91.92876344086022,82.27374551971326,5.365143369175628,7.204301075268817
2025-09,43200,0.721875,0.6944907407407407,-0.027384259259259358,0.34660514073592924,0.3702872983504711,0.023682157614541843,0.3181861149291087,0.3623089476736589,0.0441228327445502,0.029451656655686883,0.1385390428211587,0.10908738616547181,0.9755232576549191,0.9158038060859377,-0.059719451568981397,0.03484050789718179,0.056519046144317124,0.021678538247135337,1.5879629629629628,7.763888888888888,96.63425925925925,89.42824074074073,1.7777777777777777,2.8078703703703702
2025-10,44640,0.5438620071684588,0.5175403225806452,-0.026321684587813587,0.3753791837991442,0.3971021778212702,0.02172299402212602,0.3477538427270079,0.39384916960426425,0.04609532687725637,0.06931548261714532,0.23040380047505937,0.16108831785791405,0.8880293159609121,0.7694625407166124,-0.1185667752442997,0.1687927528193751,0.19144019227213901,0.0226474394527639,3.324372759856631,14.592293906810037,82.97043010752688,68.93593189964157,13.705197132616487,16.471774193548384
