mes,muestras,accuracy_original,accuracy_ajustada,delta_accuracy,balanced_accuracy_original,balanced_accuracy_ajustada,delta_balanced_accuracy,f1_macro_original,f1_macro_ajustada,delta_f1_macro,recall_baja_original,recall_baja_ajustada,delta_recall_baja,recall_neutral_original,recall_neutral_ajustada,delta_recall_neutral,recall_sube_original,recall_sube_ajustada,delta_recall_sube,predicho_baja_original_pct,predicho_baja_ajustada_pct,predicho_neutral_original_pct,predicho_neutral_ajustada_pct,predicho_sube_original_pct,predicho_sube_ajustada_pct
2025-01,44640,0.40069444444444446,0.3824148745519713,-0.018279569892473146,0.38075861411839723,0.3753618526324321,-0.005396761485965129,0.33306863141587506,0.3728813227629355,0.03981269134706045,0.06234648172229447,0.27828348504551365,0.2159370033232192,0.7296508091008639,0.5026767246623677,-0.2269740844384962,0.3502785515320334,0.34512534818941504,-0.005153203342618373,5.810931899641577,26.875,63.59767025089605,41.975806451612904,30.591397849462364,31.149193548387093
2025-02,40320,0.42155257936507934,0.42058531746031746,-0.0009672619047618736,0.42400316903644786,0.4223499031648637,-0.001653265871584153,0.3679474749105247,0.4178685921521432,0.04992111724161852,0.06824969043630272,0.3020613300313206,0.23381163959501786,0.6752724347253711,0.4573246544284356,-0.2179477802969355,0.5284873819476699,0.5076637250348351,-0.02082365691283472,5.076884920634921,25.719246031746028,51.27232142857143,31.178075396825395,43.65079365079365,43.10267857142857
2025-03,44640,0.4016353046594982,0.39834229390681003,-0.0032930107526881747,0.40029349107408474,0.3984600282051764,-0.001833462868908342,0.3388049637656691,0.38882999963691695,0.05002503587124785,0.04721422966256866,0.23463248757520272,0.18741825791263406,0.7233565896434744,0.5309479613390514,-0.19240862830442296,0.4303096539162113,0.42979963570127505,-0.0005100182149362364,4.543010752688172,23.680555555555554,60.70564516129032,41.08870967741935,34.751344086021504,35.23073476702509
2025-04,43200,0.41131944444444446,0.407662037037037,-0.0036574074074074425,0.40330767193175876,0.40511295425712834,0.0018052823253695838,0.36163758284943287,0.40202440648933885,0.04038682363990598,0.08374527478918291,0.28903751090433266,0.20529223611514974,0.6447729248879673,0.4587652999799344,-0.1860076249080329,0.48140481611812597,0.46753605188711794,-0.013868764231008024,6.497685185185185,25.451388888888886,53.907407407407405,36.145833333333336,39.59490740740741,38.40277777777778
2025-05,44640,0.41303763440860214,0.41913082437275984,0.006093189964157697,0.3999302925487813,0.4159486229400173,0.016018330391235958,0.3586819297290165,0.41588070760759194,0.05719877787857541,0.07218349449066787,0.331009669440072,0.25882617494940413,0.6528903111595288,0.486484646285831,-0.1664056648736978,0.4747170719961474,0.4303515530941488,-0.04436551890199858,7.493279569892473,28.696236559139788,51.99372759856631,32.988351254480285,40.51299283154122,38.31541218637993
2025-06,43200,0.43425925925925923,0.4346759259259259,0.0004166666666666763,0.3901164729892919,0.4187446010930913,0.02862812810379939,0.3502109211599931,0.4177431241983037,0.06753220303831059,0.07599420383191112,0.3554983094509741,0.27950410561906297,0.7728645506866488,0.566243090774403,-0.2066214599122458,0.3214906644493159,0.33449240305389677,0.01300173860458087,4.5,27.629629629629633,70.62037037037037,46.3912037037037,24.87962962962963,25.979166666666664
2025-07,44640,0.41312724014336916,0.3886424731182796,-0.02448476702508956,0.36956156615737407,0.38080168067914383,0.011240114521769762,0.33671659923922914,0.3784708285175717,0.04175422927834255,0.07524631615659604,0.34841747318859534,0.2731711570319993,0.7200113218228135,0.4823662609680158,-0.23764506085479764,0.3134270604927125,0.3116213078808203,-0.0018057526118921974,6.9914874551971335,30.53763440860215,64.5586917562724,39.96415770609319,28.449820788530467,29.498207885304662
2025-08,44640,0.39453405017921145,0.3710125448028674,-0.023521505376344065,0.3710740219743185,0.36433750402967696,-0.006736517944641529,0.330702832586342,0.36404693587331716,0.03334410328697518,0.06573829158238681,0.2763342150303407,0.21059592344795391,0.6932594644506002,0.45170821791320404,-0.24155124653739612,0.35422430988996845,0.3649700791454861,0.010745769255517679,6.603942652329748,27.827060931899645,61.505376344086024,36.973566308243726,31.89068100358423,35.19937275985663
2025-09,43200,0.5320833333333334,0.5113888888888889,-0.02069444444444446,0.3721305113283326,0.42308482264262054,0.05095431131428796,0.33502904709195835,0.4237389836066067,0.08870993651464837,0.04264735465701066,0.31613357473345405,0.2734862200764434,0.8907599123673697,0.7096095193092486,-0.18115039305812108,0.1829842669606173,0.24351137388515884,0.06052710692454155,2.627314814814815,22.19675925925926,84.37731481481482,62.145833333333336,12.99537037037037,15.657407407407408
2025-10,44640,0.42616487455197133,0.4198700716845878,-0.006294802867383542,0.38707536128036785,0.4079217980921494,0.020846436811781555,0.3420064172275437,0.40735194741826586,0.06534553019072215,0.05412092160197928,0.3118138240296892,0.2576929024277099,0.7545567056705671,0.5217146714671467,-0.23284203420342042,0.35254845656855704,0.3902368987796124,0.03768844221105533,5.185931899641577,26.720430107526884,65.60483870967741,42.354390681003586,29.209229390681003,30.925179211469533
