periodo,metrica,v4_1,v4_3,diferencia_v4_3_menos_v4_1
2023,operaciones,70.0,171.0,101.0
2023,precision_clasificacion,0.5,0.4093567251461988,-0.09064327485380119
2023,porcentaje_acierto_clasificacion,50.0,40.93567251461988,-9.064327485380119
2023,porcentaje_operaciones_positivas,61.42857142857143,56.72514619883041,-4.703425229741022
2023,retorno_neto_medio,0.0051910872654035,0.0017120993525247,-0.0034789879128787997
2023,retorno_neto_mediano,0.0052199922982772,0.0025996809402856,-0.0026203113579916005
2023,factor_beneficio,1.805400632437296,1.3567709040165783,-0.4486297284207177
2023,maximo_drawdown,-0.0887242488524493,-0.1425379910320465,-0.05381374217959721
2024,operaciones,127.0,298.0,171.0
2024,precision_clasificacion,0.4803149606299212,0.3892617449664429,-0.09105321566347829
2024,porcentaje_acierto_clasificacion,48.031496062992126,38.92617449664429,-9.105321566347833
2024,porcentaje_operaciones_positivas,61.41732283464568,53.355704697986575,-8.061618136659106
2024,retorno_neto_medio,0.0034967528600651,0.0003340686968172,-0.0031626841632479
2024,retorno_neto_mediano,0.0059078664120252,0.0007836664937134,-0.0051241999183118
2024,factor_beneficio,1.433836715067117,1.0451689285979833,-0.3886677864691337
2024,maximo_drawdown,-0.1258043274778131,-0.4309924140314958,-0.3051880865536827
