umbral,prevalencia_validacion_2023,verdaderos_positivos_validacion_2023,falsos_positivos_validacion_2023,falsos_negativos_validacion_2023,verdaderos_negativos_validacion_2023,senales_validacion_2023,cobertura_validacion_2023,precision_validacion_2023,recall_validacion_2023,especificidad_validacion_2023,balanced_accuracy_validacion_2023,f1_validacion_2023,precision_lift_validacion_2023,retorno_bruto_medio_todas_senales_validacion_2023,retorno_bruto_mediano_todas_senales_validacion_2023,operaciones_no_solapadas_validacion_2023,operaciones_no_solapadas_por_dia_validacion_2023,precision_objetivo_no_solapada_validacion_2023,tasa_retorno_positivo_no_solapada_validacion_2023,retorno_bruto_medio_no_solapado_validacion_2023,retorno_neto_medio_no_solapado_validacion_2023,retorno_neto_mediano_no_solapado_validacion_2023,factor_beneficio_no_solapado_validacion_2023,maximo_drawdown_no_solapado_validacion_2023,coste_operacion_validacion_2023,pr_auc_validacion_2023,pr_auc_lift_validacion_2023,prevalencia_validacion_2024,verdaderos_positivos_validacion_2024,falsos_positivos_validacion_2024,falsos_negativos_validacion_2024,verdaderos_negativos_validacion_2024,senales_validacion_2024,cobertura_validacion_2024,precision_validacion_2024,recall_validacion_2024,especificidad_validacion_2024,balanced_accuracy_validacion_2024,f1_validacion_2024,precision_lift_validacion_2024,retorno_bruto_medio_todas_senales_validacion_2024,retorno_bruto_mediano_todas_senales_validacion_2024,operaciones_no_solapadas_validacion_2024,operaciones_no_solapadas_por_dia_validacion_2024,precision_objetivo_no_solapada_validacion_2024,tasa_retorno_positivo_no_solapada_validacion_2024,retorno_bruto_medio_no_solapado_validacion_2024,retorno_neto_medio_no_solapado_validacion_2024,retorno_neto_mediano_no_solapado_validacion_2024,factor_beneficio_no_solapado_validacion_2024,maximo_drawdown_no_solapado_validacion_2024,coste_operacion_validacion_2024,pr_auc_validacion_2024,pr_auc_lift_validacion_2024,simbolo,detector,variante,variables,precision_minimo,precision_medio,precision_diferencia,recall_minimo,recall_medio,recall_diferencia,f1_minimo,f1_medio,f1_diferencia,precision_lift_minimo,precision_lift_medio,precision_lift_diferencia,operaciones_no_solapadas_minimo,operaciones_no_solapadas_medio,operaciones_no_solapadas_diferencia,precision_objetivo_no_solapada_minimo,precision_objetivo_no_solapada_medio,precision_objetivo_no_solapada_diferencia,tasa_retorno_positivo_no_solapada_minimo,tasa_retorno_positivo_no_solapada_medio,tasa_retorno_positivo_no_solapada_diferencia,retorno_neto_medio_no_solapado_minimo,retorno_neto_medio_no_solapado_medio,retorno_neto_medio_no_solapado_diferencia,factor_beneficio_no_solapado_minimo,factor_beneficio_no_solapado_medio,factor_beneficio_no_solapado_diferencia,maximo_drawdown_no_solapado_minimo,maximo_drawdown_no_solapado_medio,maximo_drawdown_no_solapado_diferencia,pr_auc_minimo,pr_auc_medio,pr_auc_diferencia,pr_auc_lift_minimo,pr_auc_lift_medio,pr_auc_lift_diferencia,puntuacion_perfil,perfil,cumple_filtros
0.32,0.155510547233262,47538,168996,33850,272976,216534,0.4137381534698869,0.2195405802322037,0.5840910207893055,0.6176318861828352,0.6008614534860703,0.3191305106705782,1.4117407734595535,-0.0008833813712195,-0.0001726697555392,1679,4.602110176089113,0.1768910065515187,0.4931506849315068,-0.0006081723751145,-0.0006081723751145,-0.0001347103047328,0.8232372449299599,-0.6773813232521113,0.0,0.2281115568593205,1.4668558558742564,0.2236104783599088,71310,181806,46488,227196,253116,0.4804783599088838,0.2817285355331153,0.6053583252686803,0.5554887262164977,0.5804235257425889,0.3845096167844837,1.2599075749914694,-0.000515825563832,-0.0004304285146473,1718,4.696136477100374,0.2630966239813737,0.4726426076833527,-0.0003369266595049,-0.0003369266595049,-0.0005103367930089,0.9216993933283107,-0.6106538906199399,0.0,0.2868681850508032,1.2828924080609443,BTCUSDT,BAJA,v4_63_moderado,63,0.2195405802322037,0.2506345578826595,0.06218795530091156,0.5840910207893055,0.5947246730289929,0.02126730447937475,0.3191305106705782,0.35182006372753094,0.06537910611390552,1.2599075749914694,1.3358241742255115,0.15183319846808407,1679,1698.5,39,0.1768910065515187,0.21999381526644618,0.08620561742985497,0.4726426076833527,0.4828966463074298,0.020508077248154122,-0.0006081723751145,-0.0004725495173097,0.00027124571560960004,0.8232372449299599,0.8724683191291354,0.09846214839835088,-0.6773813232521113,-0.6440176069360256,0.0667274326321714,0.2281115568593205,0.2574898709550618,0.058756628191482696,1.2828924080609443,1.3748741319676003,0.1839634478133121,0.38959440055788064,equilibrado,True
0.47,0.155510547233262,2505,5680,78883,436292,8185,0.0156393304799755,0.3060476481368356,0.0307784931439524,0.987148507145249,0.5089635001446008,0.0559320330903285,1.9680185915478243,-0.0018422915258714,-0.0010437096937765,458,1.25537013737273,0.2882096069868995,0.5,-0.0011883079801466,-0.0011883079801466,4.797256835664676e-05,0.7703951919686722,-0.4668456369736211,0.0,0.2281115568593205,1.4668558558742564,0.2236104783599088,9570,21353,108228,387649,30923,0.0586996962794229,0.3094783817870193,0.0812407680945347,0.947792431332854,0.5145165997136943,0.1286973594852105,1.384006617475694,-0.0024911509059177,-0.001741275990307,716,1.9571791138555688,0.3142458100558659,0.5027932960893855,-0.0005014165028723,-0.0005014165028723,0.0001011850492921,0.9118047193467465,-0.4539902187205112,0.0,0.2868681850508032,1.2828924080609443,BTCUSDT,BAJA,v4_63_moderado,63,0.3060476481368356,0.3077630149619275,0.003430733650183704,0.0307784931439524,0.05600963061924355,0.05046227495058231,0.0559320330903285,0.0923146962877695,0.072765326394882,1.384006617475694,1.6760126045117592,0.5840119740721303,458,587.0,258,0.2882096069868995,0.3012277085213827,0.026036203068966368,0.5,0.5013966480446927,0.0027932960893854997,-0.0011883079801466,-0.00084486224150945,0.0006868914772743,0.7703951919686722,0.8410999556577093,0.14140952737807422,-0.4668456369736211,-0.46041792784706614,0.012855418253109874,0.2281115568593205,0.2574898709550618,0.058756628191482696,1.2828924080609443,1.3748741319676003,0.1839634478133121,0.32327011785427806,precision,True
0.31,0.155510547233262,2492,6136,78896,435836,8628,0.0164857841638642,0.2888270746407047,0.0306187644370177,0.9861167675780366,0.5083677660075272,0.0553679345894063,1.8572828645987025,-0.0009077500993352,-0.001034994970118,150,0.4111474249037325,0.32,0.5066666666666667,-0.001898964085662,-0.001898964085662,0.0002554130608266,0.7069912741169558,-0.2989478356361582,0.0,0.2155910178972153,1.386343381416015,0.2236104783599088,5926,12851,111872,396151,18777,0.0356435079726651,0.3155988709591522,0.0503064568159052,0.9685796157476002,0.5094430362817527,0.0867801574226615,1.4113778266293262,-0.0024603717931064,-0.0016870787806726,282,0.7708442878593164,0.3581560283687943,0.5177304964539007,-0.0003425563471388,-0.0003425563471388,0.0001749076682556,0.9476965101971454,-0.3301859124019763,0.0,0.284542344015574,1.2724911019491365,BTCUSDT,BAJA,v4_63_sin_pesos,63,0.2888270746407047,0.3022129727999284,0.026771796318447505,0.0306187644370177,0.04046261062646145,0.019687692378887497,0.0553679345894063,0.0710740460060339,0.0314122228332552,1.4113778266293262,1.6343303456140144,0.4459050379693763,150,216.0,132,0.32,0.33907801418439715,0.03815602836879428,0.5066666666666667,0.5121985815602836,0.01106382978723397,-0.001898964085662,-0.0011207602164004,0.0015564077385232,0.7069912741169558,0.8273438921570506,0.24070523608018957,-0.3301859124019763,-0.31456687401906724,0.031238076765818135,0.2155910178972153,0.2500666809563946,0.06895132611835869,1.2724911019491365,1.3294172416825758,0.11385227946687859,0.08083065099963181,operativo,False
0.3,0.1793201620299602,47703,140583,46146,288928,188286,0.359763833690003,0.2533539402823364,0.508295240226321,0.6726905713706983,0.5904929057985097,0.3381572651390291,1.4128580825172734,0.0009683203864263,0.0005063464344737,1360,3.727736652460508,0.2338235294117647,0.5066176470588235,0.0005873758916192,0.0005873758916192,0.0001676330892098,1.1861995394096216,-0.2058832279110036,0.0,0.2617913938243926,1.4599105357748523,0.2552714502657555,73347,149660,61130,242663,223007,0.4233238420652999,0.3288999896864224,0.545424124571488,0.6185286103542235,0.5819763674628557,0.4103512325027134,1.2884323309324817,0.0005947024654682,0.0008102496285502,1481,4.048299256452651,0.3024983119513842,0.5158676569885212,0.0004968154962101,0.0004968154962101,0.0003625726957392,1.118907406260694,-0.3300476234162141,0.0,0.3420517424990273,1.3399529878602856,BTCUSDT,SUBE,v4_63_moderado,63,0.2533539402823364,0.2911269649843794,0.07554604940408605,0.508295240226321,0.5268596823989045,0.037128884345167035,0.3381572651390291,0.3742542488208712,0.07219396736368427,1.2884323309324817,1.3506452067248775,0.12442575158479174,1360,1420.5,121,0.2338235294117647,0.2681609206815745,0.0686747825396195,0.5066176470588235,0.5112426520236724,0.009250009929697711,0.0004968154962101,0.00054209569391465,9.056039540910005e-05,1.118907406260694,1.1525534728351579,0.06729213314892757,-0.3300476234162141,-0.2679654256636088,0.12416439550521047,0.2617913938243926,0.30192156816170995,0.08026034867463472,1.3399529878602856,1.399931761817569,0.1199575479145667,0.41900993500700134,equilibrado,True
0.74,0.1793201620299602,2890,4210,90959,425301,7100,0.0135661877101803,0.4070422535211268,0.0307941480463297,0.9901981555769236,0.5104961518116267,0.0572566345382321,2.269919059370019,0.0029618790365761,0.0025625842923879,566,1.5513962833034174,0.3604240282685512,0.5954063604240283,0.0018926729592163,0.0018926729592163,0.001925415197163,1.5149398887167715,-0.1643170137663583,0.0,0.266456515711612,1.485926137335819,0.2552714502657555,11366,15354,123111,376969,26720,0.0507213363705391,0.425374251497006,0.0845200294474148,0.9608638800172308,0.5226919547323228,0.1410199941686259,1.6663604608120552,0.0024065305656425,0.0026071138250257,802,2.192259286748836,0.3241895261845386,0.5261845386533666,0.0002559525851066,0.0002559525851066,0.0005542468329863,1.0487644445890445,-0.3429998830853779,0.0,0.3412833228904741,1.3369427820274231,BTCUSDT,SUBE,v4_63_balanceado,63,0.4070422535211268,0.41620825250906635,0.0183319979758792,0.0307941480463297,0.05765708874687225,0.0537258814010851,0.0572566345382321,0.099138314353429,0.0837633596303938,1.6663604608120552,1.968139760091037,0.6035585985579637,566,684.0,236,0.3241895261845386,0.3423067772265449,0.036234502084012576,0.5261845386533666,0.5607954495386974,0.06922182177066172,0.0002559525851066,0.00107431277216145,0.0016367203741097,1.0487644445890445,1.2818521666529081,0.46617544412772705,-0.3429998830853779,-0.2536584484258681,0.17868286931901958,0.266456515711612,0.303869919301043,0.07482680717886209,1.3369427820274231,1.411434459681621,0.1489833553083959,0.4269688074271309,precision,True
0.48,0.1793201620299602,393,377,93456,429134,770,0.0014712626108223,0.5103896103896104,0.0041875779177188,0.9991222576371734,0.5016549177774462,0.0083069996512328,2.8462477649576075,0.0060152076850053,0.0053886244564049,52,0.1425311072999606,0.5769230769230769,0.6538461538461539,0.0045254174054865,0.0045254174054865,0.0080196708168603,1.995128264403672,-0.0649662580600853,0.0,0.2464594157609555,1.37440995463621,0.2552714502657555,2263,2072,132214,390251,4335,0.0082289293849658,0.5220299884659746,0.0168281564877265,0.9947186374492446,0.5057733969684856,0.0326052502665475,2.044999501207459,0.0062559073672625,0.0058017985111344,119,0.3252853555151015,0.5462184873949579,0.6134453781512605,0.0031984963088579,0.0031984963088579,0.0058721755940573,1.4869330417605933,-0.1597235358509984,0.0,0.3392605656695925,1.329018835895665,BTCUSDT,SUBE,v4_63_sin_pesos,63,0.5103896103896104,0.5162097994277925,0.0116403780763642,0.0041875779177188,0.010507867202722648,0.012640578570007699,0.0083069996512328,0.02045612495889015,0.024298250615314702,2.044999501207459,2.4456236330825334,0.8012482637501486,52,85.5,67,0.5462184873949579,0.5615707821590175,0.030704589528118942,0.6134453781512605,0.6336457659987071,0.04040077569489331,0.0031984963088579,0.0038619568571722,0.0013269210966285997,1.4869330417605933,1.7410306530821327,0.5081952226430788,-0.1597235358509984,-0.11234489695554185,0.09475727779091311,0.2464594157609555,0.292859990715274,0.092801149908637,1.329018835895665,1.3517143952659376,0.04539111874054513,0.13991999197839255,operativo,True
0.34,0.1900317181290125,73648,261522,25807,162383,335170,0.6404195964536838,0.2197332696840409,0.7405158111708813,0.3830646017385971,0.5617902064547392,0.3389036525740581,1.1562978635748795,-0.0005711392488023,-0.0001774139386556,1981,5.42988699156196,0.2094901564866229,0.4931852599697122,-0.00033281687076,-0.00033281687076,-9.987127702082432e-05,0.9022874956502408,-0.5587287007590471,0.0,0.2323431416135246,1.2226545331542331,0.2692350037965072,96943,219008,44890,165959,315951,0.5997551252847381,0.3068292235188368,0.6835010188038044,0.4310992890299688,0.5573001539168866,0.4235316219002848,1.139633477044998,-8.712270909686145e-05,-0.0003069868656251,1848,5.051490226822754,0.2867965367965367,0.4832251082251082,-0.0002189130310771,-0.0002189130310771,-0.0004143684038003,0.9555847362323155,-0.5547320013400203,0.0,0.310738266900965,1.1541525526741192,ETHUSDT,BAJA,v4_63_moderado,63,0.2197332696840409,0.2632812466014388,0.0870959538347959,0.6835010188038044,0.7120084149873429,0.05701479236707685,0.3389036525740581,0.38121763723717145,0.08462796932622674,1.139633477044998,1.1479656703099388,0.016664386529881448,1848,1914.5,133,0.2094901564866229,0.2481433466415798,0.07730638030991382,0.4832251082251082,0.4882051840974102,0.009960151744603962,-0.00033281687076,-0.00027586495091855,0.0001139038396829,0.9022874956502408,0.9289361159412781,0.053297240582074745,-0.5587287007590471,-0.5567303510495337,0.003996699419026806,0.2323431416135246,0.2715407042572448,0.07839512528744041,1.1541525526741192,1.1884035429141762,0.06850198048011391,0.3695514078515356,equilibrado,True
0.41,0.1900317181290125,87792,328992,11663,94913,416784,0.7963619688168756,0.2106414833582863,0.8827308833140617,0.2239015817223198,0.5533162325181907,0.3401215328559058,1.108454343475871,-0.0004614223022539,-0.0001456172268193,2133,5.846516382131076,0.1847163619315518,0.4992967651195499,-0.0003594992135496,-0.0003594992135496,-2.102850413732149e-05,0.8910856453621394,-0.6053980193433244,0.0,0.2355602827774812,1.23958402890174,0.2692350037965072,129806,326766,12027,58201,456572,0.8666894457099469,0.2843056516825386,0.9152030909590856,0.1511843872331914,0.5331937390961385,0.4338399578880524,1.055975811738885,-0.0002190999706681,-0.0003226233899107,2160,5.904339226156466,0.2643518518518518,0.4888888888888889,-0.0002696747036721,-0.0002696747036721,-0.000209867026833,0.941577021694011,-0.6270185843566223,0.0,0.3088703608634091,1.147214725084035,ETHUSDT,BAJA,v4_63_balanceado,63,0.2106414833582863,0.24747356752041244,0.07366416832425227,0.8827308833140617,0.8989669871365736,0.0324722076450239,0.3401215328559058,0.38698074537197913,0.09371842503214661,1.055975811738885,1.082215077607378,0.0524785317369858,2133,2146.5,27,0.1847163619315518,0.22453410689170178,0.07963548992029998,0.4888888888888889,0.4940928270042194,0.010407876230661028,-0.0003594992135496,-0.00031458695861085,8.982450987749999e-05,0.8910856453621394,0.9163313335280752,0.05049137633187162,-0.6270185843566223,-0.6162083018499733,0.0216205650132979,0.2355602827774812,0.27221532182044517,0.07331007808592788,1.147214725084035,1.1933993769928875,0.09236930381770492,0.30627530794389424,precision,True
0.85,0.1900317181290125,1,3,99454,423902,4,7.642922653622745e-06,0.25,1.005479865265698e-05,0.9999929229426404,0.5000014888706465,2.0108788546034043e-05,1.3155698557136393,-0.0014843150686428,-0.003036503637731,4,0.0109639313307662,0.25,0.5,-0.0014843150686428,-0.0014843150686428,-0.003036503637731,0.5604187967282944,-0.0062041949613111,0.0,0.2247853575590957,1.1828833616422336,0.2692350037965072,1,0,141832,384967,1,1.8982536066818528e-06,1.0,7.050545359683571e-06,1.0,0.5000035252726799,1.4100991299688366e-05,3.714227295481306,0.0149008339902908,0.0149008339902908,1,0.0027334903824798,1.0,1.0,0.0149008339902908,0.0149008339902908,0.0149008339902908,inf,0.0,0.0,0.3096154421322066,1.1499821262699546,ETHUSDT,BAJA,v4_63_sin_pesos,63,0.25,0.625,0.75,7.050545359683571e-06,8.552672006170276e-06,3.004253292973409e-06,1.4100991299688366e-05,1.7104889922861203e-05,6.007797246345677e-06,1.3155698557136393,2.5148985755974724,2.3986574397676668,1,2.5,3,0.25,0.625,0.75,0.5,0.75,0.5,-0.0014843150686428,0.006708259460824,0.0163851490589336,0.5604187967282944,inf,inf,-0.0062041949613111,-0.00310209748065555,0.0062041949613111,0.2247853575590957,0.26720039984565114,0.08483008457311089,1.1499821262699546,1.166432743956094,0.03290123537227907,0.073391601032131,operativo,False
0.32,0.201893534087435,56189,149182,49474,268515,205371,0.3924086670742892,0.2735975381139499,0.5317755505711554,0.6428463694975066,0.587310960034331,0.3613045519139386,1.355157505913298,0.000586032386606,0.000424863667165,1433,3.9278283992469913,0.2470341939986043,0.5212840195394278,0.0004337501495592,0.0004337501495592,0.0003488500189725,1.1292136066865648,-0.2495793619496622,0.0,0.2889036253121724,1.4309701725616208,0.2915660592255125,95146,186307,58451,186896,281453,0.5342691723614275,0.3380528898252994,0.6194522028425035,0.5007891147713175,0.5601206588069105,0.4374025974025974,1.159438415854266,0.0001033396508719,0.0004731787616045,1719,4.698869967482854,0.3350785340314136,0.5287958115183246,0.000253898995479,0.000253898995479,0.0005805627588342,1.0520600157396711,-0.5035552487755741,0.0,0.361189867837256,1.238792570015472,ETHUSDT,SUBE,v4_63_moderado,63,0.2735975381139499,0.30582521396962464,0.06445535171134953,0.5317755505711554,0.5756138767068295,0.08767665227134802,0.3613045519139386,0.39935357465826804,0.07609804548865878,1.159438415854266,1.2572979608837822,0.19571909005903199,1433,1576.0,286,0.2470341939986043,0.29105636401500895,0.08804434003280928,0.5212840195394278,0.5250399155288762,0.007511791978896731,0.000253898995479,0.0003438245725191,0.0001798511540802,1.0520600157396711,1.090636811213118,0.07715359094689367,-0.5035552487755741,-0.3765673053626182,0.2539758868259119,0.2889036253121724,0.3250467465747142,0.07228624252508359,1.238792570015472,1.3348813712885463,0.1921776025461488,0.4056567852630402,equilibrado,True
