periodo,operaciones_minimas_exigidas,operaciones_control,operaciones_v45,precision_control,precision_v45,porcentaje_acierto_control,porcentaje_acierto_v45,positivas_control,positivas_v45,retorno_neto_medio_control,retorno_neto_medio_v45,mejora_relativa_retorno,factor_beneficio_control,factor_beneficio_v45,mejora_relativa_factor,drawdown_control,drawdown_v45,mejora_drawdown_absoluta,candidata_sana,supera_control_estricto,no_degrada_grave
confirmacion_2025,50,82,88,0.43902439024390244,0.4318181818181818,43.90243902439025,43.18181818181818,53.65853658536586,51.13636363636363,0.0028656904771809676,0.0004877216763664682,-0.8298065753262198,1.332242489180756,1.0515268686356154,-0.21070910350394456,-0.12618382528836203,-0.15145644321027485,-0.02527261792191282,True,False,False
confirmacion_2026,30,42,67,0.4523809523809524,0.47761194029850745,45.23809523809524,47.76119402985074,52.38095238095239,64.17910447761194,0.0015197612261266338,0.0035474827772917043,1.334236929003024,1.2675434617278045,1.721444954843481,0.3580954080240828,-0.09694199470703257,-0.09602867181618135,0.0009133228908512203,True,True,True
