version,fecha_utc,objetivo,grupo_objetivo,variante,grupo_variante,tipo_modelo,variables,pliegue,umbral,coste,filas_validacion,negativos_entrenamiento,positivos_entrenamiento,prevalencia,pr_auc,pr_auc_lift,roc_auc,precision,porcentaje_acierto,recall,f1,tn,fp,fn,tp,operaciones,precision_operaciones,porcentaje_acierto_operaciones,porcentaje_operaciones_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto,duracion_media_minutos,concentracion_mensual_maxima
baja_v1_short,2026-07-05T18:28:42.379027+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.15,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1557960432262924,15.57960432262924,1.0,0.2695908921636431,776,439344,0,81080,23,0.0,0.0,39.130434782608695,-0.0005623309614134,-0.0002937658680602,0.2565623601860364,-0.0140908790506469,-0.0128675882962172,480.0,0.6623990217898962
baja_v1_short,2026-07-05T18:28:42.568675+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.16,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1559573203455459,15.595732034554594,0.99997533300444,0.2698314177647836,1325,438795,2,81078,31,0.032258064516129,3.225806451612903,29.03225806451613,-0.0008159622893229,-0.0005367447263561,0.2128917106999281,-0.0263018975943224,-0.0250552639017146,480.0,0.3625951889815342
baja_v1_short,2026-07-05T18:28:42.754878+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.17,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1561824549507029,15.618245495070296,0.99992599901332,0.2701665172665443,2096,438024,6,81074,46,0.0,0.0,26.08695652173913,-0.0010340296668108,-0.0006515013335738,0.18742622046424,-0.0495804257503227,-0.0465925620740983,480.0,0.2297701985367845
baja_v1_short,2026-07-05T18:28:42.963704+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.18,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1565329908554543,15.653299085545438,0.9996546620621608,0.2706808599457316,3377,436743,28,81052,78,0.0256410256410256,2.564102564102564,26.923076923076923,-0.0013575968891173,-0.0011304259858443,0.2931585387116816,-0.1091316655659682,-0.1010187999281118,480.0,0.2138247421218157
baja_v1_short,2026-07-05T18:28:43.112094+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.19,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1571047604270711,15.71047604270711,0.9990626541687222,0.2715134451176081,5519,434601,76,81004,103,0.0194174757281553,1.9417475728155336,33.00970873786408,-0.0015507701223075,-0.0012154214744223,0.3483946629276698,-0.1612214435968543,-0.1486707377416326,480.0,0.2033716762170758
baja_v1_short,2026-07-05T18:28:43.324460+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.2,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1580256992689439,15.802569926894389,0.997890971879625,0.2728439212988489,9030,431090,171,80909,155,0.0387096774193548,3.870967741935484,34.193548387096776,-0.0016686475817977,-0.0011843083446146,0.4630850336709642,-0.2389663513700151,-0.2311521691060848,480.0,0.1959886267503079
baja_v1_short,2026-07-05T18:28:43.537995+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.21,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1595034730037632,15.950347300376324,0.9963616181549088,0.274985618441073,14427,425693,295,80785,228,0.0482456140350877,4.824561403508771,30.26315789473684,-0.0017339554322083,-0.001261902983766,0.399394572128099,-0.3360214812867267,-0.3296898475194272,480.0,0.2859660970292002
baja_v1_short,2026-07-05T18:28:43.759548+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.22,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1618377683093496,16.183776830934963,0.9931425752343364,0.2783215816397069,23084,417036,556,80524,298,0.0738255033557047,7.38255033557047,31.879194630872483,-0.0017645846770467,-0.0012011532051255,0.4126642160425253,-0.4290862382047992,-0.4126265413936665,480.0,0.2342333728098238
baja_v1_short,2026-07-05T18:28:44.008799+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.23,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1653818389411392,16.53818389411392,0.9861371484953132,0.2832592025762431,36613,403507,1124,79956,391,0.0767263427109974,7.672634271099745,34.015345268542205,-0.0015430785004509,-0.001495484622661,0.5354096405841319,-0.5012922856864885,-0.4604331814831076,480.0,0.1901196653259246
baja_v1_short,2026-07-05T18:28:44.249923+00:00,baja_cierre_4h,control_v4,control_v4_63_moderado,control,sgd,63,validacion_2023,0.24,0.001,521200,720829,302738,0.1555640828856485,0.2281181756111706,1.4663936005000269,0.6424724507513109,0.1700273362794567,17.002733627945673,0.970411938825851,0.2893561466253551,56046,384074,2399,78681,482,0.0788381742738589,7.883817427385892,36.92946058091287,-0.0012358160420796,-0.0010961911136982,0.6116603378516533,-0.5228124777711313,-0.4572780808237739,480.0,0.1931484755441835
