variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,0.10603586,-0.11115114,0.15911837,0.15911837
cuerpo_relativo,-0.024383117,-0.0056729047,-0.0691926,0.0691926
mecha_superior_relativa,-0.07832583,0.039451133,-0.023324132,0.07832583
mecha_inferior_relativa,-0.011441675,0.022220366,0.04659532,0.04659532
rendimiento_1m,-0.040902983,-0.020124646,0.025364822,0.040902983
rendimiento_5m,-0.08223761,-0.01107512,0.05696276,0.08223761
volatilidad_5m,-0.014346633,0.06370471,-0.021753797,0.06370471
desviacion_media_cierre_5m,0.104504116,0.057101082,0.044242512,0.104504116
volumen_relativo_5m,0.034007896,-0.0920121,0.0094179055,0.0920121
operaciones_relativas_5m,-0.044121936,-0.0008629169,0.07662723,0.07662723
rendimiento_15m,0.07453049,-0.0026124262,-0.0972072,0.0972072
volatilidad_15m,-0.038583577,-0.01683928,-0.008569451,0.038583577
desviacion_media_cierre_15m,0.026775211,0.05080609,0.0028653,0.05080609
volumen_relativo_15m,-0.013191336,-0.017692728,0.10583959,0.10583959
operaciones_relativas_15m,-0.06361599,-0.010731019,0.057393838,0.06361599
rendimiento_30m,0.015025657,-0.08813724,0.012561771,0.08813724
volatilidad_30m,0.08821014,-0.10952125,-0.0366427,0.10952125
desviacion_media_cierre_30m,-0.06969477,0.001318154,0.0064849965,0.06969477
volumen_relativo_30m,-0.07303804,-0.013091934,-0.030327877,0.07303804
operaciones_relativas_30m,-0.049410067,0.044505224,-0.053501382,0.053501382
rendimiento_60m,-0.028682295,-0.08923122,0.0980941,0.0980941
volatilidad_60m,0.12581669,-0.016189087,-0.13846223,0.13846223
desviacion_media_cierre_60m,-0.025784759,-0.06960316,-0.052395895,0.06960316
volumen_relativo_60m,-0.08738967,-0.00015834298,-0.004112872,0.08738967
operaciones_relativas_60m,-0.13344115,0.04400856,0.13354877,0.13354877
rendimiento_240m,0.032625485,-0.016731938,0.010464407,0.032625485
volatilidad_240m,0.31619424,-0.3701302,0.13881993,0.3701302
desviacion_media_cierre_240m,-0.08441292,0.0035476994,0.008193922,0.08441292
volumen_relativo_240m,0.040492307,0.016052207,-0.05006081,0.05006081
operaciones_relativas_240m,0.1381515,-0.05550993,-0.021814054,0.1381515
minuto_dia_seno,0.008979757,-0.04663761,0.044717904,0.04663761
minuto_dia_coseno,-0.13686378,0.06224904,-0.0032010104,0.13686378
dia_semana_seno,0.091209896,-0.012220447,-0.014382339,0.091209896
dia_semana_coseno,-0.038162388,-0.01304801,0.017870251,0.038162388
otro_rendimiento_1m,-0.0008401379,0.0014575446,0.024132933,0.024132933
divergencia_rendimiento_1m,-0.053072892,-0.054056212,0.024121579,0.054056212
divergencia_rendimiento_60m,0.016821763,-0.03418111,-0.020240396,0.03418111
otro_rendimiento_240m,0.079096444,-0.06889844,0.016797546,0.079096444
divergencia_rendimiento_240m,-0.017584244,0.1436356,-0.045172356,0.1436356
otro_volatilidad_60m,-0.19564323,0.02874588,0.17041557,0.19564323
ratio_volatilidad_60m,-0.012105585,-0.01891937,0.029759975,0.029759975
otro_volatilidad_240m,-0.018047925,-0.035596408,-0.11873991,0.11873991
ratio_volatilidad_240m,0.091011964,0.017483331,-0.166172,0.166172
correlacion_btc_eth_60m,0.058475986,0.030338204,0.06809356,0.06809356
beta_propio_otro_60m,0.005704819,-0.062385097,0.04661566,0.062385097
residual_propio_otro_60m,-0.03255838,0.028100109,0.005504496,0.03255838
correlacion_btc_eth_240m,0.01920423,0.06088822,0.06252272,0.06252272
beta_propio_otro_240m,-0.17837228,-0.02974819,0.14563218,0.17837228
residual_propio_otro_240m,-0.019757116,-0.047607936,0.08604031,0.08604031
correlacion_btc_eth_1440m,0.07562021,0.077681884,-0.027296226,0.077681884
beta_propio_otro_1440m,0.018192466,-0.00852451,0.09883992,0.09883992
residual_propio_otro_1440m,0.011280666,-0.063722566,-0.06301357,0.063722566
