variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,0.067944214,-0.1527269,0.0783596,0.1527269
cuerpo_relativo,0.044908382,-0.018705437,-0.08357496,0.08357496
mecha_superior_relativa,-0.06513646,-0.07494603,-0.00255717,0.07494603
mecha_inferior_relativa,-0.02290497,0.031307004,0.0104658045,0.031307004
rendimiento_1m,-0.09684256,-0.005288382,0.088324554,0.09684256
rendimiento_5m,-0.07787869,-0.037416775,0.013922369,0.07787869
volatilidad_5m,0.06287409,-0.08033466,0.08783916,0.08783916
desviacion_media_cierre_5m,0.07522772,0.036871433,-0.05380495,0.07522772
volumen_relativo_5m,-0.0053969976,0.062865585,0.09174302,0.09174302
operaciones_relativas_5m,0.008174282,0.0031362392,-0.06427253,0.06427253
rendimiento_15m,0.0068087694,-0.03856969,0.011228213,0.03856969
volatilidad_15m,-0.037439324,-0.06596953,0.008015163,0.06596953
desviacion_media_cierre_15m,0.052684933,-0.021509347,-0.031339295,0.052684933
volumen_relativo_15m,0.0068270518,0.078268744,-0.027226085,0.078268744
operaciones_relativas_15m,-0.10561105,-0.019678196,-0.036154617,0.10561105
rendimiento_30m,-0.050973795,0.052623533,-0.014553594,0.052623533
volatilidad_30m,0.030932693,-0.101072945,0.05056925,0.101072945
desviacion_media_cierre_30m,0.09105244,0.055886786,-0.06607112,0.09105244
volumen_relativo_30m,-0.0016185453,-0.051147558,0.026135754,0.051147558
operaciones_relativas_30m,0.040551156,-0.00035818556,0.011692631,0.040551156
rendimiento_60m,0.036909606,0.027977256,0.016612591,0.036909606
volatilidad_60m,-0.36368176,0.054309707,0.19342247,0.36368176
desviacion_media_cierre_60m,0.07360292,-0.12770005,0.049185492,0.12770005
volumen_relativo_60m,-0.024350304,0.00075634354,0.049418364,0.049418364
operaciones_relativas_60m,-0.030938867,0.001535977,0.057956897,0.057956897
rendimiento_240m,-0.002071582,-0.015318971,-0.074968934,0.074968934
volatilidad_240m,0.23429973,-0.15739004,-0.24990195,0.24990195
desviacion_media_cierre_240m,0.0165305,0.024040436,-0.06762106,0.06762106
volumen_relativo_240m,-0.01663478,-0.068039395,-0.11741049,0.11741049
operaciones_relativas_240m,0.08299476,-0.038399998,-0.034355618,0.08299476
minuto_dia_seno,-0.020683467,0.06989514,-0.02249888,0.06989514
minuto_dia_coseno,-0.17425027,0.11071858,-0.15431036,0.17425027
dia_semana_seno,0.1234234,-0.13276187,0.0657587,0.13276187
dia_semana_coseno,-0.0101559255,0.018767621,0.068517804,0.068517804
otro_rendimiento_1m,-0.049115628,0.027245523,0.03393319,0.049115628
divergencia_rendimiento_1m,-0.04066848,-0.051474378,0.06461952,0.06461952
divergencia_rendimiento_60m,-0.012620574,0.03835843,-0.005253287,0.03835843
otro_rendimiento_240m,0.012262121,-0.012191468,0.03014318,0.03014318
divergencia_rendimiento_240m,-0.09016984,0.0041685137,0.021780442,0.09016984
otro_volatilidad_60m,0.30058315,-0.26155683,-0.04830031,0.30058315
ratio_volatilidad_60m,0.33144227,-0.10421878,-0.07428965,0.33144227
otro_volatilidad_240m,0.06864738,-0.30521074,0.37492317,0.37492317
ratio_volatilidad_240m,-0.15701206,-0.010071717,0.2729715,0.2729715
correlacion_btc_eth_60m,0.07247517,-0.07633877,0.13443798,0.13443798
beta_propio_otro_60m,-0.22542207,0.07210325,-0.05653473,0.22542207
residual_propio_otro_60m,-0.01072428,-0.018340807,-0.011559483,0.018340807
correlacion_btc_eth_240m,0.04201354,-0.039262086,0.11158578,0.11158578
beta_propio_otro_240m,0.14179523,-0.06272202,-0.10487872,0.14179523
residual_propio_otro_240m,0.08096468,1.48666095e-05,-0.024467178,0.08096468
correlacion_btc_eth_1440m,-0.032703966,0.020190952,0.06750199,0.06750199
beta_propio_otro_1440m,0.0056393417,-0.0038951144,-0.009919617,0.009919617
residual_propio_otro_1440m,0.015258452,-0.027180968,0.12611157,0.12611157
