simbolo,variante,grupo,penalty,alpha,l1_ratio,variables,pliegues,accuracy_media,balanced_accuracy_media,f1_macro_media,f1_extremos_media,precision_baja_media,recall_baja_media,f1_baja_media,f1_baja_minimo,pr_auc_baja_media,precision_sube_media,recall_sube_media,f1_sube_media,f1_sube_minimo,pr_auc_sube_media,tasa_baja_media,tasa_sube_media,desviacion_entre_pliegues_f1_baja,desviacion_entre_pliegues_f1_sube,desviacion_mensual_f1_baja_media,desviacion_mensual_f1_sube_media,coeficientes_cero_media,mejor_lado,f1_mejor_lado,f1_peor_lado,puntuacion_equilibrada,puntuacion_especializada
ETHUSDT,v3a_52_elasticnet_050,elasticnet,elasticnet,0.0001,0.5,52,2,0.4139072122204588,0.3484947972052296,0.3207332940848774,0.19901067476063822,0.25675711705360466,0.26357338759910753,0.22853154543810983,0.2117427236794825,0.24200476950912445,0.2883528025615145,0.1261239087377457,0.16948980408316655,0.1621397284397907,0.27124587784930565,0.25612598951764737,0.1139554446045376,0.023742979427315306,0.01039457665933027,0.0492373103866409,0.04775683476016905,0.0,BAJA,0.22853154543810983,0.16948980408316655,0.3664305621459239,0.31990615577126946
ETHUSDT,v3a_52_elasticnet_085,elasticnet,elasticnet,0.0001,0.85,52,2,0.43375321733965005,0.3453309947095745,0.3266804478353468,0.1936054748435328,0.2579724052729674,0.19165219619119667,0.2064071753745308,0.2032281211519892,0.24419812183809275,0.26476584021492644,0.1441268526573783,0.18080377431253475,0.1720222225686919,0.2545216405594797,0.18213385656305944,0.13952470248313154,0.004495861597037792,0.012418989574823657,0.04985400673384495,0.0388122318744398,0.0,BAJA,0.2064071753745308,0.18080377431253475,0.36288800196394777,0.29362690113412515
ETHUSDT,v3a_63_l2,reduccion,l2,0.0001,0.15,63,2,0.5304588724872659,0.3673467336794639,0.3263849076928992,0.14720721194392336,0.2989488314435837,0.0758657551393916,0.1187888301647396,0.0744702058504875,0.2740764244953424,0.3934700242308221,0.12519521702810035,0.17562559372310704,0.0851240158645592,0.3250194215307748,0.059748140454285545,0.08838244099744949,0.06267599957093332,0.12798855882372295,0.043205313970695144,0.05220992045229585,0.0,SUBE,0.17562559372310704,0.1187888301647396,0.292747667104724,0.2701841074353198
ETHUSDT,v3a_52_l2,reduccion,l2,0.0001,0.15,52,2,0.5307165483725623,0.36689031769205394,0.32450320626792606,0.14420522999989238,0.30245960060879257,0.0719811060498495,0.11506463126853565,0.0793984962406015,0.2755339211241371,0.39590716823855493,0.12376117570888484,0.1733458287312492,0.080297321717783,0.32552426800917367,0.0557177426880385,0.0874711285259872,0.05043953187393459,0.13159046057701193,0.040989750746575945,0.052187036160513844,0.0,SUBE,0.1733458287312492,0.11506463126853565,0.29124439035573,0.2675407534479082
ETHUSDT,v3a_46_l2,reduccion,l2,0.0001,0.15,46,2,0.5308435059066967,0.36626164450487564,0.32247543266144446,0.1410252541403358,0.3027496813609984,0.06635439285766985,0.1079887626045411,0.0766119273984442,0.2755775446285786,0.3948679204010065,0.1246861802484416,0.17406174567613045,0.0807304753711574,0.32541926272767663,0.05118809508306465,0.0884445387284358,0.04437354589280785,0.13199034825880218,0.04138729215829985,0.05202416329947934,0.0,SUBE,0.17406174567613045,0.1079887626045411,0.2888832975624516,0.26815993539199695
ETHUSDT,v3a_52_elasticnet_015,elasticnet,elasticnet,0.0001,0.15,52,2,0.5265895102888711,0.3606096038903799,0.31337721219590076,0.1277607278213912,0.2752291333640269,0.06498974674148635,0.10465733917320541,0.0756561147186147,0.26261918379994337,0.35963310795450254,0.10256584805865761,0.15086411646957698,0.0693235608489845,0.30582171129933244,0.05456784596905175,0.07472694991442475,0.041013924949108424,0.11531575964207962,0.0403300510266876,0.05322384317432109,0.0,SUBE,0.15086411646957698,0.10465733917320541,0.27679959284834355,0.2406043514780314
