variable,coeficiente,coeficiente_absoluto
ratio_semivolatilidad_60m,-0.49910146,0.49910146
correlacion_btc_eth_240m,0.27882555,0.27882555
beta_propio_otro_60m,-0.2706797,0.2706797
ratio_volatilidad_240m,0.24828212,0.24828212
semivolatilidad_negativa_60m,-0.24170403,0.24170403
posicion_rango_1440m,0.23535259,0.23535259
beta_propio_otro_240m,-0.22904988,0.22904988
correlacion_btc_eth_60m,0.20173126,0.20173126
ratio_volatilidad_60m,0.19889665,0.19889665
volatilidad_60m,0.19265284,0.19265284
distancia_minimo_240m,-0.17799735,0.17799735
desviacion_media_cierre_30m,-0.17510493,0.17510493
volatilidad_15m,-0.15189476,0.15189476
distancia_maximo_1440m,-0.15088181,0.15088181
semivolatilidad_negativa_240m,0.15081392,0.15081392
porcentaje_velas_positivas_60m,0.14817399,0.14817399
cuerpos_negativos_acumulados_15m,0.138708,0.138708
dia_semana_seno,0.12834287,0.12834287
operaciones_relativas_60m,0.11837061,0.11837061
cuerpos_negativos_acumulados_60m,0.114923395,0.114923395
aceleracion_15m_60m,0.10818198,0.10818198
volatilidad_30m,0.10419713,0.10419713
semivolatilidad_positiva_240m,0.10174604,0.10174604
aceleracion_60m_240m,0.09961698,0.09961698
divergencia_rendimiento_60m,-0.09612857,0.09612857
rendimiento_240m,0.08619842,0.08619842
residual_propio_otro_60m,0.08539247,0.08539247
minuto_dia_seno,-0.08307332,0.08307332
divergencia_rendimiento_240m,0.08174039,0.08174039
operaciones_relativas_30m,-0.07938918,0.07938918
otro_volatilidad_60m,-0.07745668,0.07745668
rendimiento_60m,-0.077021666,0.077021666
expansion_volatilidad_60m_240m,0.07432333,0.07432333
desviacion_media_cierre_240m,0.07227698,0.07227698
distancia_minimo_60m,-0.069902845,0.069902845
residual_propio_otro_240m,-0.06940557,0.06940557
semivolatilidad_positiva_60m,0.067986175,0.067986175
expansion_volatilidad_15m_60m,0.06630802,0.06630802
desviacion_media_cierre_60m,0.061132517,0.061132517
minuto_dia_coseno,-0.05690402,0.05690402
pendiente_log_15m,0.051932998,0.051932998
posicion_rango_240m,0.045449078,0.045449078
volatilidad_5m,-0.044996567,0.044996567
volumen_relativo_60m,-0.044592798,0.044592798
desviacion_media_cierre_15m,-0.040570717,0.040570717
cuerpos_positivos_acumulados_15m,-0.039424278,0.039424278
operaciones_relativas_240m,-0.038249966,0.038249966
distancia_maximo_240m,-0.037078705,0.037078705
correlacion_btc_eth_1440m,-0.036865458,0.036865458
distancia_minimo_1440m,0.033035975,0.033035975
desviacion_media_cierre_5m,0.032564633,0.032564633
residual_propio_otro_1440m,0.032517456,0.032517456
zscore_divergencia_1440m,-0.032142427,0.032142427
rango_relativo,-0.031037299,0.031037299
pendiente_log_240m,0.029018978,0.029018978
volumen_relativo_30m,0.028046278,0.028046278
ruptura_maximo_240m,-0.025432505,0.025432505
ratio_semivolatilidad_240m,0.024695165,0.024695165
dia_semana_coseno,0.02442492,0.02442492
otro_rendimiento_240m,0.024320615,0.024320615
mecha_inferior_relativa,0.023956668,0.023956668
mecha_superior_relativa,-0.022659004,0.022659004
cuerpo_relativo,-0.02072613,0.02072613
beta_propio_otro_1440m,-0.020279726,0.020279726
operaciones_relativas_15m,0.018714977,0.018714977
cuerpos_positivos_acumulados_60m,0.01651191,0.01651191
r2_tendencia_60m,0.01632156,0.01632156
aceleracion_5m_15m,0.016299041,0.016299041
otro_rendimiento_30m,0.01541888,0.01541888
zscore_divergencia_240m,0.015384307,0.015384307
volumen_relativo_15m,-0.015084406,0.015084406
ruptura_minimo_240m,-0.014448428,0.014448428
operaciones_relativas_5m,-0.014140899,0.014140899
rendimiento_5m,0.013465255,0.013465255
proporcion_compradora_base,0.013033465,0.013033465
divergencia_rendimiento_30m,-0.012472816,0.012472816
pendiente_log_60m,-0.012133408,0.012133408
rendimiento_30m,0.011418225,0.011418225
rendimiento_15m,0.011375298,0.011375298
otro_rendimiento_60m,-0.010302341,0.010302341
r2_tendencia_240m,0.010183389,0.010183389
velas_negativas_consecutivas,0.010178778,0.010178778
otro_rendimiento_5m,0.008557531,0.008557531
otro_volatilidad_240m,-0.008372151,0.008372151
r2_tendencia_15m,-0.0070062694,0.0070062694
otro_rendimiento_15m,0.0066360454,0.0066360454
proporcion_compradora_cotizacion,0.006430503,0.006430503
divergencia_rendimiento_1m,0.006049733,0.006049733
distancia_maximo_60m,0.0052747414,0.0052747414
divergencia_rendimiento_15m,0.0045733913,0.0045733913
divergencia_rendimiento_5m,0.0041528577,0.0041528577
volumen_relativo_5m,-0.0040872293,0.0040872293
velas_positivas_consecutivas,-0.0038668432,0.0038668432
posicion_rango_60m,0.0031576771,0.0031576771
otro_rendimiento_1m,-0.002907143,0.002907143
ruptura_minimo_60m,0.0027133652,0.0027133652
volatilidad_240m,0.0024220452,0.0024220452
volumen_relativo_240m,-0.0020811532,0.0020811532
ruptura_maximo_60m,-0.0019765743,0.0019765743
porcentaje_velas_positivas_15m,0.0007667021,0.0007667021
rendimiento_1m,0.0004165854,0.0004165854
