variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_60m,0.23913418,0.23913418
volatilidad_240m,0.19757517,0.19757517
beta_propio_otro_240m,0.18469915,0.18469915
ratio_volatilidad_240m,-0.15777385,0.15777385
cuerpo_relativo,-0.12682876,0.12682876
otro_volatilidad_240m,-0.11238546,0.11238546
volatilidad_60m,-0.10692925,0.10692925
rango_relativo,0.106545195,0.106545195
residual_propio_otro_240m,0.104908265,0.104908265
beta_propio_otro_60m,0.097247005,0.097247005
dia_semana_seno,0.09365976,0.09365976
minuto_dia_coseno,-0.08877928,0.08877928
divergencia_rendimiento_240m,-0.0873753,0.0873753
volatilidad_30m,0.08243684,0.08243684
operaciones_relativas_30m,0.07794337,0.07794337
ratio_volatilidad_60m,-0.07107356,0.07107356
volumen_relativo_240m,-0.07017391,0.07017391
residual_propio_otro_1440m,-0.06743888,0.06743888
operaciones_relativas_240m,-0.059324037,0.059324037
volumen_relativo_30m,-0.05728142,0.05728142
rendimiento_240m,-0.05131001,0.05131001
beta_propio_otro_1440m,0.05064143,0.05064143
desviacion_media_cierre_240m,-0.050264865,0.050264865
residual_propio_otro_60m,0.049162656,0.049162656
minuto_dia_seno,-0.048926983,0.048926983
otro_rendimiento_1m,0.046471942,0.046471942
desviacion_media_cierre_30m,-0.043136615,0.043136615
rendimiento_1m,0.04303609,0.04303609
mecha_superior_relativa,0.03700963,0.03700963
volatilidad_15m,0.036837924,0.036837924
operaciones_relativas_15m,-0.03389816,0.03389816
volumen_relativo_5m,0.031520538,0.031520538
correlacion_btc_eth_1440m,0.030630695,0.030630695
divergencia_rendimiento_60m,-0.029877173,0.029877173
volatilidad_5m,0.025072692,0.025072692
volumen_relativo_15m,0.023891501,0.023891501
correlacion_btc_eth_240m,-0.022791093,0.022791093
rendimiento_60m,-0.022682933,0.022682933
correlacion_btc_eth_60m,0.018002588,0.018002588
mecha_inferior_relativa,0.016090991,0.016090991
operaciones_relativas_5m,-0.014408497,0.014408497
proporcion_compradora_cotizacion,0.011471469,0.011471469
zscore_divergencia_240m,0.011332352,0.011332352
divergencia_rendimiento_1m,0.010883306,0.010883306
dia_semana_coseno,0.0106308535,0.0106308535
proporcion_compradora_base,0.010278258,0.010278258
desviacion_media_cierre_15m,-0.009116966,0.009116966
otro_rendimiento_60m,-0.0090104975,0.0090104975
zscore_divergencia_1440m,0.008629912,0.008629912
otro_rendimiento_240m,-0.006182111,0.006182111
otro_rendimiento_5m,0.0056420816,0.0056420816
divergencia_rendimiento_15m,0.004620357,0.004620357
otro_rendimiento_30m,0.0042295125,0.0042295125
rendimiento_30m,0.0041683065,0.0041683065
rendimiento_15m,0.0038843425,0.0038843425
desviacion_media_cierre_60m,0.0038244773,0.0038244773
divergencia_rendimiento_5m,-0.003661333,0.003661333
volumen_relativo_60m,-0.0034352595,0.0034352595
operaciones_relativas_60m,0.003421835,0.003421835
desviacion_media_cierre_5m,-0.0030748702,0.0030748702
rendimiento_5m,0.0025963031,0.0025963031
otro_rendimiento_15m,0.0018941523,0.0018941523
divergencia_rendimiento_30m,0.001623462,0.001623462
