umbral,coste,senales,cobertura,precision,recall,f1,precision_lift,operaciones_no_solapadas,operaciones_por_dia,tasa_retorno_positivo,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown
0.05,0.0005,488256,0.9355032782927586,0.2233951042076288,0.9848045721715106,0.3641790745776803,1.0527002898041407,2115,5.797178691142628,0.37777777777777777,-0.0004790481724189504,-0.004000000108033419,0.7815277458418416,-0.6608452116331627
0.06,0.0005,477607,0.9150996899896152,0.22665287569068293,0.9773738905893081,0.36797288753220797,1.0680518213271384,2083,5.709467240496498,0.37349975996159385,-0.0004613077441170397,-0.004000000108033419,0.7882430048397091,-0.6443595283878184
0.07,0.0005,467467,0.8956713506719446,0.22966540953692988,0.9693382811018717,0.3713474362876671,1.0822477244300168,2066,5.662870532340742,0.36931268151016455,-0.000524083878377942,-0.004000000108033419,0.7629224823263578,-0.6974352771271948
0.08,0.0005,457346,0.8762794155403723,0.23234706327375773,0.9594246864757984,0.37409765482667756,1.0948844277988126,2038,5.586123013025379,0.37684003925417076,-0.00046715933912909105,-0.004000000108033419,0.787237056594569,-0.6737545901475985
0.09,0.0005,447483,0.8573818109358176,0.2343776188145695,0.9469378910588044,0.3757523645743766,1.1044529741367362,2012,5.514857459375398,0.3702783300198807,-0.00047162048573572585,-0.004000000108033419,0.7880736060656982,-0.6504680164638587
0.1,0.0005,437386,0.8380358600393165,0.23615753590649907,0.9326001968272886,0.3768797558301392,1.1128404419156188,1991,5.457296819888876,0.36313410346559516,-0.00048199831834691727,-0.004000000108033419,0.7863003882037638,-0.6539553241837391
0.11,0.0005,427222,0.8185615364865745,0.23793718488280097,0.9177930063111135,0.3779032267058751,1.1212266462585816,1972,5.405218146067737,0.372210953346856,-0.00038753492128382503,-0.004000000108033419,0.82477074007307,-0.5673797419160438
0.12,0.0005,416479,0.7979778432627348,0.24010574362692957,0.9028684417237737,0.37933297422786,1.131445502336465,1951,5.347657506581214,0.38185545873910814,-0.0003638478617198913,-0.004000000108033419,0.8345986963039073,-0.5481288521426804
0.13,0.0005,405172,0.7763135205147169,0.24223292823788417,0.8861381221954369,0.38046320327021743,1.1414693919125656,1935,5.30380178125815,0.37467700258397935,-0.00040009952208929135,-0.004000000108033419,0.819622711991884,-0.5748653906353239
0.14,0.0005,394592,0.7560421368874037,0.24424468818425107,0.8701662197423188,0.3814274887256134,1.150949368146013,1912,5.240759176106244,0.375,-0.00035213429971580354,-0.004000000108033419,0.8412544674850744,-0.5631565324857317
0.15,0.0005,384804,0.7372882330174472,0.2459667778921217,0.854564497052105,0.3819872830993561,1.159064337097433,1892,5.185939519452413,0.38054968287526425,-0.00033113394942962113,-0.004000000108033419,0.8503729549284412,-0.5679167945822388
0.16,0.0005,375689,0.7198238037392847,0.24776078085863573,0.8404073783146889,0.38269818232650693,1.1675181814619162,1870,5.125637897133198,0.3802139037433155,-0.0003646539571581576,-0.004000000108033419,0.8368001992261365,-0.5884958833607747
0.17,0.0005,366546,0.7023057261868723,0.24982948934103769,0.8268010148342768,0.3837143282149913,1.177266515144828,1836,5.0324444808216855,0.3790849673202614,-0.0003563391245010847,-0.004000000108033419,0.8414581320619073,-0.5892110358393792
0.18,0.0005,357487,0.6849485934572097,0.25185810952566107,0.8129147593380103,0.38456872912413187,1.1868259415424214,1811,4.963919910004397,0.3743787962451684,-0.00042498550514673847,-0.004000000108033419,0.8136691116804109,-0.6046088438112736
0.19,0.0005,348673,0.6680608831272346,0.2540145064286595,0.7996605180710926,0.3855560150621422,1.1969874876191404,1787,4.8981363220198,0.36877448237269167,-0.0005001138755454034,-0.004000000108033419,0.7847872472220974,-0.6294452310576388
0.2,0.0005,339687,0.6508436191125809,0.25616229057926854,0.7856388309542512,0.3863521325625383,1.2071084479947152,1764,4.8350937168678945,0.36167800453514737,-0.0005222150726225948,-0.004000000108033419,0.7756265082080821,-0.6235467088688852
0.21,0.0005,330382,0.6330151479734364,0.2585764357622389,0.7713191942721453,0.3873110289500588,1.2184845761455818,1742,4.774792094548681,0.373134328358209,-0.0004340980329501868,-0.004000000108033419,0.8112941942164196,-0.562435987547875
0.22,0.0005,321277,0.6155698787932203,0.2609243736713179,0.7568731547441697,0.38806667993722715,1.2295487170814206,1718,4.709008506564083,0.37369033760186265,-0.00043220659305652964,-0.004000000108033419,0.8137149505532609,-0.5592703866604702
0.23,0.0005,312011,0.597816132036067,0.2635131453698748,0.7423368274691442,0.38895564470347804,1.241747734275525,1698,4.654188849910252,0.37220259128386335,-0.00044762417298950286,-0.004000000108033419,0.8079113085067465,-0.5646917957060463
0.24,0.0005,302744,0.5800604692691189,0.26625796052110035,0.7277914714194137,0.38988055651618736,1.2546820719164626,1668,4.571959364929506,0.3723021582733813,-0.00043572481405086666,-0.004000000108033419,0.812796576838758,-0.558950821960641
0.25,0.0005,293343,0.5620480611896888,0.26905363345980643,0.7125960435909243,0.39062113338282606,1.2678560656940443,1649,4.519880691108366,0.3699211643420255,-0.0004612603324098951,-0.004000000108033419,0.8026682271601755,-0.575773296582365
0.26,0.0005,283957,0.5440643932571784,0.2721045792144585,0.6976173063553545,0.391503721682028,1.2822329764660632,1622,4.445874154625694,0.36991368680641185,-0.000444348183429175,-0.004000000108033419,0.8099236303420564,-0.5757982599581204
0.27,0.0005,274513,0.5259695967565786,0.27483580012604136,0.6811849363922822,0.39165260726243933,1.2951032542429215,1601,4.3883135151391715,0.3641474078700812,-0.000475093630469249,-0.004000000108033419,0.7982096869220021,-0.5751713085984052
0.28,0.0005,264906,0.5075624906594522,0.2777098291469427,0.6642198687216158,0.3916648698434501,1.3086464838223684,1571,4.306084030158425,0.3539147040101846,-0.0005685197228203358,-0.004000000108033419,0.7627776651604686,-0.6119758252594778
0.29,0.0005,255346,0.48924543702267403,0.2809012085562335,0.6476069232644438,0.3918405476054553,1.3236851573015909,1548,4.24304142500652,0.3643410852713178,-0.000505885231325068,-0.004000000108033419,0.7870932780354029,-0.5695511684651804
0.3,0.0005,245321,0.4700374388313873,0.2840156366556471,0.629079877569815,0.3913468397373609,1.338361214659498,1526,4.182739802687306,0.37549148099606816,-0.0003935054431032014,-0.004000000108033419,0.8309854322996447,-0.4945154230118851
0.31,0.0005,234781,0.4498426955958599,0.28785549086169665,0.6101916808869868,0.39117550023441705,1.3564556829776446,1495,4.097769334873868,0.38461538461538464,-0.00030281951008987075,-0.004000000108033419,0.8687773225467011,-0.4158606652050887
0.32,0.0005,224187,0.4295444878314218,0.29142635389206334,0.5898859665754761,0.39011894525652047,1.3732825895486327,1460,4.001834935729663,0.37534246575342467,-0.0003464244639750456,-0.004000000108033419,0.8506564305967923,-0.4290432599062891
