umbral,coste,senales,cobertura,precision,recall,f1,precision_lift,operaciones_no_solapadas,operaciones_por_dia,tasa_retorno_positivo,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown
0.05,0.0005,516196,0.9890365919550581,0.21386450108098473,0.9967406123315005,0.3521667493416572,1.0077894189548777,2175,5.961637661104121,0.3719540229885058,-0.0004923671912001324,-0.00299650701880455,0.7707786211186317,-0.6791326734509533
0.06,0.0005,512853,0.9826313712115696,0.21485103918666754,0.9948535984181587,0.3533843267426757,1.01243826277551,2170,5.947932746940664,0.36267281105990784,-0.0004953427602340194,-0.003237666480243206,0.7710693168397234,-0.6826448179348071
0.07,0.0005,508241,0.9737947340386804,0.21609630077069736,0.9916212970737741,0.35486059728787495,1.0183062840781245,2165,5.934227832777206,0.3815242494226328,-0.0004449462481285678,-0.002869017107412219,0.7916713977012242,-0.6461042973746467
0.08,0.0005,501744,0.9613464184028909,0.21772457667655218,0.9863214063219481,0.35670798904818113,1.0259791761231594,2162,5.9260048842791315,0.38020351526364476,-0.00044176431980305744,-0.0030945070665329695,0.7944481382909443,-0.6305104603125946
0.09,0.0005,492940,0.9444778681708621,0.21974073923804113,0.9779878472692471,0.35885220565946163,1.0354798987119547,2159,5.917781935781057,0.38212135247799905,-0.00035058002876902565,-0.0025090355537831783,0.8341344853912813,-0.6060602359639329
0.1,0.0005,482282,0.9240570357795669,0.2219261759717344,0.9663587854492267,0.36095771104429897,1.0457782886031193,2152,5.898595055952216,0.3870817843866171,-0.0004042391256641094,-0.0029806095752865076,0.8093361718341793,-0.6112891914125956
0.11,0.0005,469512,0.8995895907019876,0.22413271652268738,0.9501250485296641,0.36270419408929305,1.0561761255910502,2134,5.849257364963767,0.3767572633552015,-0.0004761307186373661,-0.004000000108033419,0.7804947712007371,-0.6626360522778694
0.12,0.0005,454193,0.8702382366578658,0.22621440665091713,0.9276614570636619,0.36373130365519074,1.065985632424437,2122,5.8163655709714694,0.3699340245051838,-0.0004863885541480729,-0.004000000108033419,0.7770793866495098,-0.6866694778642172
0.13,0.0005,435972,0.8353266221896927,0.22858119328764231,0.899762543225259,0.3645498958350481,1.0771385938432758,2099,5.753322965819564,0.38113387327298714,-0.00038943087547856943,-0.003324463415890932,0.8192621929132335,-0.6352076856128754
0.14,0.0005,415235,0.7955943270782,0.23158211615109517,0.8682160044060421,0.36563673972227717,1.09127978274373,2066,5.662870532340742,0.3809293320425944,-0.00040480119550841945,-0.0035558756552636623,0.8131948521742322,-0.6141391733536925
0.15,0.0005,391900,0.7508842385202273,0.2347894871140597,0.8307736757044701,0.36611048886218633,1.1063938129020812,2029,5.561454167531155,0.38442582552981763,-0.0004289736639799524,-0.004000000108033419,0.8026772379082374,-0.6342268587388791
0.16,0.0005,366657,0.7025184032740776,0.2390572115083034,0.7913901604413265,0.3671949293485319,1.1265045253662584,1982,5.432627974394652,0.3657921291624622,-0.0005706001956172397,-0.004000000108033419,0.7464391460451953,-0.7223748270720094
0.17,0.0005,339466,0.650420180947965,0.243759316102349,0.7471130492880811,0.367586729243064,1.1486621589742028,1923,5.270909987265851,0.3640145605824233,-0.0004879356651752311,-0.004000000108033419,0.7818806291046593,-0.6644456150641428
0.18,0.0005,310918,0.5957219333305231,0.24797856669604204,0.6961275585290321,0.36568921562814966,1.168544449315753,1860,5.098228068806283,0.3473118279569892,-0.0006315612554677622,-0.004000000108033419,0.7277564418031387,-0.7106055472960685
0.19,0.0005,281124,0.5386363375089573,0.25225878971557036,0.6402845869787012,0.3619261969832679,1.1887140588023426,1791,4.909100253350566,0.36515912897822445,-0.0004126745132844495,-0.004000000108033419,0.8150374195440556,-0.5725967762114671
0.2,0.0005,250606,0.48016355059607063,0.25682944542429154,0.5811190263369358,0.3562235203936208,1.2102522684521555,1711,4.689821626735242,0.36937463471654003,-0.00042986784168992306,-0.004000000108033419,0.8089070454291712,-0.5543677082284744
0.21,0.0005,221063,0.42355887323296,0.2614820209623501,0.5218992930469406,0.34840576216020736,1.2321765072783468,1608,4.407500394968013,0.3762437810945274,-0.00032832136845756477,-0.004000000108033419,0.853480380644596,-0.4569213405356214
0.22,0.0005,192544,0.36891618989956276,0.266396252285192,0.46311294094278466,0.3382316576602121,1.2553337414356007,1530,4.193703734018071,0.35947712418300654,-0.0004655506365527081,-0.004000000108033419,0.8020123662041383,-0.5526871867155536
0.23,0.0005,165749,0.3175767074521285,0.2731117533137455,0.4087145733452513,0.3274286995580566,1.2869790628673892,1413,3.8730087425931603,0.35739561217268223,-0.000526741343242271,-0.004000000108033419,0.7791715165638424,-0.5606028422906528
0.24,0.0005,141296,0.27072451994374597,0.27982391575133053,0.3569796942856885,0.3137276683872043,1.3186086519236069,1298,3.557795716833632,0.35978428351309705,-0.0004652161350654342,-0.004000000108033419,0.8027094977806738,-0.5262192227402247
0.25,0.0005,119081,0.22816036235577236,0.28730024101242013,0.3088924402069395,0.297705340283156,1.3538391901976425,1177,3.2261367940779544,0.3517417162276975,-0.0005246934340521047,-0.004000000108033419,0.7811553049226657,-0.5143762947339043
0.26,0.0005,99033,0.18974819799278814,0.2944372077994204,0.2632700416226514,0.2779827446494113,1.387470576309018,1066,2.9218876996491923,0.3545966228893058,-0.00044098203654740304,-0.004000000108033419,0.8143457559407129,-0.4622969366813793
0.27,0.0005,81515,0.15618353841024835,0.29860761822977366,0.2197694050940347,0.25319339269368396,1.407122718123884,950,2.6039336910569726,0.36,-0.0004589874194153761,-0.004000000108033419,0.8064074179023375,-0.4485077015979153
0.28,0.0005,66555,0.127520031882403,0.299481631733153,0.17996153741975676,0.22482403898213318,1.4112413145074691,829,2.272274768301295,0.38118214716525933,-0.00021491047127519044,-0.004000000108033419,0.9063772648350276,-0.2526704175609703
0.29,0.0005,53798,0.1030774949321541,0.2998066842633555,0.14562510721669963,0.1960317219166844,1.4127730530563485,722,1.9789896052032991,0.37534626038781166,-0.00025895434942542267,-0.004000000108033419,0.8894641544413556,-0.24812743589222797
