variable,coeficiente,coeficiente_absoluto
otro_volatilidad_240m,0.3455332,0.3455332
volatilidad_60m,-0.28355944,0.28355944
ratio_volatilidad_240m,0.23315172,0.23315172
ratio_volatilidad_60m,0.21752696,0.21752696
distancia_minimo_240m,-0.20626694,0.20626694
beta_propio_otro_60m,-0.20336467,0.20336467
volatilidad_15m,-0.20311657,0.20311657
aceleracion_60m_240m,0.1938308,0.1938308
desviacion_media_cierre_60m,0.19072746,0.19072746
desviacion_media_cierre_30m,-0.18859798,0.18859798
posicion_rango_1440m,0.18749923,0.18749923
desviacion_media_cierre_240m,0.18490659,0.18490659
aceleracion_15m_60m,0.18088226,0.18088226
distancia_maximo_1440m,-0.17623174,0.17623174
correlacion_btc_eth_60m,0.16747808,0.16747808
volatilidad_240m,-0.1611339,0.1611339
divergencia_rendimiento_240m,0.13428769,0.13428769
distancia_minimo_60m,-0.12994078,0.12994078
desviacion_media_cierre_15m,-0.1241309,0.1241309
residual_propio_otro_240m,-0.12301724,0.12301724
dia_semana_seno,0.12158528,0.12158528
rendimiento_60m,-0.12093739,0.12093739
rendimiento_240m,0.1199418,0.1199418
cuerpos_negativos_acumulados_60m,0.11068488,0.11068488
cuerpos_negativos_acumulados_15m,0.11022026,0.11022026
correlacion_btc_eth_240m,0.109389216,0.109389216
operaciones_relativas_30m,-0.10242465,0.10242465
posicion_rango_60m,0.10172001,0.10172001
posicion_rango_240m,-0.1012566,0.1012566
volumen_relativo_60m,-0.09793282,0.09793282
operaciones_relativas_60m,0.091036186,0.091036186
cuerpos_positivos_acumulados_60m,0.08590076,0.08590076
ratio_semivolatilidad_240m,0.085133605,0.085133605
pendiente_log_15m,0.08049154,0.08049154
minuto_dia_seno,-0.078052215,0.078052215
divergencia_rendimiento_60m,-0.077662654,0.077662654
pendiente_log_60m,-0.07722643,0.07722643
expansion_volatilidad_15m_60m,0.07655928,0.07655928
ruptura_maximo_60m,-0.07324407,0.07324407
semivolatilidad_negativa_60m,0.072844364,0.072844364
rango_relativo,-0.07110403,0.07110403
rendimiento_15m,-0.07007236,0.07007236
rendimiento_1m,0.062161494,0.062161494
dia_semana_coseno,0.05916715,0.05916715
operaciones_relativas_15m,0.056895323,0.056895323
otro_rendimiento_1m,0.05495718,0.05495718
otro_rendimiento_60m,-0.05256824,0.05256824
porcentaje_velas_positivas_60m,0.052445177,0.052445177
aceleracion_5m_15m,0.05159656,0.05159656
cuerpo_relativo,-0.049901623,0.049901623
beta_propio_otro_240m,-0.04673624,0.04673624
operaciones_relativas_5m,-0.046086013,0.046086013
expansion_volatilidad_60m_240m,0.044981442,0.044981442
divergencia_rendimiento_15m,-0.044286914,0.044286914
residual_propio_otro_1440m,0.042133898,0.042133898
distancia_maximo_240m,0.041793253,0.041793253
zscore_divergencia_1440m,0.04139991,0.04139991
otro_volatilidad_60m,0.038009834,0.038009834
velas_positivas_consecutivas,-0.031929955,0.031929955
otro_rendimiento_15m,-0.031607535,0.031607535
volumen_relativo_5m,0.030565519,0.030565519
volatilidad_30m,0.030558312,0.030558312
zscore_divergencia_240m,-0.028757354,0.028757354
residual_propio_otro_60m,0.026671242,0.026671242
ruptura_minimo_240m,-0.026171254,0.026171254
distancia_maximo_60m,0.026106684,0.026106684
volatilidad_5m,-0.025936257,0.025936257
semivolatilidad_positiva_240m,-0.024783956,0.024783956
semivolatilidad_positiva_60m,0.023350691,0.023350691
rendimiento_30m,-0.023071365,0.023071365
velas_negativas_consecutivas,-0.022301642,0.022301642
otro_rendimiento_240m,0.02106831,0.02106831
otro_rendimiento_5m,-0.020185456,0.020185456
porcentaje_velas_positivas_15m,0.019448668,0.019448668
r2_tendencia_240m,0.018905638,0.018905638
ratio_semivolatilidad_60m,-0.01885119,0.01885119
mecha_superior_relativa,-0.018190466,0.018190466
rendimiento_5m,-0.017991189,0.017991189
r2_tendencia_15m,-0.017259056,0.017259056
desviacion_media_cierre_5m,0.016861724,0.016861724
operaciones_relativas_240m,-0.01638073,0.01638073
pendiente_log_240m,-0.016089382,0.016089382
minuto_dia_coseno,-0.01572664,0.01572664
otro_rendimiento_30m,-0.014732086,0.014732086
ruptura_minimo_60m,0.014073644,0.014073644
volumen_relativo_240m,-0.013307215,0.013307215
divergencia_rendimiento_5m,0.011923858,0.011923858
volumen_relativo_30m,-0.011463873,0.011463873
divergencia_rendimiento_1m,-0.011399989,0.011399989
distancia_minimo_1440m,0.010545679,0.010545679
proporcion_compradora_cotizacion,-0.010344772,0.010344772
ruptura_maximo_240m,-0.0103319725,0.0103319725
beta_propio_otro_1440m,-0.008594384,0.008594384
mecha_inferior_relativa,0.0074400455,0.0074400455
divergencia_rendimiento_30m,-0.0059586302,0.0059586302
correlacion_btc_eth_1440m,-0.0027363156,0.0027363156
proporcion_compradora_base,-0.0024215546,0.0024215546
cuerpos_positivos_acumulados_15m,0.0015001138,0.0015001138
r2_tendencia_60m,-0.0010498851,0.0010498851
semivolatilidad_negativa_240m,0.0008519901,0.0008519901
volumen_relativo_15m,-0.00033725338,0.00033725338
