mes,muestras,accuracy,balanced_accuracy,f1_macro,precision_baja,recall_baja,f1_baja,soporte_baja,precision_sube,recall_sube,f1_sube,soporte_sube,tasa_predicha_baja,tasa_predicha_sube
2023-01,44640,0.4049059139784946,0.34366582991915395,0.3297295028822497,0.18553024237571875,0.3391882900864937,0.23986073209748754,7515,0.2879923457183862,0.15830995792426367,0.20431019854064145,11408,0.30777329749103943,0.1404793906810036
2023-02,40320,0.3842757936507937,0.3136738911062607,0.3092503190681386,0.21500549651887138,0.2485175772977552,0.23055009823182712,9444,0.21338363129407906,0.13528127274617865,0.16558482881506936,9617,0.27073412698412697,0.15121527777777777
2023-03,42640,0.36465759849906193,0.3482094316426923,0.3378609768608049,0.2504418522446094,0.414166017147311,0.31213745502606655,10264,0.29604063558218285,0.19545962679508128,0.23545864194333663,11629,0.39807692307692305,0.1800656660412758
2023-04,43200,0.36868055555555557,0.3087626763354125,0.30348001262119156,0.21322278911564627,0.30035935316430423,0.24939908827186075,10018,0.17513482827135965,0.12545750305002035,0.14619120957232556,9836,0.32666666666666666,0.16310185185185186
2023-05,44640,0.3870967741935484,0.3295730842874617,0.30575210706491757,0.18572018159306644,0.4093567251461988,0.2555158987670344,7695,0.14106184693589383,0.13454545454545455,0.13772661473771283,7425,0.3799507168458781,0.15864695340501792
2023-06,43200,0.33319444444444446,0.2997556121314503,0.28452218840766363,0.1576990492377968,0.35966081162931557,0.21926002510892845,8255,0.20505404171106714,0.15865724381625443,0.17889634105850322,8490,0.43581018518518516,0.1520601851851852
2023-07,44640,0.40618279569892474,0.3122979043126584,0.2866561531540533,0.11486412746916949,0.35366263440860213,0.1734080237251833,5952,0.12826218895407648,0.1257188181637914,0.126977768876427,5043,0.4105286738351254,0.11073028673835125
2023-08,44640,0.357168458781362,0.30435096804467154,0.2596704923461583,0.12184349067547069,0.4389969458286449,0.19074559105989175,6221,0.09339048048725468,0.10122249388753056,0.09714889123548047,4090,0.5021057347670251,0.09930555555555555
2023-09,43200,0.4472685185185185,0.35965045617268493,0.3149011228561734,0.13395925380461463,0.4445123192832417,0.20587541849389351,4911,0.13028044018459353,0.13519985264321238,0.13269456747717617,5429,0.37722222222222224,0.13041666666666665
2023-10,44640,0.38405017921146956,0.33316128075335066,0.3100888341879557,0.19039204859193815,0.42275625306522807,0.262544734637935,8156,0.17675344055712153,0.1255594817432273,0.1468218442256043,8490,0.4056899641577061,0.13510304659498207
2023-11,43200,0.37064814814814817,0.33051093684240784,0.31247196003378425,0.23207115942924209,0.3715755118188112,0.28570342205323196,10111,0.232001582278481,0.09940677966101695,0.13917892738490745,11800,0.37474537037037037,0.11703703703703704
2023-12,44400,0.3392342342342342,0.3197678541429108,0.30272455147080757,0.23613700527353113,0.40621277375607073,0.29865930068045543,10913,0.25413793103448273,0.11881347734966952,0.1619246402284961,12406,0.4228153153153153,0.13063063063063063
