comparacion,semilla,pliegue,control,candidata,umbral,variable_macro,operaciones_control,operaciones_candidata,precision_control,precision_candidata,positivas_control,positivas_candidata,retorno_control,retorno_candidata,retencion_retorno,mejora_relativa_retorno,factor_control,factor_candidata,retencion_factor,mejora_relativa_factor,drawdown_control,drawdown_candidata,mejora_drawdown_absoluta,retorno_mediano_control,retorno_mediano_candidata,coeficiente_macro,signo_coeficiente,concentracion_mensual_control,concentracion_mensual_candidata
v41_reservas_044,11,validacion_2023,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,63,51,0.5079365079365079,0.45098039215686275,63.49206349206349,62.745098039215684,0.002648344596198574,0.002445972299317242,0.9235853607676974,-0.07641463923230263,1.393263607605781,1.3375627980765705,0.960021341815618,-0.039978658184381954,-0.08310704405902003,-0.11854505627652379,-0.035438012217503756,0.002768299696078836,0.0029614586956422393,0.04437354545879695,1,0.1588302947637685,0.2050578764926026
v41_reservas_044,11,validacion_2024,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,105,105,0.5142857142857142,0.5238095238095238,58.0952380952381,60.0,0.0026237965813734293,0.0025747278381578545,0.9812985718618896,-0.018701428138110376,1.290401949819667,1.2844619707277545,0.9953967993517503,-0.004603200648249706,-0.15913857205686088,-0.18613838604777821,-0.026999813990917332,0.003990083507963039,0.004418836122799808,0.06735442415844357,1,0.2195019141722895,0.16626658596944643
v41_reservas_044,23,validacion_2023,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,58,39,0.5172413793103449,0.38461538461538464,60.3448275862069,56.41025641025641,0.004788880632826688,0.0036535287924558944,0.7629191605678757,-0.23708083943212432,1.6998302336267133,1.4581955192970069,0.8578477370565643,-0.14215226294343575,-0.07787218219437031,-0.07007155843199664,0.007800623762373671,0.005083755129159929,0.0025243819395103237,0.027147707434098337,1,0.15493831938732675,0.20575141888744977
v41_reservas_044,23,validacion_2024,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,93,93,0.5053763440860215,0.5483870967741935,54.83870967741935,60.215053763440864,0.002267806417589489,0.0023920412185708096,1.0547819249552055,0.05478192495520551,1.289798906075938,1.2842302078737293,0.9956825066481481,-0.004317493351851942,-0.12283306082238121,-0.16349685918181855,-0.04066379835943734,0.003901366203496016,0.003927437358672737,0.05719837060439264,1,0.3214379403900886,0.22586703824920332
v41_reservas_044,42,validacion_2023,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,77,76,0.4935064935064935,0.47368421052631576,66.23376623376623,67.10526315789474,0.005575917712559872,0.0060182517030054235,1.0793293612366597,0.07932936123665968,1.972432576846761,2.067768189675975,1.0483340287259009,0.04833402872590087,-0.0825551938323894,-0.08665963799208398,-0.004104444159694576,0.006028209058902668,0.006136422102097972,0.0413181893071168,1,0.1697575869639937,0.19950321107228075
v41_reservas_044,42,validacion_2024,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,126,116,0.46825396825396826,0.5,60.317460317460316,60.3448275862069,0.0028652927343018916,0.004083354603700438,1.425109049004488,0.425109049004488,1.348079626823793,1.526315689386557,1.1322147883672908,0.13221478836729084,-0.13233030283786018,-0.12632292548099122,0.006007377356868959,0.0053591266025493365,0.004480120401746502,0.05580138140141365,1,0.2684326158420874,0.2234964747006378
v41_reservas_044,77,validacion_2023,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,77,79,0.5324675324675324,0.4936708860759494,62.33766233766234,62.0253164556962,0.004411462291869155,0.005371259705470408,1.2175689941564893,0.21756899415648934,1.7465384479540265,1.908066205646371,1.0924845129413359,0.09248451294133586,-0.10356094648679759,-0.10518604120383401,-0.0016250947170364238,0.006468017219836032,0.006468017219836032,0.051338419870980964,1,0.16414714940193714,0.12578135864223575
v41_reservas_044,77,validacion_2024,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,113,104,0.5132743362831859,0.5288461538461539,59.29203539823009,59.61538461538461,0.003078870139121051,0.002934715359930609,0.9531793246623922,-0.04682067533760781,1.3692029016991416,1.3406480644575034,0.9791449191305376,-0.020855080869462417,-0.18815650251247829,-0.22023558106510366,-0.03207907855262537,0.003797256356418922,0.0037223402236415968,0.07149028774795144,1,0.270374329686508,0.3034043918167798
v41_reservas_044,101,validacion_2023,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,50,67,0.42,0.44776119402985076,56.00000000000001,56.71641791044776,0.00018143825093937195,0.0025473211618872497,14.039603824986406,13.039603824986406,1.023585227257164,1.3711744619674726,1.3395801594770191,0.33958015947701914,-0.1529598078721892,-0.13587973232977046,0.01708007554241875,0.0018329760324324882,0.00347994238720395,0.03752581646151821,1,0.32322673968789917,0.19791222215277435
v41_reservas_044,101,validacion_2024,v41_control_macro,v41_reservas_fed,0.44,impulso_reservas_fed_4s,106,102,0.5283018867924528,0.5,62.264150943396224,60.78431372549019,0.0032932996585924436,0.0036637843370758336,1.1124964980082424,0.11249649800824235,1.4202094650968204,1.4585312684697689,1.026983205164272,0.026983205164271995,-0.14381401480325218,-0.14315282542285712,0.0006611893803950553,0.004081208727909403,0.004229908073593803,0.05866571396867858,1,0.2800938608917657,0.17146981533865102
