umbral,coste,senales,cobertura,precision,recall,f1,precision_lift,operaciones_no_solapadas,operaciones_por_dia,tasa_retorno_positivo,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown
0.05,0.0005,448793,0.8602939766980912,0.246639319240719,0.9380667468940151,0.390584889315462,1.0904025511075004,1012,2.7751423962949353,0.3784584980237154,-0.0004382389633800684,-0.0054999998882412915,0.8586831485875726,-0.44171234211285126
0.06,0.0005,442444,0.8481235407553376,0.2477511278263464,0.9289648977101307,0.39117696389635326,1.0953179024871729,1004,2.753204511739244,0.3904382470119522,-0.00023055417058819928,-0.0054999998882412915,0.9244550674209163,-0.38060030522994637
0.07,0.0005,435697,0.835190176240334,0.24883806865780578,0.9188121832573434,0.39161632306594785,1.1001233125052303,996,2.731266627183553,0.3684738955823293,-0.0004799391021316487,-0.0054999998882412915,0.8475905734027008,-0.47588981037343125
0.08,0.0005,428537,0.8214651295636739,0.24976606454051808,0.9070831709012017,0.39168214295516296,1.1042260203826355,989,2.712070978197323,0.37613751263902934,-0.0004210294971604922,-0.0054999998882412915,0.8662464309614002,-0.42063454483789675
0.09,0.0005,420976,0.8069714035968824,0.2506746227813462,0.8943202427159782,0.3915884625232386,1.108242793647655,984,2.698359800350016,0.37703252032520324,-0.0003686067704740742,-0.0054999998882412915,0.8820055059453136,-0.40388954001527355
0.1,0.0005,413267,0.7921939755479476,0.25174523976025187,0.8816929100493228,0.3916614119130754,1.11297603524373,980,2.6873908580721704,0.37755102040816324,-0.0004175082698438561,-0.0054999998882412915,0.8676065529216309,-0.42496946222623977
0.11,0.0005,405535,0.777372458661923,0.2527155485962987,0.8685316700283056,0.3915130469330491,1.1172658104241218,973,2.668195209085941,0.37307297019527236,-0.0005305668262330262,-0.0054999998882412915,0.8337228868715068,-0.47644224820379155
0.12,0.0005,397565,0.7620947181573167,0.2533900116962006,0.8537348090645605,0.3907922019229464,1.1202476394651075,961,2.635288382252404,0.37877211238293446,-0.00046910634438106815,-0.0054999998882412915,0.852385853110304,-0.44707645085838543
0.13,0.0005,389398,0.7464393471785061,0.25414100740116796,0.8386752317835896,0.390077966716332,1.1235678222935719,958,2.6270616755440197,0.3705636743215031,-0.0005800182459658533,-0.0054999998882412915,0.819328567003781,-0.5028877514968211
0.14,0.0005,381239,0.730799311447379,0.2552257245454951,0.824607196732148,0.38980283913251623,1.1283634012995696,950,2.6051237909883285,0.3726315789473684,-0.000485336085226568,-0.0054999998882412915,0.8477263623992654,-0.4712886716537449
0.15,0.0005,372948,0.7149062441294755,0.25693394253354357,0.8120730859845082,0.39036065066219094,1.135915503120763,944,2.5886703775715603,0.3739406779661017,-0.0004218891945632762,-0.0054999998882412915,0.8666604432203503,-0.4505792468145722
0.16,0.0005,364542,0.6987927326261228,0.2586615534012542,0.7991067645214326,0.39081941393459607,1.143553341658722,932,2.5557635507380234,0.37446351931330474,-0.0004030451680552922,-0.0054999998882412915,0.8723688402723169,-0.4222055112764561
0.17,0.0005,356274,0.6829437541453092,0.26023790677961345,0.7857421312225631,0.3909823898522367,1.150522464629469,926,2.539310137321255,0.3833693304535637,-0.00029884344166762427,-0.0054999998882412915,0.9045226399121056,-0.3698619395404611
0.18,0.0005,347844,0.6667842368989062,0.2616000275985787,0.7711656129764911,0.39067323255524405,1.1565444566641887,917,2.5146300171961022,0.3816793893129771,-0.0003478830497583489,-0.0054999998882412915,0.889615812947068,-0.38218809421110356
0.19,0.0005,339269,0.6503467682882413,0.26300664074819685,0.7561992576145359,0.39027526587311134,1.1627631511184497,912,2.5009188393487953,0.38048245614035087,-0.0003461466100731123,-0.0054999998882412915,0.8905706390543556,-0.38399664543233336
0.2,0.0005,330498,0.6335335861093326,0.2647308001863854,0.7414786691299853,0.3901617851664229,1.1703857307448635,902,2.4734964836541815,0.38470066518847007,-0.0002693713816616081,-0.0054999998882412915,0.9147846947116783,-0.38535296174930056
0.21,0.0005,321735,0.6167357391781074,0.2666418014825866,0.7270292716825709,0.39018222421332943,1.178834345892531,892,2.4460741279595672,0.3778026905829596,-0.000401694516514982,-0.0054999998882412915,0.8748573448915414,-0.39074807448518645
0.22,0.0005,313143,0.6002656831661153,0.26834704911174767,0.7121391887998102,0.389807510767939,1.1863733156351959,886,2.429620714542799,0.37697516930022573,-0.0004054512560377558,-0.0054999998882412915,0.8730427248524674,-0.37580339299119636
0.23,0.0005,304184,0.5830921226666462,0.26974462825132156,0.6953677180969169,0.3887043976294584,1.1925520703603445,881,2.415909536695492,0.37003405221339386,-0.0005186137717734738,-0.0054999998882412915,0.8395786978012174,-0.4170430493187465
0.24,0.0005,295419,0.5662904419235001,0.27139757429278416,0.6794691435448058,0.3878698747269706,1.19985981263762,871,2.388487181000878,0.3719862227324914,-0.0006191713801784893,-0.0054999998882412915,0.8117853438226975,-0.461246293665621
0.25,0.0005,286576,0.5493392425154406,0.27340740327173246,0.6640112544280411,0.3873308714845739,1.2087453490260662,863,2.366549296445187,0.3684820393974508,-0.0006395776904027103,-0.0054999998882412915,0.8048781847439972,-0.485198613506034
0.26,0.0005,277234,0.5314315070331279,0.2756624367862528,0.6476635197206733,0.3867247591288155,1.218714944728145,858,2.3528381185978797,0.3776223776223776,-0.0005019099266199255,-0.0054999998882412915,0.8448946624947556,-0.4276089610179118
0.27,0.0005,267872,0.5134854334316067,0.2778528550949707,0.6307649282191223,0.38577241039728405,1.2283988739539125,850,2.3309002340421885,0.3835294117647059,-0.00046213645221466955,-0.0054999998882412915,0.8565517442353974,-0.40920302974029066
0.28,0.0005,258207,0.49495853732407596,0.28042616970105383,0.6136375192799878,0.3849390624792334,1.2397756034223255,832,2.2815399937918834,0.38341346153846156,-0.00029171146629124287,-0.0054999998882412915,0.9091728594374547,-0.3383674061204752
0.29,0.0005,248421,0.4761996955953335,0.28304370403468304,0.5958914557873862,0.38379014188674715,1.2513478301207583,824,2.259602109236192,0.3774271844660194,-0.0003758619673971079,-0.0054999998882412915,0.8829684466358905,-0.3671161297740827
0.3,0.0005,237912,0.456054930857202,0.285777934698544,0.5761962067153681,0.3820628810654379,1.2634359760837324,810,2.2212108112637328,0.3814814814814815,-0.0004493742302379196,-0.0054999998882412915,0.861638113907013,-0.3760489640504028
0.31,0.0005,227024,0.43518365876006854,0.2889165903164423,0.5558653536500618,0.38021343566497207,1.277312101363919,792,2.1718505710134277,0.3851010101010101,-0.0003450544389971137,-0.0054999998882412915,0.8933199621190531,-0.3062483159407081
0.32,0.0005,215549,0.41318716286416424,0.29219342237727847,0.5337548094035492,0.3776499263971794,1.2917991103683484,780,2.138943744179891,0.36025641025641025,-0.0006033368414610805,-0.0054999998882412915,0.8197336820169911,-0.4218382920395771
0.33,0.0005,203718,0.39050824844634774,0.295089290097095,0.5094577874201258,0.3737147048950006,1.3046018603884129,758,2.07861456165174,0.35224274406332456,-0.0006096342902366872,-0.0054999998882412915,0.817885695312169,-0.4255958438804106
0.34,0.0005,191742,0.36755138266426923,0.2982080086783282,0.48457600976287735,0.3692064312003616,1.318389843211395,747,2.0484499703876646,0.3453815261044177,-0.0007069325268753576,-0.0054999998882412915,0.7914656145756482,-0.46743429863966657
0.35,0.0005,179313,0.3437261584821172,0.30160111090662695,0.4583213274801268,0.3638008684508814,1.3333908873972755,728,1.996347494567898,0.3324175824175824,-0.0008315403696983049,-0.0054999998882412915,0.7611119961503018,-0.4989331473800359
0.36,0.0005,166567,0.31929327511050964,0.305492684625406,0.4312361226461465,0.35763358107989385,1.3505956944971444,705,1.9332760764702859,0.33191489361702126,-0.0008390456025257706,-0.0054999998882412915,0.7590346021248112,-0.48518026988867
0.37,0.0005,154075,0.29534728585285064,0.30854453999675485,0.40287970982559024,0.34945768231320273,1.3640880723255233,680,1.8647201872337509,0.3411764705882353,-0.0007043310107102815,-0.0054999998882412915,0.796042821004517,-0.4533641797869067
0.38,0.0005,141382,0.27101599849714575,0.31241600769546335,0.3743283784470923,0.3405813863829131,1.3812039898856179,668,1.8318133604002143,0.3278443113772455,-0.000813939398503732,-0.0054999998882412915,0.7674124622102936,-0.46580176514493576
0.39,0.0005,128470,0.24626490873610724,0.3165486105705612,0.34464143460058644,0.3299982147783891,1.399474396776106,651,1.7851953557193705,0.34101382488479265,-0.000683975363990987,-0.0054999998882412915,0.8018180333642236,-0.39942002316832803
0.4,0.0005,115467,0.22133938053266983,0.31923406687625033,0.31238665062119697,0.3157732422418778,1.4113469093001663,629,1.7248661731912196,0.35453100158982515,-0.0005434902966785396,-0.0054999998882412915,0.8391833223640254,-0.3658057113016374
0.41,0.0005,102662,0.19679339970939705,0.3223003643022735,0.2804115323988542,0.29990029910269195,1.424903136044884,608,1.6672792262325302,0.3536184210526316,-0.0005584094717803395,-0.0054999998882412915,0.833299660717963,-0.36698579376825313
0.42,0.0005,89983,0.17248894903713813,0.3249724948045742,0.24781775962304445,0.28119876334857513,1.436716734645345,575,1.5767854524403042,0.37043478260869567,-0.00025646051088994685,-0.0054999998882412915,0.9209164324683555,-0.27613868908245554
0.43,0.0005,78004,0.1495263325371784,0.3273293677247321,0.21638502347497415,0.26053815777390027,1.4471365665386862,551,1.5109717987732305,0.3684210526315789,-0.0003286430665176491,-0.0054999998882412915,0.9002083209176523,-0.2729025871379388
0.44,0.0005,67028,0.12848637271552732,0.32910127111058063,0.18694384650587298,0.23844216488493508,1.4549702241168583,521,1.4287047316893886,0.3666026871401152,-0.0002478268779069056,-0.0054999998882412915,0.9252415468264413,-0.20213223457432872
0.45,0.0005,56866,0.10900677434566415,0.3324306263848345,0.16020610518822354,0.21621374325189863,1.469689440403076,484,1.3272420156193168,0.365702479338843,-0.00031979695680331915,-0.0054999998882412915,0.9048518494324098,-0.2223912326365406
0.46,0.0005,47924,0.0918658012475224,0.33665804189967447,0.13673113103611925,0.19447692289147914,1.4883790178644618,451,1.2367482418270908,0.36363636363636365,-0.0003460255612851798,-0.0054999998882412915,0.8973559792612822,-0.25515472965273467
0.47,0.0005,40107,0.07688134735486146,0.3403894581993168,0.11569687621824098,0.17269536067803043,1.504875762442333,426,1.1681923525905558,0.3615023474178404,-0.0003857916371620586,-0.0054999998882412915,0.8858676123388027,-0.2275927020731615
0.48,0.0005,33663,0.06452880534586734,0.3440275673588213,0.09814573128358108,0.15272218962027154,1.5209599923248338,401,1.0996364633540208,0.35910224438902744,-0.0003737346378626525,-0.0054999998882412915,0.8894782793877031,-0.22197666981209152
0.49,0.0005,28327,0.05430019514102677,0.34588908108871397,0.08303530568314717,0.13392106611993848,1.5291898209111492,366,1.003658218422872,0.3743169398907104,-4.279453511526592e-05,-0.0054999998882412915,0.9869085220975533,-0.18929578153464488
0.5,0.0005,23803,0.045628112576053245,0.34130151661555264,0.06884862455295852,0.11458311295406944,1.508908010126458,329,0.9021955023528001,0.3465045592705167,-0.0004710945018807676,-0.0054999998882412915,0.8617790823618184,-0.1916777911281603
0.51,0.0005,20197,0.038715749682752064,0.3441105114620983,0.058899303378023356,0.10058251022106444,1.5213266916089991,291,0.797990550713267,0.3711340206185567,-0.00022326393749442315,-0.0054999998882412915,0.9324120248303007,-0.16053565835270367
0.52,0.0005,17164,0.03290177390477578,0.34275227219762294,0.04985677723351243,0.0870510942424646,1.515321860085957,259,0.7102390124905023,0.3783783783783784,-0.0001717803497705141,-0.0054999998882412915,0.9476327849557321,-0.17856246010892918
