rejilla_minutos,variante,semilla,margen_ev,aprobada_dos_pliegues,operaciones_2023,operaciones_2024,precision_tp_2023,porcentaje_acierto_tp_2023,precision_tp_2024,porcentaje_acierto_tp_2024,retorno_neto_medio_2023,retorno_neto_medio_2024,retorno_neto_mediano_2023,retorno_neto_mediano_2024,factor_beneficio_2023,factor_beneficio_2024,drawdown_2023,drawdown_2024,concentracion_2023,concentracion_2024,retorno_medio_promedio,peor_retorno_medio,peor_pf
30,macro_nasdaq100,42,0.001,False,317,672,0.2616822429906542,26.168224299065415,0.25,25.0,-0.0005949508662501,-0.0006058753476106,-0.0059999998882412,-0.0059999998882412,0.8202170363787948,0.8327318516690178,-0.230879614521285,-0.4034620428086726,0.1294189131587851,0.138129390006426,-0.0006004131069303499,-0.0006058753476106,0.8202170363787948
15,macro_nasdaq100,42,0.0005,False,843,1149,0.2394185549380077,23.94185549380077,0.2806603773584906,28.066037735849054,-0.0007558670953272,-0.0006541909655979,-0.0059999998882412,-0.0059999998882412,0.7736621357484231,0.8221718596157808,-0.5419829771223232,-0.5552275041197051,0.1197414962635555,0.1169439294297057,-0.00070502903046255,-0.0007558670953272,0.7736621357484231
30,macro_reservas_fed,42,0.0005,False,963,1214,0.2091611479028697,20.916114790286976,0.2935560859188544,29.35560859188544,-0.0007056942817361,-0.0007826467638104,-0.0059999998882412,-0.0059999998882412,0.7894518692029174,0.7877998011134573,-0.5215324601788502,-0.6670052088824531,0.1328847301644263,0.107916203550203,-0.00074417052277325,-0.0007826467638104,0.7877998011134573
15,control_63_eventos,42,0.001,False,880,470,0.2489403786380333,24.894037863803334,0.2916328188464663,29.16328188464663,-0.0007680605590496,-0.0008025381626924,-0.0059999998882412,-0.0059999998882412,0.7714313649890387,0.7845856446624059,-0.5344776421473759,-0.3652275413266371,0.137714447173968,0.1409552184076213,-0.000785299360871,-0.0008025381626924,0.7714313649890387
10,control_63_eventos,42,0.001,False,997,547,0.2446148229280759,24.46148229280759,0.2902621722846442,29.02621722846441,-0.0007510665391316,-0.0008144498796441,-0.0059999998882412,-0.0059999998882412,0.7767294424375556,0.7786635061553906,-0.562410215548989,-0.3694544964090807,0.1341313384080024,0.1501598894641678,-0.0007827582093878501,-0.0008144498796441,0.7767294424375556
15,macro_reservas_fed,42,0.001,False,898,654,0.2243985522674047,22.439855226740477,0.2876782077393075,28.76782077393075,-0.0007909420034332,-0.0008230132160539,-0.0059999998882412,-0.0059999998882412,0.7698901265516171,0.7749450982200996,-0.5378201874414713,-0.4624399534787204,0.1545612627452733,0.1275468507267022,-0.00080697760974355,-0.0008230132160539,0.7698901265516171
15,macro_dolar,42,0.0,False,1586,1809,0.2426991777714771,24.26991777714772,0.2924826279216677,29.248262792166773,-0.0008280871015358,-0.0007424582585126,-0.0059999998882412,-0.0059999998882412,0.769162280819882,0.7995452486734894,-0.746658045418092,-0.7628438280104264,0.1558806183576295,0.1165258104677793,-0.0007852726800242,-0.0008280871015358,0.769162280819882
15,macro_vix,42,0.001,False,966,810,0.2299692744032143,22.99692744032144,0.28171404327535,28.171404327535004,-0.0005001861581095,-0.0008281999093922,-0.0059999998882412,-0.0059999998882412,0.8482706293754633,0.7746798062594464,-0.4400341686254803,-0.5134934403151596,0.1159094085585989,0.1288956463435608,-0.00066419303375085,-0.0008281999093922,0.7746798062594464
30,macro_reservas_fed,42,0.001,False,703,796,0.2091611479028697,20.916114790286976,0.2935560859188544,29.35560859188544,-0.0006101166981466,-0.0008309054486736,-0.0059999998882412,-0.0059999998882412,0.8166984844091779,0.7751761249412166,-0.3954445240619932,-0.5248475280925511,0.138579378877111,0.1202460048273577,-0.0007205110734100999,-0.0008309054486736,0.7751761249412166
30,control_63_eventos,42,0.0005,False,1091,882,0.2310513447432763,23.10513447432763,0.2824207492795389,28.24207492795389,-0.0007663662641981,-0.0008337872081893,-0.0059999998882412,-0.0059999998882412,0.7719849865938383,0.7742064258737312,-0.5870874764361387,-0.5591214792368976,0.1284213330476294,0.1226126904116622,-0.0008000767361937,-0.0008337872081893,0.7719849865938383
