objetivo,variante,umbral,operaciones_minimas,retorno_minimo,retorno_mediano_minimo,factor_minimo,drawdown_peor,positivas_minimas,precision_operaciones_minima,pr_auc_minimo,pr_auc_lift_minimo,concentracion_mensual_maxima,aprobado
baja_cierre_4h,histgb_63_moderado,0.94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,0.0,False
baja_cierre_4h,histgb_63_moderado,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,0.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,0.8681442355118704,False
baja_cierre_4h,sgd_63_sin_pesos,0.83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,0.8936307888205348,False
baja_cierre_4h,sgd_63_sin_pesos,0.84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,1.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,1.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,1.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,1.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,1.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,1.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,1.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,0.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,0.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,0.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,0.0,False
baja_cierre_4h,sgd_63_sin_pesos,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210412569135555,1.2739325029706796,0.0,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534349875428584,1.1928374949472378,1.0,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534349875428584,1.1928374949472378,1.0,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534349875428584,1.1928374949472378,1.0,False
corto_tp070_sl035_240m,control_v4_63_moderado,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534349875428584,1.1928374949472378,1.0,False
