pliegue,umbral_sube,modo_entrada,usa_veto_baja,tipo_salida,nombre_salida,horizonte_salida,coste,operaciones,precision_clasificacion,porcentaje_acierto_clasificacion,porcentaje_operaciones_positivas,retorno_bruto_medio,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown
validacion_2023,0.44,cruce,False,fija,fija_480m,480,0.001,171,0.4093567251461988,40.93567251461988,56.72514619883041,0.0027120993525247728,0.0017120993525247719,0.002599680940285621,1.3567709040165783,-0.14253799103204656
validacion_2024,0.44,cruce,False,fija,fija_480m,480,0.001,298,0.38926174496644295,38.92617449664429,53.355704697986575,0.0013340686968172169,0.000334068696817216,0.0007836664937134205,1.0451689285979833,-0.4309924140314958
