variante,base,variable_macro,pliegue,umbral,es_umbral_base,operaciones,precision,porcentaje_acierto,porcentaje_operaciones_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2023,0.4,False,77,0.4935064935064935,49.35064935064935,66.23376623376623,0.004505132662208681,0.00601054261952061,1.7166947257255352,-0.09107278901536764,0.3816364297543926
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2023,0.42,True,57,0.47368421052631576,47.368421052631575,61.40350877192983,0.003098305873580961,0.006011188002630009,1.3861094966571947,-0.09812595731552243,0.17005893852593723
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2023,0.44,False,48,0.5208333333333334,52.083333333333336,64.58333333333334,0.0021597759129763708,0.007509312242182209,1.247712307010894,-0.15463866873607734,0.09141993103220658
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2023,0.46,False,39,0.46153846153846156,46.15384615384615,58.97435897435898,0.0016562298748957333,0.006393289041689455,1.173265326276,-0.11366110884203984,0.05091049864680608
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2023,0.48,False,37,0.4594594594594595,45.94594594594595,56.75675675675676,0.0019003583104118913,0.008625335442674964,1.193634872647469,-0.10993729746401137,0.05736321087751439
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2023,0.5,False,34,0.5,50.0,61.76470588235294,0.002724383994119385,0.010213538844381143,1.2799506735402095,-0.09728489465757939,0.08152972574370332
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2024,0.4,False,130,0.47692307692307695,47.69230769230769,56.15384615384615,0.003853238156136613,0.003571429833201579,1.5365383588339458,-0.13286538711062112,0.591467620978158
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2024,0.42,True,117,0.4700854700854701,47.008547008547005,61.53846153846154,0.004803253198290444,0.005819352214908925,1.7532467777137088,-0.1070424253781006,0.7017966490283385
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2024,0.44,False,97,0.5051546391752577,50.51546391752577,62.88659793814433,0.005644818197316366,0.005535573009230022,1.9165517710534483,-0.08920507966508862,0.6824835474900399
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2024,0.46,False,84,0.4880952380952381,48.80952380952381,59.523809523809526,0.004091266236651158,0.0048982433562465575,1.559817348118201,-0.1015419782760173,0.3741830717503736
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2024,0.48,False,68,0.45588235294117646,45.588235294117645,57.35294117647059,0.0034412238203097023,0.0030974534294951903,1.3941121456607333,-0.1278612680658987,0.23236433021077918
v45_dolar,v45,impulso_dolar_amplio_20s,validacion_2024,0.5,False,63,0.4603174603174603,46.03174603174603,60.317460317460316,0.0037224973124406614,0.002784672890196683,1.4624064675613424,-0.10475413114646825,0.23737683214531224
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2023,0.4,False,98,0.4489795918367347,44.89795918367347,65.3061224489796,0.005136115663660113,0.0050002228570401605,1.9445837037029388,-0.07509567372597159,0.6110084231793762
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2023,0.42,True,78,0.48717948717948717,48.717948717948715,64.1025641025641,0.004372223902378405,0.005170145242568759,1.7038382411587545,-0.10559184532232979,0.37322641558956726
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2023,0.44,False,63,0.5238095238095238,52.38095238095239,63.49206349206349,0.00473656610412758,0.006393289041689455,1.6865735393096561,-0.10586037261373349,0.3199719387457831
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2023,0.46,False,49,0.5510204081632653,55.10204081632652,65.3061224489796,0.003508451364634114,0.007616726513673623,1.4632087996609007,-0.13625717542700966,0.16921433120802365
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2023,0.48,False,44,0.5,50.0,61.36363636363637,0.003039965188374463,0.007005007777681539,1.3481549709058696,-0.13158136343999471,0.12423375763793842
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2023,0.5,False,41,0.4634146341463415,46.34146341463415,58.536585365853654,0.0012866699748347852,0.00601054261952061,1.1372880309856326,-0.1354768838739937,0.03894741023474313
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2024,0.4,False,150,0.44666666666666666,44.666666666666664,56.00000000000001,0.002973800793851691,0.0031631922891065542,1.394101887752512,-0.11482941245564404,0.4997355904362246
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2024,0.42,True,131,0.5038167938931297,50.38167938931297,59.541984732824424,0.004803453250210311,0.004810386793073441,1.7426827916627268,-0.1130916376849368,0.8134177296113279
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2024,0.44,False,113,0.49557522123893805,49.557522123893804,57.52212389380531,0.004627242618345842,0.0029728485082488607,1.674152037587921,-0.12827272501997922,0.6332312613693394
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2024,0.46,False,95,0.5052631578947369,50.526315789473685,58.94736842105262,0.003548275191254485,0.0033949161272605064,1.4759164914164609,-0.14650342754108103,0.36437640520386627
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2024,0.48,False,83,0.5542168674698795,55.42168674698795,61.44578313253012,0.004411060056807068,0.007879377758003625,1.6334982744782955,-0.12912507132421824,0.4090582466671995
v45_tipo_real,v45,impulso_rendimiento_real_10y_20s,validacion_2024,0.5,False,72,0.4583333333333333,45.83333333333333,59.72222222222222,0.002950716499697348,0.007761583681701989,1.3332125002231179,-0.16206516562558948,0.205249123899498
v45_credito,v45,impulso_spread_baa_20s,validacion_2023,0.4,False,79,0.4810126582278481,48.10126582278481,65.82278481012658,0.004635221427680646,0.005901934577804747,1.7535945259220027,-0.11568856725167342,0.4085445920437505
v45_credito,v45,impulso_spread_baa_20s,validacion_2023,0.42,True,60,0.48333333333333334,48.333333333333336,66.66666666666666,0.0041001807037500506,0.0059562385986626784,1.6084553165913313,-0.12712343607854226,0.2545623937116772
v45_credito,v45,impulso_spread_baa_20s,validacion_2023,0.44,False,48,0.5,50.0,62.5,0.002994968096790502,0.006886425671412844,1.3622205007154633,-0.11252235593540072,0.13468425839337494
v45_credito,v45,impulso_spread_baa_20s,validacion_2023,0.46,False,46,0.5217391304347826,52.17391304347826,63.04347826086957,0.003304318438110962,0.008026333097189475,1.3862760706714647,-0.09726427317771613,0.14512143654548249
v45_credito,v45,impulso_spread_baa_20s,validacion_2023,0.48,False,41,0.4878048780487805,48.78048780487805,60.97560975609756,0.002171851806445397,0.008625335442674964,1.2328211130073612,-0.12761475352615026,0.0764038714320443
