mes,tipo_decision,muestras,accuracy,balanced_accuracy,f1_macro,recall_baja,recall_neutral,recall_sube,reales_baja,reales_neutral,reales_sube,porcentaje_real_baja,porcentaje_real_neutral,porcentaje_real_sube,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube,cm_baja_baja,cm_baja_neutral,cm_baja_sube,cm_neutral_baja,cm_neutral_neutral,cm_neutral_sube,cm_sube_baja,cm_sube_neutral,cm_sube_sube
2025-01,original,44640,0.5257840501792115,0.40308325260186395,0.37983661258681045,0.06255077173030058,0.8250399205903932,0.32165906548489803,9848,23171,11621,22.060931899641577,51.90636200716846,26.032706093189965,2410,32958,9272,5.398745519713262,73.83064516129032,20.770609318996417,616,6692,2540,1060,19117,2994,734,7149,3738
2025-01,ajustada,44640,0.48445340501792117,0.40401789522724635,0.40331220822114533,0.20978878960194963,0.6850804885417117,0.31718440753807764,9848,23171,11621,22.060931899641577,51.90636200716846,26.032706093189965,8368,26281,9991,18.74551971326165,58.87320788530466,22.38127240143369,2066,4951,2831,3823,15874,3474,2479,5456,3686
2025-02,original,40320,0.5529513888888888,0.4148047119972205,0.3790071790802861,0.04499289051391428,0.8601547301271321,0.3392665153506152,9846,22103,8371,24.419642857142858,54.81894841269841,20.76140873015873,1389,30018,8913,3.4449404761904763,74.44940476190476,22.105654761904763,443,5941,3462,480,19012,2611,466,5065,2840
2025-02,ajustada,40320,0.549875992063492,0.4490941698747488,0.4425678768783112,0.2039406865732277,0.7713432565715062,0.3719985664795126,9846,22103,8371,24.419642857142858,54.81894841269841,20.76140873015873,5709,24799,9812,14.15922619047619,61.50545634920634,24.33531746031746,2008,4029,3809,2165,17049,2889,1536,3721,3114
2025-03,original,44640,0.48452060931899643,0.40772712557492885,0.37229482490537186,0.07208486468426328,0.822590969520902,0.32850554251962133,11972,20309,12359,26.818996415770606,45.49507168458781,27.685931899641574,2572,31181,10887,5.761648745519713,69.84991039426524,24.388440860215056,863,7146,3963,739,16706,2864,970,7329,4060
2025-03,ajustada,44640,0.4815412186379928,0.4252522994594223,0.417028403854456,0.2083194119612429,0.730759761682013,0.3366777247350109,11972,20309,12359,26.818996415770606,45.49507168458781,27.685931899641574,7653,25453,11534,17.143817204301076,57.018369175627235,25.837813620071685,2494,5255,4223,2318,14841,3150,2841,5357,4161
2025-04,original,43200,0.5405555555555556,0.40813011781533226,0.38921801673459977,0.08686980609418282,0.8603874415497662,0.2771331058020478,9025,22455,11720,20.891203703703702,51.979166666666664,27.12962962962963,2462,33111,7627,5.6990740740740735,76.64583333333333,17.65509259259259,784,5995,2246,1002,19320,2133,676,7796,3248
2025-04,ajustada,43200,0.5225231481481482,0.43700985813825005,0.43659664860492287,0.2824376731301939,0.7423291026497439,0.2862627986348123,9025,22455,11720,20.891203703703702,51.979166666666664,27.12962962962963,8339,26839,8022,19.30324074074074,62.12731481481482,18.569444444444443,2549,4189,2287,3406,16669,2380,2384,5981,3355
2025-05,original,44640,0.5953181003584229,0.3662973479492682,0.3339819961894073,0.04889106727116775,0.9401850256563916,0.1098159509202454,8161,26699,9780,18.281810035842295,59.80958781362007,21.908602150537636,1241,40723,2676,2.7800179211469533,91.22535842293907,5.994623655913978,399,7229,533,528,25102,1069,314,8392,1074
2025-05,ajustada,44640,0.5622759856630825,0.39062072011789634,0.38390667650818916,0.20928807744149,0.826173264916289,0.13640081799591003,8161,26699,9780,18.281810035842295,59.80958781362007,21.908602150537636,6576,34186,3878,14.731182795698924,76.581541218638,8.687275985663083,1708,5746,707,2804,22058,1837,2064,6382,1334
2025-06,original,43200,0.6471064814814815,0.36751228735743496,0.33968280798672223,0.037694013303769404,0.9630945970202837,0.10174825174825175,6765,27855,8580,15.659722222222221,64.47916666666667,19.86111111111111,793,40533,1874,1.8356481481481481,93.82638888888889,4.337962962962963,255,6136,374,401,26827,627,137,7570,873
2025-06,ajustada,43200,0.6056712962962963,0.3787061006730812,0.37365821805534094,0.14146341463414633,0.8650511577813678,0.1296037296037296,6765,27855,8580,15.659722222222221,64.47916666666667,19.86111111111111,4597,35811,2792,10.641203703703704,82.89583333333333,6.462962962962964,957,5251,557,2636,24096,1123,1004,6464,1112
2025-07,original,44640,0.6676299283154122,0.3454612201033341,0.31340698555991287,0.024995942217172537,0.9550657335339132,0.05632198455891659,6161,30578,7901,13.80152329749104,68.49910394265233,17.69937275985663,843,42207,1590,1.8884408602150535,94.54973118279571,3.5618279569892475,154,5747,260,489,29204,885,200,7256,445
2025-07,ajustada,44640,0.6225806451612903,0.36862286254834387,0.36280063791724554,0.15581886057458205,0.8522140100726012,0.09783571699784838,6161,30578,7901,13.80152329749104,68.49910394265233,17.69937275985663,5466,36543,2631,12.24462365591398,81.86155913978494,5.893817204301075,960,4763,438,3099,26059,1420,1407,5721,773
2025-08,original,44640,0.6482302867383513,0.3492760396216279,0.319738402846579,0.015187649052340907,0.9371280380357083,0.09551243177683444,7967,30077,6596,17.84722222222222,67.37679211469533,14.775985663082436,1208,41037,2395,2.706093189964158,91.92876344086022,5.365143369175628,121,7248,598,724,28186,1167,363,5603,630
2025-08,ajustada,44640,0.6173835125448028,0.3588062954100904,0.3510563495552399,0.11861428392117485,0.8644146690161918,0.09338993329290479,7967,30077,6596,17.84722222222222,67.37679211469533,14.775985663082436,4697,36727,3216,10.521953405017921,82.27374551971326,7.204301075268817,945,6183,839,2317,25999,1761,1435,4545,616
2025-09,original,43200,0.721875,0.34660514073592924,0.3181861149291087,0.029451656655686883,0.9755232576549191,0.03484050789718179,5161,31581,6458,11.94675925925926,73.10416666666667,14.949074074074073,686,41746,768,1.5879629629629628,96.63425925925925,1.7777777777777777,152,4840,169,399,30808,374,135,6098,225
2025-09,ajustada,43200,0.6944907407407407,0.3702872983504711,0.3623089476736589,0.1385390428211587,0.9158038060859377,0.056519046144317124,5161,31581,6458,11.94675925925926,73.10416666666667,14.949074074074073,3354,38633,1213,7.763888888888888,89.42824074074073,2.8078703703703702,715,4315,131,1942,28922,717,697,5396,365
2025-10,original,44640,0.5438620071684588,0.3753791837991442,0.3477538427270079,0.06931548261714532,0.8880293159609121,0.1687927528193751,9262,24560,10818,20.74820788530466,55.017921146953405,24.233870967741936,1484,37038,6118,3.324372759856631,82.97043010752688,13.705197132616487,642,6571,2049,507,21810,2243,335,8657,1826
