variante,umbral,operaciones_minimas,retorno_neto_medio_minimo,retorno_neto_mediano_minimo,factor_beneficio_minimo,drawdown_peor,operaciones_positivas_minimas,cumple_filtros,retencion_retorno,retencion_factor_beneficio,mejora_drawdown_absoluta,mejora_material,promovible
flujo_spot_futuros,0.4,115,0.0016899679572695,0.002147911034923,1.2015717409405982,-0.1646354905090797,54.67625899280576,True,0.3632766363456027,0.7321724214555981,-0.04402401406299679,False,False
flujo_spot_futuros,0.42,102,0.0022668372478716,0.0042925594248072,1.273033987799424,-0.1643240845948469,59.16666666666666,True,0.4872808428156463,0.7757176252437012,-0.043712608148764,False,False
flujo_spot_futuros,0.44,84,0.003095211823656,0.0051857412042733,1.3974130856499258,-0.1216840783122111,61.90476190476191,True,0.6653487927023335,0.8515074779414494,-0.0010726018661282033,False,False
flujo_spot_futuros,0.46,75,0.0025575823863901,0.0027745348070747,1.3114732999542895,-0.1252243021428435,56.84210526315789,True,0.5497796112097465,0.7991404499495187,-0.004612825696760595,False,False
flujo_spot_futuros,0.48,64,0.0042193211919015,0.003901366203496,1.5755629565763307,-0.1238195018519975,56.25,True,0.9069880903139887,0.9600623131908884,-0.003208025405914597,False,False
flujo_spot_futuros,0.5,58,0.0041089366565173,0.003901366203496,1.6801195430314944,-0.1175947498825938,55.69620253164557,True,0.8832597571545042,1.023773406316366,0.0030167265634891,False,False
spot_flujo_basis_sin_funding,0.4,81,0.0026899124190544,0.0046493525346958,1.3345025448092689,-0.1284113974751582,59.2,True,0.5782253630638005,0.813173218360471,-0.007799921029075299,False,False
spot_flujo_basis_sin_funding,0.42,67,0.0023134418378688,0.0041498540104195,1.3001953685811245,-0.191445352565586,59.813084112149525,True,0.49729899648514153,0.792268292390257,-0.0708338761195031,False,False
spot_flujo_basis_sin_funding,0.44,63,0.0031892030886578,0.0045679769649196,1.42105112662027,-0.1405414334919654,59.18367346938776,True,0.6855532175547966,0.8659112135703978,-0.019929957045882504,False,False
spot_flujo_basis_sin_funding,0.46,51,0.0037542690899589,0.0041498540104195,1.5414449255523894,-0.1172831684980468,56.47058823529412,True,0.8070201811045606,0.9392726420135838,0.0033283079480360966,False,False
spot_flujo_futuros,0.4,78,0.0015510880076301,0.0003731860231636,1.175064823235151,-0.2195959542766506,50.78125,True,0.33342290998124996,0.7160205484875063,-0.0989844778305677,False,False
spot_flujo_futuros,0.42,58,0.0016335156998673,0.0027745348070747,1.1856013566522936,-0.2462600333156746,56.63716814159292,True,0.3511416215395694,0.7224409384841437,-0.1256485568695917,False,False
spot_flujo_futuros,0.44,51,0.0016491985304459,0.0030290364834554,1.178710900506737,-0.1993120134420795,55.10204081632652,True,0.3545128132337461,0.718242269533194,-0.07870053699599659,False,False
spot_funding,0.4,94,0.001210339732158,0.0014690964197022,1.1388304398164677,-0.2617984955466028,55.639097744360896,True,0.26017543400302395,0.6939412873467273,-0.1411870191005199,False,False
spot_funding,0.42,74,0.0019483287506693,0.0029526863155775,1.2166468740046112,-0.2121236506521101,58.92857142857143,True,0.418814044369306,0.7413583870564565,-0.09151217420602721,False,False
spot_funding,0.44,58,0.001958024538264,0.002411612937139,1.2195424632344936,-0.1842690201537122,55.208333333333336,True,0.42089825732078406,0.7431228015360481,-0.06365754370762929,False,False
spot_funding,0.46,55,0.0025722708102723,0.0025858861466886,1.298781327671726,-0.159661961996012,53.93258426966292,True,0.5529370445789362,0.7914066528215191,-0.039050485549929084,False,False
spot_rendimiento_basis,0.4,127,0.0037588963180951,0.0041563222556898,1.4613222956528051,-0.1293606503620006,58.2089552238806,True,0.808014853142981,0.8904502721557116,-0.008749173915917688,False,False
spot_rendimiento_basis,0.42,113,0.0042959318746448,0.0041563222556898,1.5669948626478911,-0.165565494691142,63.1578947368421,True,0.9234563736417347,0.9548413830831831,-0.04495401824505911,False,False
spot_rendimiento_basis,0.44,93,0.005153590060888,0.0044287965939245,1.6903617364861203,-0.1700576648063776,62.36559139784946,True,1.1078191479135633,1.0300144415597714,-0.0494461883602947,True,False
spot_rendimiento_basis,0.46,78,0.0055994730411788,0.0053500182124017,1.80882893608184,-0.152883745338704,61.53846153846154,True,1.203666449980465,1.1022019052256216,-0.032272268892621095,True,False
spot_rendimiento_basis,0.48,71,0.0042279443944265,0.0048533189325877,1.6892153692559455,-0.1356565960973533,59.15492957746479,True,0.9088417396653471,1.0293159077625822,-0.015045119651270408,False,False
spot_rendimiento_basis,0.5,65,0.0041714394507973,0.0054429140872472,1.6648747664509511,-0.1335816138677094,58.46153846153847,True,0.8966953993929083,1.0144840691896553,-0.01297013742162649,False,False
