variante,umbral,operaciones_minimas,retorno_neto_medio_minimo,retorno_neto_mediano_minimo,factor_beneficio_minimo,drawdown_peor,operaciones_positivas_minimas,cumple_filtros
flujo_spot_futuros,0.4,115,0.0016899679572695,0.002147911034923,1.2015717409405982,-0.1646354905090797,54.67625899280576,True
flujo_spot_futuros,0.42,102,0.0022668372478716,0.0042925594248072,1.273033987799424,-0.1643240845948469,59.16666666666666,True
flujo_spot_futuros,0.44,84,0.003095211823656,0.0051857412042733,1.3974130856499258,-0.1216840783122111,61.90476190476191,True
flujo_spot_futuros,0.46,75,0.0025575823863901,0.0027745348070747,1.3114732999542895,-0.1252243021428435,56.84210526315789,True
flujo_spot_futuros,0.48,64,0.0042193211919015,0.003901366203496,1.5755629565763307,-0.1238195018519975,56.25,True
flujo_spot_futuros,0.5,58,0.0041089366565173,0.003901366203496,1.6801195430314944,-0.1175947498825938,55.69620253164557,True
flujo_spot_misma_muestra,0.4,101,0.0025290109176493,0.0011420669590336,1.3157670554881908,-0.1835876896265694,52.56410256410257,True
flujo_spot_misma_muestra,0.42,76,0.0040412366182813,0.0022373397275895,1.4928608538457686,-0.1206277900645533,54.01459854014598,True
flujo_spot_misma_muestra,0.44,64,0.00465201388746,0.003901366203496,1.6411048896813252,-0.1206114764460829,60.68376068376068,True
flujo_spot_misma_muestra,0.46,58,0.0030893910940791,0.0027846728901966,1.3806999490267151,-0.1722487051880125,56.56565656565656,True
flujo_spot_misma_muestra,0.48,48,0.0015538788640142,0.0036929655870566,1.1842488564213185,-0.1716114798211819,55.81395348837209,False
flujo_spot_misma_muestra,0.5,43,0.0029721836876966,0.0039647599233656,1.411627642414258,-0.1303386425634893,60.256410256410255,False
spot_flujo_basis_sin_funding,0.4,81,0.0026899124190544,0.0046493525346958,1.3345025448092689,-0.1284113974751582,59.2,True
spot_flujo_basis_sin_funding,0.42,67,0.0023134418378688,0.0041498540104195,1.3001953685811245,-0.191445352565586,59.813084112149525,True
spot_flujo_basis_sin_funding,0.44,63,0.0031892030886578,0.0045679769649196,1.42105112662027,-0.1405414334919654,59.18367346938776,True
spot_flujo_basis_sin_funding,0.46,51,0.0037542690899589,0.0041498540104195,1.5414449255523894,-0.1172831684980468,56.47058823529412,True
spot_flujo_basis_sin_funding,0.48,46,0.0031196955219217,0.0046431951946342,1.5478719092401398,-0.1046483957234648,56.9620253164557,False
spot_flujo_basis_sin_funding,0.5,43,0.0036153106370498,0.0033506784676129,1.6734571879305014,-0.1022490978110765,57.14285714285714,False
spot_flujo_futuros,0.4,78,0.0015510880076301,0.0003731860231636,1.175064823235151,-0.2195959542766506,50.78125,True
spot_flujo_futuros,0.42,58,0.0016335156998673,0.0027745348070747,1.1856013566522936,-0.2462600333156746,56.63716814159292,True
spot_flujo_futuros,0.44,51,0.0016491985304459,0.0030290364834554,1.178710900506737,-0.1993120134420795,55.10204081632652,True
spot_flujo_futuros,0.46,47,0.0017089025133359,0.0030290364834554,1.2008932340186644,-0.1755332163547555,55.68181818181818,False
spot_flujo_futuros,0.48,45,0.003706516866751,0.0033379505052854,1.5060097396850436,-0.1108524827033869,57.692307692307686,False
spot_flujo_futuros,0.5,40,0.003912885838578,0.0065496438640387,1.622328838928847,-0.0803155905282859,65.0,False
spot_funding,0.4,94,0.001210339732158,0.0014690964197022,1.1388304398164677,-0.2617984955466028,55.639097744360896,True
spot_funding,0.42,74,0.0019483287506693,0.0029526863155775,1.2166468740046112,-0.2121236506521101,58.92857142857143,True
spot_funding,0.44,58,0.001958024538264,0.002411612937139,1.2195424632344936,-0.1842690201537122,55.208333333333336,True
spot_funding,0.46,55,0.0025722708102723,0.0025858861466886,1.298781327671726,-0.159661961996012,53.93258426966292,True
spot_funding,0.48,46,0.0034614154922943,0.0034935237302993,1.3969469979927518,-0.1370465299439978,55.26315789473685,False
spot_funding,0.5,43,0.0048602057928578,0.0054098373321763,1.6334803118505077,-0.1158951328542885,61.97183098591549,False
spot_rendimiento_basis,0.4,127,0.0037588963180951,0.0041563222556898,1.4613222956528051,-0.1293606503620006,58.2089552238806,True
spot_rendimiento_basis,0.42,113,0.0042959318746448,0.0041563222556898,1.5669948626478911,-0.165565494691142,63.1578947368421,True
spot_rendimiento_basis,0.44,93,0.005153590060888,0.0044287965939245,1.6903617364861203,-0.1700576648063776,62.36559139784946,True
spot_rendimiento_basis,0.46,78,0.0055994730411788,0.0053500182124017,1.80882893608184,-0.152883745338704,61.53846153846154,True
spot_rendimiento_basis,0.48,71,0.0042279443944265,0.0048533189325877,1.6892153692559455,-0.1356565960973533,59.15492957746479,True
spot_rendimiento_basis,0.5,65,0.0041714394507973,0.0054429140872472,1.6648747664509511,-0.1335816138677094,58.46153846153847,True
