version,pliegue,rejilla_minutos,variante,semilla,margen_ev,columnas,coste,usa_2025_seleccion,usa_2026_seleccion,promocion_automatica,accuracy_multiclase,precision_tp,porcentaje_acierto_tp,recall_tp,f1_tp,pr_auc_tp,prevalencia_tp,matriz_confusion,roc_auc_tp,pr_auc_lift_tp,operaciones,porcentaje_positivas,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,drawdown,retorno_compuesto,concentracion_mensual,duracion_media
baja_v2_eventos_macro,validacion_2023,5,control_63_eventos,42,0.0,63,0.001,False,False,False,0.5309141072557623,0.24128545087365,24.128545087365,0.125691808077574,0.1652832912306026,0.2486615838147042,0.2094437951449428,"[[41261, 6420, 5781], [17489, 2748, 1626], [15429, 2221, 11411]]",0.5905553385967115,1.1872473168404023,1814,35.28114663726571,-0.0010421007149353,-0.0059999998882412,0.7083773948316224,-0.856982510547313,-0.8546989761008966,0.1332283576008231,177.43439911797134
baja_v2_eventos_macro,validacion_2023,5,control_63_eventos,42,0.00025,63,0.001,False,False,False,0.5309141072557623,0.24128545087365,24.128545087365,0.125691808077574,0.1652832912306026,0.2486615838147042,0.2094437951449428,"[[41261, 6420, 5781], [17489, 2748, 1626], [15429, 2221, 11411]]",0.5905553385967115,1.1872473168404023,1621,34.91671807526218,-0.0010461158314056,-0.0059999998882412,0.7075970548292233,-0.8263856953862277,-0.8227604668615893,0.1278327261583928,178.5219000616903
baja_v2_eventos_macro,validacion_2023,5,control_63_eventos,42,0.0005,63,0.001,False,False,False,0.5309141072557623,0.24128545087365,24.128545087365,0.125691808077574,0.1652832912306026,0.2486615838147042,0.2094437951449428,"[[41261, 6420, 5781], [17489, 2748, 1626], [15429, 2221, 11411]]",0.5905553385967115,1.1872473168404023,1402,35.30670470756063,-0.0010001032001607,-0.0059999998882412,0.7177611009040881,-0.7613414140067541,-0.7611426275097244,0.1141296660137454,187.23751783166904
baja_v2_eventos_macro,validacion_2023,5,control_63_eventos,42,0.001,63,0.001,False,False,False,0.5309141072557623,0.24128545087365,24.128545087365,0.125691808077574,0.1652832912306026,0.2486615838147042,0.2094437951449428,"[[41261, 6420, 5781], [17489, 2748, 1626], [15429, 2221, 11411]]",0.5905553385967115,1.1872473168404023,1079,35.032437442075995,-0.0010591075772528,-0.0059999998882412,0.7016525491926066,-0.694325061435506,-0.6881673422231604,0.1194716192801002,193.274328081557
baja_v2_eventos_macro,validacion_2024,5,control_63_eventos,42,0.0,63,0.001,False,False,False,0.6034456587735276,0.2779329608938548,27.79329608938548,0.0426519968564692,0.0739547847630845,0.3017140436643875,0.2655775652701882,"[[57674, 2481, 3664], [25943, 1194, 857], [8234, 621, 4740]]",0.5713379816640195,1.136067511415866,1746,34.13516609392898,-0.0009888211935474,-0.0059999998882412,0.7399555265654721,-0.8429684772301397,-0.8292887729840005,0.1463398695028346,131.44329896907217
baja_v2_eventos_macro,validacion_2024,5,control_63_eventos,42,0.00025,63,0.001,False,False,False,0.6034456587735276,0.2779329608938548,27.79329608938548,0.0426519968564692,0.0739547847630845,0.3017140436643875,0.2655775652701882,"[[57674, 2481, 3664], [25943, 1194, 857], [8234, 621, 4740]]",0.5713379816640195,1.136067511415866,1360,36.10294117647059,-0.0007468305122685,-0.0059999998882412,0.7979281497070612,-0.6631632135473973,-0.6494300892514928,0.1351646927581633,140.10441176470587
baja_v2_eventos_macro,validacion_2024,5,control_63_eventos,42,0.0005,63,0.001,False,False,False,0.6034456587735276,0.2779329608938548,27.79329608938548,0.0426519968564692,0.0739547847630845,0.3017140436643875,0.2655775652701882,"[[57674, 2481, 3664], [25943, 1194, 857], [8234, 621, 4740]]",0.5713379816640195,1.136067511415866,1049,35.17635843660629,-0.0009037729014252,-0.0059999998882412,0.7572644695088713,-0.6405947065769566,-0.6218700630413929,0.130571680975416,147.5633937082936
baja_v2_eventos_macro,validacion_2024,5,control_63_eventos,42,0.001,63,0.001,False,False,False,0.6034456587735276,0.2779329608938548,27.79329608938548,0.0426519968564692,0.0739547847630845,0.3017140436643875,0.2655775652701882,"[[57674, 2481, 3664], [25943, 1194, 857], [8234, 621, 4740]]",0.5713379816640195,1.136067511415866,637,34.53689167974882,-0.0009999645748929,-0.0059999998882412,0.7326928520295692,-0.5000255344545994,-0.478794396500634,0.1453038090921681,158.1883830455259
baja_v2_eventos_macro,validacion_2023,10,control_63_eventos,42,0.0,63,0.001,False,False,False,0.5344675633214546,0.2446148229280759,24.46148229280759,0.1226432363170419,0.1633747866374055,0.2530878097598795,0.2093344062535923,"[[20468, 3118, 3157], [8754, 1340, 832], [7417, 1020, 6088]]",0.5967401401386057,1.2090120028013136,1681,34.68173706127305,-0.0011988348650909,-0.0059999998882412,0.6671650484241866,-0.8724858342512878,-0.8712578313033735,0.1300119294873742,188.9869125520524
baja_v2_eventos_macro,validacion_2023,10,control_63_eventos,42,0.00025,63,0.001,False,False,False,0.5344675633214546,0.2446148229280759,24.46148229280759,0.1226432363170419,0.1633747866374055,0.2530878097598795,0.2093344062535923,"[[20468, 3118, 3157], [8754, 1340, 832], [7417, 1020, 6088]]",0.5967401401386057,1.2090120028013136,1492,35.120643431635386,-0.0010899412650554,-0.0059999998882412,0.6939676507830865,-0.8127303085956825,-0.8093468321602382,0.1191466552557112,192.5857908847185
