umbral,prevalencia,verdaderos_positivos,falsos_positivos,falsos_negativos,verdaderos_negativos,senales,cobertura,precision,recall,especificidad,balanced_accuracy,f1,precision_lift,retorno_bruto_medio_todas_senales,retorno_bruto_mediano_todas_senales,operaciones_no_solapadas,operaciones_no_solapadas_por_dia,precision_objetivo_no_solapada,tasa_retorno_positivo_no_solapada,retorno_bruto_medio_no_solapado,retorno_neto_medio_no_solapado,retorno_neto_mediano_no_solapado,factor_beneficio_no_solapado,maximo_drawdown_no_solapado,coste_operacion
0.05,0.2552714502657555,134476,391927,1,396,526403,0.9992463933181474,0.25546206993501175,0.9999925637841415,0.0010093723793914708,0.5005009680817665,0.4069604164144776,1.0007467332091302,0.000424862151873301,0.0003566122213694012,2195,6.0000113895432605,0.25375854214123006,0.5161731207289294,0.0004248204024753106,0.0004248204024753106,0.0002704447175037039,1.121290777761918,-0.30197324396248415,0.0
0.06,0.2552714502657555,134471,391194,6,1129,525665,0.9978454821564161,0.25581121056185974,0.9999553827048492,0.0028777308493256834,0.5014165567770874,0.4074002260119792,1.0021144561820068,0.000427905941953127,0.0003612318609038656,2195,6.0000113895432605,0.25148063781321184,0.5248291571753987,0.0004217099473948211,0.0004217099473948211,0.00037806120021066647,1.1206567590718528,-0.29761588826849605,0.0
0.07,0.2552714502657555,134430,389950,47,2373,524380,0.99540622627183,0.25635989168160495,0.9996504978546518,0.00604858751589889,0.5028495426852754,0.4080703399979055,1.0042638587852903,0.0004312632761605808,0.0003667612392170838,2193,5.9945444087783,0.2503419972640219,0.5129958960328317,0.0004201999339849796,0.0004201999339849796,0.0001930027980980853,1.1216657940292831,-0.2910885179236903,0.0
0.08,0.2552714502657555,134382,388666,95,3657,523048,0.9928777524677297,0.2569209709242746,0.999293559493445,0.009321400988471234,0.5043074802409582,0.40875099806091025,1.0064618297768977,0.000435912257718122,0.0003741515699224873,2189,5.983610447248381,0.2562814070351759,0.5166742804933759,0.0004272550970172535,0.0004272550970172535,0.0002741081212711549,1.1223772415022268,-0.2994652625530323,0.0
0.09,0.2552714502657555,134193,387088,284,5235,521281,0.9895235383447228,0.25742929437290063,0.9978881146961934,0.013343596985137247,0.5056158558406654,0.40927598290832906,1.0084531352993007,0.00043563619682217145,0.0003765090014378192,2187,5.978143466483422,0.25468678555098306,0.5189757658893461,0.00042845941491882164,0.00042845941491882164,0.00030694514222839864,1.1234377622371328,-0.2971329188709846,0.0
0.1,0.2552714502657555,133932,384871,545,7452,518803,0.9848196659073652,0.2581557932394377,0.9959472623571317,0.018994552957639497,0.5074709076573856,0.41002939015429835,1.011299120879673,0.0004339755053897183,0.0003728714160455837,2183,5.9672095049535026,0.26065048098946403,0.5148877691250573,0.00043025689189154977,0.00043025689189154977,0.00022973166363438047,1.1252670848164343,-0.2972547142234243,0.0
0.11,0.2552714502657555,133485,381912,992,10411,515397,0.9783542141230068,0.25899452266893286,0.9926232738683939,0.026536807681425766,0.5095800407749098,0.410802709448293,1.0145847583006302,0.00043135889921757216,0.00036620623893890425,2176,5.9480750722761435,0.2647058823529412,0.5367647058823529,0.00043830274318337,0.00043830274318337,0.000596228882953298,1.1241742362570608,-0.2921482446859681,0.0
0.12,0.2552714502657555,132889,377944,1588,14379,510833,0.9696905846621109,0.26014176844487336,0.9881912892167434,0.0366509228365403,0.5124211060266418,0.411860966047326,1.0190789771987723,0.00043052661336744974,0.00036400468458208657,2166,5.920740168451345,0.2631578947368421,0.5203139427516159,0.0004322110998688556,0.0004322110998688556,0.0003871708544056496,1.1211965109406306,-0.32497403834021366,0.0
0.13,0.2552714502657555,132212,372545,2265,19778,504757,0.9581567957479119,0.2619319791503634,0.9831569710805566,0.05041254272627401,0.5167847569034153,0.413657596435734,1.0260919459566429,0.0004367026153104959,0.00037568048546288146,2158,5.898872245391506,0.2562557924003707,0.5157553290083411,0.00042005663725624845,0.00042005663725624845,0.00029632479692320857,1.1213024904047506,-0.3366400493274425,0.0
0.14,0.2552714502657555,131267,365178,3210,27145,496445,0.9423785117691723,0.26441398342213135,0.9761297470942987,0.06919043747116534,0.522660092282732,0.4161116588104393,1.035814945803214,0.00044513025254523956,0.0003936287729717769,2148,5.871537341566707,0.2574487895716946,0.5274674115456238,0.0004274934394237003,0.0004274934394237003,0.00044997150044112644,1.1203120523826124,-0.33203118071847937,0.0
