umbral,coste,senales,cobertura,precision,recall,f1,precision_lift,operaciones_no_solapadas,operaciones_por_dia,tasa_retorno_positivo,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown
0.05,0.0005,518555,0.9847975539349741,0.28375389302966897,0.9932094932094933,0.44140194359407414,1.0085417954592872,1095,2.994536224810515,0.365296803652968,-0.0005219020918919784,-0.0054999998882412915,0.8427501292948087,-0.5054246823007483
0.06,0.0005,513738,0.9756494986326345,0.28487088749518236,0.9878567378567379,0.44221814632731316,1.0125119105182872,1094,2.9918014885321496,0.3711151736745887,-0.0003607261175791883,-0.0054999998882412915,0.8896425003193645,-0.4937639248223975
0.07,0.0005,507229,0.9632881343056822,0.2866831352308326,0.9815454815454815,0.44375679952149677,1.0189531528413966,1091,2.9835972796970522,0.37763519706691107,-0.0002860391725040667,-0.0054999998882412915,0.9118343031645604,-0.5056748963388011
0.08,0.0005,498498,0.9467069279854148,0.2892629458894519,0.9733307233307233,0.44598435620107446,1.0281225314384925,1084,2.964454125748492,0.36162361623616235,-0.0004469114275177863,-0.0054999998882412915,0.8662192498535746,-0.47847037420349836
0.09,0.0005,487195,0.9252411880887268,0.29213559252455384,0.9607082107082107,0.4480320079075397,1.0383327321309033,1078,2.9480457080782974,0.3673469387755102,-0.00039936738083938084,-0.0054999998882412915,0.8798264154251997,-0.4092853903716013
0.1,0.0005,473296,0.8988453357642054,0.2948957945978838,0.9421186921186921,0.44918930748386016,1.0481432729666393,1073,2.9343720266864683,0.38769804287045667,-0.000144354271877273,-0.0054999998882412915,0.9554003723158776,-0.28511215481565466
0.11,0.0005,455790,0.8655993618960802,0.2985541587134426,0.9185274185274185,0.45063566127648863,1.0611461363781511,1065,2.9124941364595425,0.3643192488262911,-0.00044277728666698696,-0.0054999998882412915,0.8664365890758775,-0.4416628030239025
0.12,0.0005,434761,0.8256627924642965,0.3022212203946536,0.8869103869103869,0.4508216548380622,1.0741799134042227,1053,2.879677301119153,0.3646723646723647,-0.00044981369929660285,-0.0054999998882412915,0.8641802290458105,-0.4353214025320551
0.13,0.0005,410211,0.7790394257064722,0.3060449378490582,0.8474160974160975,0.4496855965427261,1.08777048946864,1042,2.8495952020571296,0.3666026871401152,-0.0003680498457551237,-0.0054999998882412915,0.8889227510196404,-0.3893885596991209
0.14,0.0005,382393,0.7262097386812519,0.30974939394811096,0.7995112995112995,0.44651026028148627,1.1009371768590688,1021,2.7921657402114484,0.33986287952987265,-0.0006678634023144889,-0.0054999998882412915,0.8063421470146281,-0.535609225815263
0.15,0.0005,351556,0.667646611972045,0.3137110446130915,0.7444379944379944,0.44140931431407393,1.1150180066654256,1003,2.7429404872008645,0.3559322033898305,-0.00043308238260151357,-0.0054999998882412915,0.8721973666493578,-0.481052471905693
0.16,0.0005,319244,0.6062822850197508,0.31734973875781536,0.6838566838566839,0.4335204710392989,1.1279509574230855,974,2.6636331351282574,0.3665297741273101,-0.0004954987978380669,-0.0054999998882412915,0.854183032593456,-0.43631558817063054
0.17,0.0005,286559,0.5442095867517472,0.32104034422230676,0.620980370980371,0.42325980488006865,1.1410684157308761,932,2.5487742114368954,0.37124463519313305,-0.0003097712957343687,-0.0054999998882412915,0.9075462679922187,-0.34077802061997864
0.18,0.0005,254389,0.48311493467031297,0.3252774294486004,0.5585428085428086,0.41112742431130556,1.1561282180687895,896,2.4503237054157276,0.3404017857142857,-0.0007605812045410569,-0.0054999998882412915,0.7842800803647213,-0.5209397073915254
0.19,0.0005,223595,0.42463347006988755,0.3297658713298598,0.4977049977049977,0.3966934145363867,1.1720814132317072,859,2.3491384631161942,0.359720605355064,-0.0004967234846685905,-0.0054999998882412915,0.8557837856595979,-0.42990967872723396
0.2,0.0005,194537,0.3694488757216651,0.33326308105913016,0.4376164376164376,0.37837664327297665,1.1845114882583334,807,2.2069321766411742,0.3469640644361834,-0.000548633765697775,-0.0054999998882412915,0.843567308715264,-0.4430961643291381
