variable,coeficiente,coeficiente_absoluto
beta_propio_otro_240m,-0.47909713,0.47909713
ratio_volatilidad_240m,0.41046497,0.41046497
correlacion_btc_eth_240m,0.3209089,0.3209089
cuerpos_negativos_acumulados_60m,0.29596785,0.29596785
posicion_rango_1440m,0.24269256,0.24269256
distancia_minimo_240m,-0.19989921,0.19989921
ratio_semivolatilidad_60m,-0.18813944,0.18813944
divergencia_rendimiento_240m,0.17935361,0.17935361
otro_volatilidad_60m,-0.1781843,0.1781843
residual_propio_otro_240m,-0.16669178,0.16669178
dia_semana_seno,0.15699889,0.15699889
semivolatilidad_negativa_60m,-0.15389079,0.15389079
rendimiento_240m,0.15316048,0.15316048
aceleracion_60m_240m,0.14608999,0.14608999
semivolatilidad_positiva_240m,0.14364325,0.14364325
distancia_maximo_1440m,-0.13543831,0.13543831
semivolatilidad_negativa_240m,0.11897084,0.11897084
volatilidad_15m,-0.118425585,0.118425585
expansion_volatilidad_60m_240m,0.11771814,0.11771814
aceleracion_15m_60m,0.11447309,0.11447309
volatilidad_240m,0.114100665,0.114100665
porcentaje_velas_positivas_60m,0.11289777,0.11289777
correlacion_btc_eth_60m,0.11063008,0.11063008
minuto_dia_coseno,-0.104396276,0.104396276
cuerpos_positivos_acumulados_15m,-0.10091781,0.10091781
desviacion_media_cierre_240m,0.087249026,0.087249026
desviacion_media_cierre_30m,-0.08086313,0.08086313
beta_propio_otro_60m,-0.07925819,0.07925819
divergencia_rendimiento_60m,-0.077900805,0.077900805
distancia_maximo_60m,0.070886426,0.070886426
residual_propio_otro_60m,0.06980414,0.06980414
rendimiento_60m,-0.06488494,0.06488494
expansion_volatilidad_15m_60m,0.0648664,0.0648664
cuerpos_negativos_acumulados_15m,0.06405304,0.06405304
distancia_minimo_60m,-0.06301638,0.06301638
otro_volatilidad_240m,-0.058616392,0.058616392
pendiente_log_15m,0.057552952,0.057552952
dia_semana_coseno,0.05737216,0.05737216
rango_relativo,-0.052148506,0.052148506
operaciones_relativas_60m,0.04331807,0.04331807
desviacion_media_cierre_15m,-0.04194325,0.04194325
volumen_relativo_60m,-0.04077197,0.04077197
ratio_volatilidad_60m,0.03680131,0.03680131
operaciones_relativas_5m,-0.036385354,0.036385354
volumen_relativo_5m,0.03628613,0.03628613
volatilidad_60m,0.033708915,0.033708915
r2_tendencia_60m,0.029891308,0.029891308
volumen_relativo_30m,-0.029167144,0.029167144
minuto_dia_seno,-0.028768402,0.028768402
ruptura_maximo_60m,-0.028440446,0.028440446
divergencia_rendimiento_5m,-0.028087957,0.028087957
residual_propio_otro_1440m,0.02804873,0.02804873
ruptura_minimo_240m,-0.027776517,0.027776517
operaciones_relativas_15m,0.027696162,0.027696162
correlacion_btc_eth_1440m,0.02738264,0.02738264
otro_rendimiento_240m,0.025130369,0.025130369
pendiente_log_240m,0.0249145,0.0249145
aceleracion_5m_15m,0.024530534,0.024530534
rendimiento_15m,-0.023380985,0.023380985
volumen_relativo_240m,-0.02266472,0.02266472
volatilidad_5m,-0.02140549,0.02140549
porcentaje_velas_positivas_15m,0.02110396,0.02110396
zscore_divergencia_1440m,-0.020930458,0.020930458
cuerpos_positivos_acumulados_60m,0.019950882,0.019950882
divergencia_rendimiento_1m,0.019211978,0.019211978
ruptura_maximo_240m,-0.018889237,0.018889237
distancia_maximo_240m,0.018645326,0.018645326
rendimiento_5m,-0.018644253,0.018644253
rendimiento_1m,0.018543024,0.018543024
divergencia_rendimiento_15m,-0.018268881,0.018268881
posicion_rango_60m,-0.018156065,0.018156065
operaciones_relativas_30m,-0.01753172,0.01753172
ruptura_minimo_60m,-0.016206602,0.016206602
rendimiento_30m,-0.01593235,0.01593235
r2_tendencia_240m,0.015713362,0.015713362
velas_positivas_consecutivas,-0.0152851185,0.0152851185
pendiente_log_60m,-0.014416554,0.014416554
beta_propio_otro_1440m,0.012927228,0.012927228
divergencia_rendimiento_30m,-0.011643648,0.011643648
ratio_semivolatilidad_240m,0.010745206,0.010745206
otro_rendimiento_60m,-0.010290635,0.010290635
distancia_minimo_1440m,0.009961857,0.009961857
cuerpo_relativo,0.009891586,0.009891586
semivolatilidad_positiva_60m,0.009807033,0.009807033
otro_rendimiento_15m,-0.009078095,0.009078095
posicion_rango_240m,-0.008429216,0.008429216
operaciones_relativas_240m,-0.0077159978,0.0077159978
proporcion_compradora_base,0.0074244747,0.0074244747
volatilidad_30m,0.0068947463,0.0068947463
otro_rendimiento_30m,-0.0065278285,0.0065278285
velas_negativas_consecutivas,-0.0063416846,0.0063416846
mecha_inferior_relativa,0.005530654,0.005530654
mecha_superior_relativa,0.0053770673,0.0053770673
otro_rendimiento_1m,0.0045469464,0.0045469464
desviacion_media_cierre_60m,-0.003947539,0.003947539
proporcion_compradora_cotizacion,0.0031117823,0.0031117823
volumen_relativo_15m,-0.00231537,0.00231537
zscore_divergencia_240m,-0.0017963452,0.0017963452
r2_tendencia_15m,0.0014365542,0.0014365542
otro_rendimiento_5m,-0.00031070368,0.00031070368
desviacion_media_cierre_5m,5.3159507e-05,5.3159507e-05
