variable,coeficiente,coeficiente_absoluto
ratio_volatilidad_240m,0.44088307,0.44088307
beta_propio_otro_240m,-0.34592876,0.34592876
cuerpos_negativos_acumulados_60m,0.30671984,0.30671984
otro_volatilidad_240m,0.27988937,0.27988937
volatilidad_60m,-0.27284715,0.27284715
posicion_rango_1440m,0.25630465,0.25630465
distancia_minimo_240m,-0.24806516,0.24806516
correlacion_btc_eth_240m,0.2439366,0.2439366
aceleracion_60m_240m,0.23047155,0.23047155
divergencia_rendimiento_240m,0.22461668,0.22461668
ratio_volatilidad_60m,0.2122166,0.2122166
rendimiento_240m,0.19367458,0.19367458
cuerpos_negativos_acumulados_15m,0.19167727,0.19167727
cuerpos_positivos_acumulados_60m,-0.18111788,0.18111788
residual_propio_otro_240m,-0.17965972,0.17965972
volatilidad_15m,-0.17636625,0.17636625
distancia_maximo_1440m,-0.17308317,0.17308317
desviacion_media_cierre_30m,-0.13964535,0.13964535
posicion_rango_240m,-0.13636717,0.13636717
dia_semana_seno,0.13591647,0.13591647
aceleracion_15m_60m,0.12841882,0.12841882
beta_propio_otro_60m,-0.12474341,0.12474341
desviacion_media_cierre_240m,0.12473002,0.12473002
semivolatilidad_negativa_60m,0.11825512,0.11825512
otro_volatilidad_60m,0.114290826,0.114290826
volatilidad_240m,0.101283655,0.101283655
residual_propio_otro_60m,0.10070407,0.10070407
operaciones_relativas_240m,0.09667845,0.09667845
ratio_semivolatilidad_240m,0.095806606,0.095806606
distancia_maximo_240m,0.09423003,0.09423003
correlacion_btc_eth_60m,0.08965055,0.08965055
divergencia_rendimiento_60m,-0.085114226,0.085114226
volumen_relativo_60m,-0.08484261,0.08484261
semivolatilidad_positiva_240m,-0.07506472,0.07506472
dia_semana_coseno,0.07241664,0.07241664
distancia_minimo_60m,-0.07139486,0.07139486
volumen_relativo_15m,0.06725787,0.06725787
expansion_volatilidad_15m_60m,0.06720279,0.06720279
rango_relativo,-0.0600877,0.0600877
expansion_volatilidad_60m_240m,0.05640301,0.05640301
minuto_dia_seno,-0.055843722,0.055843722
minuto_dia_coseno,-0.05556469,0.05556469
cuerpos_positivos_acumulados_15m,-0.05517767,0.05517767
porcentaje_velas_positivas_15m,0.048147198,0.048147198
desviacion_media_cierre_5m,0.045579102,0.045579102
volumen_relativo_240m,-0.045142252,0.045142252
desviacion_media_cierre_15m,-0.043048847,0.043048847
semivolatilidad_negativa_240m,-0.042427517,0.042427517
residual_propio_otro_1440m,0.041720815,0.041720815
rendimiento_1m,0.039080072,0.039080072
posicion_rango_60m,0.032735594,0.032735594
rendimiento_5m,-0.03161309,0.03161309
otro_rendimiento_240m,0.029914355,0.029914355
divergencia_rendimiento_15m,-0.029872363,0.029872363
rendimiento_60m,-0.028838899,0.028838899
distancia_maximo_60m,0.02841205,0.02841205
divergencia_rendimiento_30m,-0.02828795,0.02828795
volumen_relativo_5m,0.027967427,0.027967427
velas_positivas_consecutivas,-0.02768174,0.02768174
operaciones_relativas_15m,-0.026684497,0.026684497
operaciones_relativas_30m,-0.026380679,0.026380679
porcentaje_velas_positivas_60m,0.02623076,0.02623076
ruptura_minimo_240m,0.025188895,0.025188895
semivolatilidad_positiva_60m,-0.023750309,0.023750309
volatilidad_5m,0.022778094,0.022778094
r2_tendencia_60m,0.022421239,0.022421239
otro_rendimiento_60m,0.022141479,0.022141479
correlacion_btc_eth_1440m,0.021715662,0.021715662
otro_rendimiento_1m,0.021194883,0.021194883
ruptura_minimo_60m,0.021194698,0.021194698
divergencia_rendimiento_5m,-0.020522911,0.020522911
otro_rendimiento_30m,0.019649856,0.019649856
pendiente_log_240m,-0.019472567,0.019472567
divergencia_rendimiento_1m,0.017917916,0.017917916
volatilidad_30m,0.017210605,0.017210605
ratio_semivolatilidad_60m,-0.017096976,0.017096976
pendiente_log_15m,0.016851174,0.016851174
zscore_divergencia_240m,0.01683097,0.01683097
distancia_minimo_1440m,-0.016603293,0.016603293
cuerpo_relativo,-0.016256958,0.016256958
operaciones_relativas_60m,-0.016170295,0.016170295
volumen_relativo_30m,-0.016158503,0.016158503
zscore_divergencia_1440m,-0.015007622,0.015007622
otro_rendimiento_5m,-0.014105905,0.014105905
ruptura_maximo_240m,0.012885379,0.012885379
r2_tendencia_240m,0.011763601,0.011763601
rendimiento_15m,-0.011097544,0.011097544
desviacion_media_cierre_60m,-0.01090811,0.01090811
pendiente_log_60m,0.01044094,0.01044094
ruptura_maximo_60m,-0.010391257,0.010391257
mecha_inferior_relativa,0.009483215,0.009483215
beta_propio_otro_1440m,0.009242421,0.009242421
proporcion_compradora_cotizacion,-0.008178164,0.008178164
operaciones_relativas_5m,-0.007804316,0.007804316
otro_rendimiento_15m,0.0067560105,0.0067560105
rendimiento_30m,0.006566325,0.006566325
proporcion_compradora_base,-0.006176931,0.006176931
aceleracion_5m_15m,-0.0057618087,0.0057618087
velas_negativas_consecutivas,-0.0054259524,0.0054259524
mecha_superior_relativa,-0.0025993,0.0025993
r2_tendencia_15m,-0.0009040961,0.0009040961
