variable,coeficiente,coeficiente_absoluto
semivolatilidad_negativa_60m,-0.339011,0.339011
distancia_minimo_240m,-0.31643885,0.31643885
ratio_volatilidad_240m,0.30240318,0.30240318
semivolatilidad_negativa_240m,0.29848158,0.29848158
ratio_semivolatilidad_60m,-0.29545936,0.29545936
correlacion_btc_eth_240m,0.28623077,0.28623077
beta_propio_otro_240m,-0.28330374,0.28330374
volatilidad_15m,-0.24836065,0.24836065
cuerpos_positivos_acumulados_60m,0.22935489,0.22935489
cuerpos_negativos_acumulados_15m,0.20422097,0.20422097
desviacion_media_cierre_30m,-0.18801555,0.18801555
correlacion_btc_eth_60m,0.17851725,0.17851725
aceleracion_15m_60m,0.17800424,0.17800424
posicion_rango_1440m,0.1693976,0.1693976
porcentaje_velas_positivas_60m,0.15743074,0.15743074
desviacion_media_cierre_240m,0.13932884,0.13932884
divergencia_rendimiento_60m,-0.1350544,0.1350544
rendimiento_60m,-0.13273214,0.13273214
operaciones_relativas_30m,-0.13185237,0.13185237
distancia_maximo_240m,-0.13123594,0.13123594
distancia_maximo_1440m,-0.1236462,0.1236462
posicion_rango_240m,0.11860157,0.11860157
semivolatilidad_positiva_240m,0.11786622,0.11786622
semivolatilidad_positiva_60m,0.11708911,0.11708911
operaciones_relativas_60m,0.11366289,0.11366289
volatilidad_60m,0.11235397,0.11235397
otro_volatilidad_60m,-0.11190192,0.11190192
volatilidad_240m,-0.11014157,0.11014157
dia_semana_seno,0.1097619,0.1097619
beta_propio_otro_60m,-0.10873957,0.10873957
rendimiento_240m,0.108142555,0.108142555
cuerpos_negativos_acumulados_60m,0.106661424,0.106661424
distancia_minimo_60m,-0.10208894,0.10208894
desviacion_media_cierre_60m,0.10039032,0.10039032
residual_propio_otro_60m,0.095706955,0.095706955
minuto_dia_seno,-0.09510029,0.09510029
expansion_volatilidad_60m_240m,0.08942762,0.08942762
expansion_volatilidad_15m_60m,0.08376061,0.08376061
distancia_minimo_1440m,0.081403695,0.081403695
desviacion_media_cierre_15m,-0.07719063,0.07719063
pendiente_log_15m,0.07075627,0.07075627
operaciones_relativas_240m,0.06939815,0.06939815
rango_relativo,-0.0693973,0.0693973
divergencia_rendimiento_240m,0.06497442,0.06497442
volumen_relativo_240m,-0.062971026,0.062971026
ratio_volatilidad_60m,0.05802145,0.05802145
aceleracion_5m_15m,0.056440625,0.056440625
residual_propio_otro_240m,-0.0561202,0.0561202
distancia_maximo_60m,0.05394094,0.05394094
otro_rendimiento_240m,0.050439358,0.050439358
volumen_relativo_60m,-0.046425495,0.046425495
minuto_dia_coseno,-0.04426387,0.04426387
aceleracion_60m_240m,0.043308362,0.043308362
r2_tendencia_240m,0.04195005,0.04195005
operaciones_relativas_5m,-0.038049113,0.038049113
mecha_superior_relativa,-0.03561821,0.03561821
dia_semana_coseno,0.03406832,0.03406832
otro_rendimiento_60m,-0.033712,0.033712
ruptura_maximo_60m,-0.032163575,0.032163575
rendimiento_5m,-0.031367216,0.031367216
volatilidad_30m,0.03124056,0.03124056
desviacion_media_cierre_5m,0.030635366,0.030635366
beta_propio_otro_1440m,-0.029233688,0.029233688
velas_positivas_consecutivas,-0.026973806,0.026973806
ratio_semivolatilidad_240m,0.024764288,0.024764288
cuerpos_positivos_acumulados_15m,-0.024630997,0.024630997
rendimiento_1m,0.024486125,0.024486125
pendiente_log_240m,0.023978695,0.023978695
divergencia_rendimiento_15m,0.020475773,0.020475773
zscore_divergencia_1440m,-0.020427844,0.020427844
volumen_relativo_15m,0.020151727,0.020151727
pendiente_log_60m,-0.019873027,0.019873027
ruptura_minimo_60m,-0.019848164,0.019848164
otro_rendimiento_5m,-0.019392269,0.019392269
volumen_relativo_5m,0.018777717,0.018777717
posicion_rango_60m,-0.018575218,0.018575218
otro_rendimiento_15m,-0.017484372,0.017484372
otro_rendimiento_1m,0.016981496,0.016981496
otro_volatilidad_240m,0.01674618,0.01674618
rendimiento_30m,0.01565848,0.01565848
proporcion_compradora_base,0.015146792,0.015146792
porcentaje_velas_positivas_15m,0.015013278,0.015013278
volatilidad_5m,-0.013576582,0.013576582
correlacion_btc_eth_1440m,-0.011871906,0.011871906
mecha_inferior_relativa,-0.011730957,0.011730957
operaciones_relativas_15m,0.011308618,0.011308618
r2_tendencia_60m,0.010863842,0.010863842
divergencia_rendimiento_5m,-0.010724005,0.010724005
otro_rendimiento_30m,0.010543418,0.010543418
volumen_relativo_30m,-0.009269717,0.009269717
rendimiento_15m,-0.008774723,0.008774723
proporcion_compradora_cotizacion,0.006826426,0.006826426
residual_propio_otro_1440m,0.0061965277,0.0061965277
velas_negativas_consecutivas,0.00580271,0.00580271
zscore_divergencia_240m,-0.005547862,0.005547862
divergencia_rendimiento_1m,0.0048578535,0.0048578535
r2_tendencia_15m,-0.003845996,0.003845996
divergencia_rendimiento_30m,0.0034421708,0.0034421708
cuerpo_relativo,-0.001532153,0.001532153
ruptura_maximo_240m,0.0007456673,0.0007456673
ruptura_minimo_240m,-0.00037113114,0.00037113114
