estrategia_id,umbral_baja,minutos_minimos,condicion_salida,cumple_filtros,retencion_minima_retorno,retencion_minima_factor_beneficio,mejora_minima_drawdown,mejora_media_drawdown,retorno_neto_medio_minimo,factor_beneficio_minimo,drawdown_peor
baja_032_min0_siempre,0.32,0,siempre,False,0.15886107240532,0.6502608002975855,-0.0354531677461489,-0.019091735121249453,0.0008246616899316,1.173981260106443,-0.161257495223962
baja_032_min0_solo_beneficio_neto,0.32,0,solo_beneficio_neto,False,0.44614155823906804,0.8085600000776526,-0.005088719834357103,-0.0005497804756566596,0.0023159597615421,1.459774735503694,-0.1218151685947693
baja_032_min30_siempre,0.32,30,siempre,False,0.24572221618538925,0.6889933609289883,-0.04064468077856362,-0.03786863488891681,0.0012755654672667,1.2439090495662937,-0.1664490082563767
baja_032_min30_solo_beneficio_neto,0.32,30,solo_beneficio_neto,False,0.5630141149874935,0.860570853355942,0.003989158883043992,0.005114797893356192,0.002922655402554,1.535975799969115,-0.1218151685947691
baja_032_min60_siempre,0.32,60,siempre,False,0.737428077372415,0.9616782068005552,0.0070068132419198875,0.013895046976121192,0.0025786037386443,1.3788895209905436,-0.1187975142358932
baja_032_min60_solo_beneficio_neto,0.32,60,solo_beneficio_neto,False,0.8630559216984569,1.0063416902091473,0.0039891588830437835,0.005114797893355838,0.0030178932625952,1.4467553214664723,-0.1218151685947693
baja_047_min0_siempre,0.47,0,siempre,False,-0.34676042874963886,0.5363005461324062,-0.07107677525844971,-0.04014516190511266,-0.0012125355209877,0.76896741335519,-0.1968811027362628
baja_047_min0_solo_beneficio_neto,0.47,0,solo_beneficio_neto,False,0.20330823921166813,0.786173986901118,-0.0668878263367488,-0.03948926895126365,0.0007109186669382,1.12871883919052,-0.1926921538145619
baja_047_min30_siempre,0.47,30,siempre,False,-0.2155670583629026,0.6125781297920796,-0.0907021919425971,-0.03864606899567695,-0.0007537847278663,0.8783370133430334,-0.2165065194204102
baja_047_min30_solo_beneficio_neto,0.47,30,solo_beneficio_neto,False,0.2541403587391805,0.7331834381729374,-0.07761599825037502,-0.06642359384204297,0.0008886660262792,1.1481064508216663,-0.2034203257281881
baja_047_min60_siempre,0.47,60,siempre,False,-0.14864615685908758,0.6401885999420432,-0.08937957408510802,-0.03725129073140971,-0.0005197788741347,0.917925919164316,-0.2151839015629211
baja_047_min60_solo_beneficio_neto,0.47,60,solo_beneficio_neto,False,0.24143255629292107,0.7910967857024075,-0.08802635669215711,-0.06675468245384991,0.0008442299817301,1.1343036165116949,-0.2138306841699702
