variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,0.025633777,-0.10010068,0.009361216,0.10010068
cuerpo_relativo,0.049739487,-0.02502248,-0.03395042,0.049739487
mecha_superior_relativa,-0.10457999,-0.07447087,-0.042135112,0.10457999
mecha_inferior_relativa,-0.018916622,0.072046846,-0.0030121617,0.072046846
rendimiento_1m,-0.10890746,-0.01354243,0.13323982,0.13323982
rendimiento_5m,-0.111551106,-0.046958387,0.036354523,0.111551106
volatilidad_5m,0.100126706,-0.076979965,0.12359396,0.12359396
desviacion_media_cierre_5m,0.0961623,0.05773211,-0.06857379,0.0961623
volumen_relativo_5m,-0.030243432,0.10716457,0.10737658,0.10737658
operaciones_relativas_5m,0.00089538086,0.012792831,0.0027024033,0.012792831
rendimiento_15m,0.034172688,-0.06396804,0.028391683,0.06396804
volatilidad_15m,-0.07701948,-0.062704645,-0.04363867,0.07701948
desviacion_media_cierre_15m,0.089161105,-0.046442173,-0.08319706,0.089161105
volumen_relativo_15m,0.015728692,0.068508096,-0.079621755,0.079621755
operaciones_relativas_15m,-0.14233455,-0.025316171,-0.101612054,0.14233455
rendimiento_30m,-0.086875424,0.038004465,0.014234163,0.086875424
volatilidad_30m,0.026557492,-0.08433502,0.060051017,0.08433502
desviacion_media_cierre_30m,0.095008805,0.106384605,-0.10391045,0.106384605
volumen_relativo_30m,0.019674703,-0.058696516,0.08712433,0.08712433
operaciones_relativas_30m,0.00069076644,0.015429325,0.035066232,0.035066232
rendimiento_60m,-0.005151458,0.04062113,0.06240554,0.06240554
volatilidad_60m,-0.24193181,0.043573424,0.08495847,0.24193181
desviacion_media_cierre_60m,0.03561403,-0.18878706,0.07867158,0.18878706
volumen_relativo_60m,-0.079029165,-0.008683417,0.0382923,0.079029165
operaciones_relativas_60m,-0.01115281,-0.018022655,0.05655227,0.05655227
rendimiento_240m,-0.033215012,0.0031903633,0.0006991987,0.033215012
volatilidad_240m,0.3945264,-0.1430888,-0.47005957,0.47005957
desviacion_media_cierre_240m,0.0058833323,0.13434608,-0.09737621,0.13434608
volumen_relativo_240m,0.018248765,-0.08045206,-0.17488563,0.17488563
operaciones_relativas_240m,0.06683833,-0.11936936,0.026166482,0.11936936
minuto_dia_seno,-0.017630339,0.06727627,-0.003140853,0.06727627
minuto_dia_coseno,-0.15814199,0.03779973,-0.103639446,0.15814199
dia_semana_seno,0.07363859,-0.09625253,0.031820837,0.09625253
dia_semana_coseno,0.027130913,0.03960511,0.08816735,0.08816735
otro_rendimiento_1m,-0.08964971,0.024333535,0.117744535,0.117744535
divergencia_rendimiento_1m,-0.017109612,-0.06735085,0.031393617,0.06735085
divergencia_rendimiento_60m,-0.0667301,0.065402016,-0.023058206,0.0667301
otro_rendimiento_240m,-0.025570149,-0.0252998,0.056926567,0.056926567
divergencia_rendimiento_240m,-0.11196378,0.0625498,0.07258159,0.11196378
otro_volatilidad_60m,0.1771839,-0.24230301,0.055511422,0.24230301
ratio_volatilidad_60m,0.30456427,-0.10527288,-0.038148794,0.30456427
otro_volatilidad_240m,-0.13817222,-0.28990498,0.5370328,0.5370328
ratio_volatilidad_240m,-0.07973791,0.057725776,0.17337249,0.17337249
correlacion_btc_eth_60m,0.054804116,-0.039296303,0.088265784,0.088265784
beta_propio_otro_60m,-0.32777712,0.061855324,-0.034528762,0.32777712
residual_propio_otro_60m,0.03345205,0.03915779,-0.03488339,0.03915779
correlacion_btc_eth_240m,0.084091574,0.055925343,0.018768832,0.084091574
beta_propio_otro_240m,0.024562111,-0.16864684,0.10416903,0.16864684
residual_propio_otro_240m,0.086259216,-0.0040928167,-0.044045094,0.086259216
correlacion_btc_eth_1440m,-0.0008522635,-0.018134555,0.110484555,0.110484555
beta_propio_otro_1440m,-0.027195288,0.0064687496,-0.02414402,0.027195288
residual_propio_otro_1440m,-0.046875183,0.0034867518,0.14095458,0.14095458
