mes,muestras,accuracy,balanced_accuracy,f1_macro,precision_baja,recall_baja,f1_baja,soporte_baja,precision_sube,recall_sube,f1_sube,soporte_sube,tasa_predicha_baja,tasa_predicha_sube
2023-01,44640,0.6387992831541218,0.359912568724247,0.32918910760444337,0.2402135231316726,0.048317823908375086,0.08045292014302742,5588,0.4265927977839335,0.07446808510638298,0.12680115273775217,10340,0.02517921146953405,0.040434587813620075
2023-02,40320,0.5937996031746032,0.3532675694883538,0.30776547593586984,0.24573643410852714,0.03772911211616282,0.06541477507222451,8402,0.3635703918722787,0.06447876447876448,0.1095321381722781,7770,0.031994047619047616,0.0341765873015873
2023-03,42640,0.5283067542213884,0.38347131801836926,0.3597160988785564,0.32379032258064516,0.0916352847198448,0.1428444365382905,8763,0.38585267775543775,0.18444735692442116,0.24958619058879167,11445,0.058161350844277676,0.12830675422138837
2023-04,43200,0.6461342592592593,0.3611820372519509,0.33053057318365087,0.2844290657439446,0.056518151815181515,0.09429849718940002,7272,0.40683482506102525,0.06318716036901302,0.10938525486764385,7913,0.033449074074074076,0.028449074074074075
2023-05,44640,0.6545474910394266,0.3500532236033229,0.3136672681242628,0.20114942528735633,0.021896896896896896,0.03949447077409163,7992,0.3258670520231214,0.0646594982078853,0.10790764445507836,6975,0.019489247311827957,0.03100358422939068
2023-06,43200,0.6493287037037037,0.3626938217723716,0.3342716034255106,0.2037037037037037,0.027589259368545293,0.0485966735966736,6778,0.38054683998207084,0.10370098937339685,0.16298713764638126,8187,0.02125,0.05164351851851852
2023-07,44640,0.7924507168458781,0.3495232209471579,0.33335170390351226,0.27391304347826084,0.04043645699614891,0.07046979865771812,4674,0.18853974121996303,0.023540272328640664,0.04185473943373,4333,0.015456989247311828,0.012119175627240143
2023-08,44640,0.7893145161290323,0.3689757150104786,0.3646165418014798,0.4605263157894737,0.06102877070619006,0.1077752117013087,5735,0.26057142857142856,0.061855670103092786,0.09997807498355624,3686,0.017025089605734768,0.01960125448028674
2023-09,43200,0.7780555555555555,0.3437527199451656,0.3251327459457361,0.2422062350119904,0.02383199622463426,0.04339419978517723,4238,0.15934627170582227,0.0329600676103951,0.0546218487394958,4733,0.009652777777777777,0.022662037037037036
2023-10,44640,0.6613575268817204,0.35617130288874943,0.32653754408056235,0.25367965367965367,0.048752079866888516,0.08178646196789952,6010,0.27548209366391185,0.05686341407938133,0.0942684766214178,8793,0.025873655913978496,0.04065860215053763
2023-11,43200,0.6274074074074074,0.35671193460685374,0.3131012199405451,0.2945478723404255,0.06163049526989427,0.101932811780948,7188,0.5008210180623974,0.03401739906312737,0.06370757180156658,8966,0.03481481481481481,0.014097222222222223
2023-12,44400,0.5575900900900901,0.3456376949570696,0.2823801226822894,0.2158322056833559,0.03646547782350251,0.06238998630940739,8748,0.4899244332493703,0.03632797908106089,0.06764041036341506,10708,0.03328828828828829,0.017882882882882884
