modelo,muestras,accuracy,balanced_accuracy,f1_macro
SGDClassifier V2A,525360,0.5733839652809503,0.39650067715500703,0.38464287849600537
DummyClassifier (most_frequent),525360,0.5862589462463834,0.3333333333333333,0.24639060250688882
