simbolo,accuracy_control,accuracy_v2a,delta_accuracy,balanced_accuracy_control,balanced_accuracy_v2a,delta_balanced_accuracy,f1_macro_control,f1_macro_v2a,delta_f1_macro,veredicto
BTCUSDT,0.5857469164001827,0.5733839652809503,-0.012362951119232468,0.3926868688433783,0.396500677155007,0.003813808311628697,0.3667864051361568,0.3846428784960053,0.017856473359848524,VARIABLES_CRUZADAS_APORTAN
ETHUSDT,0.4335408101111618,0.4335141617176793,-2.664839348248682e-05,0.399824998813812,0.4059012951221588,0.006076296308346774,0.361880135229804,0.3872873213353794,0.025407186105575408,VARIABLES_CRUZADAS_APORTAN
