simbolo,clase,metrica,control,v2a,delta
BTCUSDT,BAJA,precision,0.3029966703662597,0.25530323270104194,-0.047693437665217775
BTCUSDT,BAJA,recall,0.039126695967896044,0.09130517867380088,0.05217848270590483
BTCUSDT,BAJA,f1_score,0.06930399830759466,0.13450629882468856,0.0652023005170939
BTCUSDT,NEUTRAL,precision,0.6358721906558396,0.6462977697290384,0.010425579073198854
BTCUSDT,NEUTRAL,recall,0.8974762741195531,0.8597648678396218,-0.0377114062799313
BTCUSDT,NEUTRAL,f1_score,0.7443581385391548,0.737903062880805,-0.006455075658349796
BTCUSDT,SUBE,precision,0.352797044143385,0.34361413738427704,-0.009182906759107934
BTCUSDT,SUBE,recall,0.24145763644268564,0.23843198495159845,-0.003025651491087189
BTCUSDT,SUBE,f1_score,0.28669707856172105,0.2815192737825224,-0.005177804779198658
ETHUSDT,BAJA,precision,0.3553842801895528,0.35504410143329657,-0.0003401787562562486
ETHUSDT,BAJA,recall,0.08464252818390566,0.16710558748362156,0.0824630592997159
ETHUSDT,BAJA,f1_score,0.13672177867186355,0.2272522780801496,0.09053049940828606
ETHUSDT,NEUTRAL,precision,0.46085304154833784,0.47279339951792015,0.011940357969582316
ETHUSDT,NEUTRAL,recall,0.7507118907624277,0.6986539676369115,-0.05205792312551627
ETHUSDT,NEUTRAL,f1_score,0.5711090655694677,0.5639501930812393,-0.0071588724882284405
ETHUSDT,SUBE,precision,0.3925680167907286,0.39147685624171996,-0.0010911605490086518
ETHUSDT,SUBE,recall,0.3641205774951029,0.3519443302459433,-0.01217624724915961
ETHUSDT,SUBE,f1_score,0.37780956144808076,0.37065949284474936,-0.007150068603331394
