variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,-0.05544944,-0.22460231,0.0983446,0.22460231
cuerpo_relativo,-0.033039246,0.08601769,-0.17506735,0.17506735
mecha_superior_relativa,-0.025809592,-0.03727021,0.031310547,0.03727021
mecha_inferior_relativa,0.0011730854,-0.015832562,0.042478107,0.042478107
proporcion_compradora_base,0.009565479,0.00062644173,0.009429178,0.009565479
proporcion_compradora_cotizacion,-0.00077433715,-0.0029642284,0.009894929,0.009894929
rendimiento_1m,0.019001406,-0.03637778,0.05089369,0.05089369
rendimiento_5m,-0.005430129,0.0050633885,-0.004699881,0.005430129
volatilidad_5m,0.016786246,-0.022900712,0.03090146,0.03090146
desviacion_media_cierre_5m,0.024504276,-0.030575683,0.0107282465,0.030575683
volumen_relativo_5m,0.015787894,-0.03259265,0.009946467,0.03259265
operaciones_relativas_5m,0.0097250845,0.070629835,-0.036004998,0.070629835
rendimiento_15m,-0.015328434,-0.0040058773,0.001147866,0.015328434
volatilidad_15m,-0.023737488,-0.13785805,0.04950762,0.13785805
desviacion_media_cierre_15m,0.023428379,0.003891632,-0.00025094673,0.023428379
volumen_relativo_15m,-0.00412932,0.035599384,0.03231526,0.035599384
operaciones_relativas_15m,0.0186048,-0.024998127,-0.016351134,0.024998127
rendimiento_30m,-0.008183091,0.011060252,-0.0006641217,0.011060252
volatilidad_30m,-0.05356316,-0.1934141,0.08173176,0.1934141
desviacion_media_cierre_30m,0.035748802,0.03145207,-0.015226732,0.035748802
volumen_relativo_30m,-0.033817068,0.032473553,-0.029746797,0.033817068
operaciones_relativas_30m,-0.057346564,-0.014143547,0.04150885,0.057346564
rendimiento_60m,0.005520954,0.025587223,-0.012503126,0.025587223
volatilidad_60m,-0.013356881,-0.022623355,-0.00043365313,0.022623355
desviacion_media_cierre_60m,-0.013948693,-0.007663964,0.005024374,0.013948693
volumen_relativo_60m,-0.017222364,-0.043241918,-0.019527366,0.043241918
operaciones_relativas_60m,-0.13852173,0.0045022885,0.043020997,0.13852173
rendimiento_240m,0.065003015,-0.014553904,-0.04251174,0.065003015
volatilidad_240m,0.050014514,-0.57627726,0.34241384,0.57627726
desviacion_media_cierre_240m,0.076527655,0.045313284,-0.12890634,0.12890634
volumen_relativo_240m,0.0320986,-0.06115864,-0.10825394,0.10825394
operaciones_relativas_240m,0.12941103,-0.11637774,-0.09324937,0.12941103
minuto_dia_seno,-0.023508845,0.040462352,-0.029879883,0.040462352
minuto_dia_coseno,0.013817787,0.10376321,-0.083942585,0.10376321
dia_semana_seno,0.018459138,-0.06996107,0.10229668,0.10229668
dia_semana_coseno,0.0035611768,-0.021699471,0.024284925,0.024284925
otro_rendimiento_1m,0.0099912165,-0.031996425,0.07449958,0.07449958
divergencia_rendimiento_1m,0.020848487,-0.020937612,-0.014578313,0.020937612
otro_rendimiento_5m,-0.0130624045,-0.00072757434,-0.003085762,0.0130624045
divergencia_rendimiento_5m,0.009256326,0.010902675,-0.0044245888,0.010902675
otro_rendimiento_15m,-0.011927081,-0.0065520215,-0.010398357,0.011927081
divergencia_rendimiento_15m,-0.011743209,0.0021068186,0.017901938,0.017901938
otro_rendimiento_30m,-0.0014213901,0.0041543413,-0.00011397724,0.0041543413
divergencia_rendimiento_30m,-0.013716548,0.015200455,-0.0011134079,0.015200455
otro_rendimiento_60m,-0.03681773,0.012024014,0.021459013,0.03681773
divergencia_rendimiento_60m,0.06496199,0.03128235,-0.055660438,0.06496199
otro_rendimiento_240m,0.020155774,-0.01007854,-0.0005038125,0.020155774
divergencia_rendimiento_240m,0.09335454,-0.012810324,-0.0794591,0.09335454
otro_volatilidad_60m,-0.098321006,-0.12486791,0.12390928,0.12486791
ratio_volatilidad_60m,-0.0058776587,0.08896703,-0.17222731,0.17222731
otro_volatilidad_240m,0.22810568,0.08688036,-0.40364343,0.40364343
ratio_volatilidad_240m,0.25516897,-0.20322265,-0.06126396,0.25516897
correlacion_btc_eth_60m,0.07411199,0.040915623,-0.044126272,0.07411199
beta_propio_otro_60m,0.005445305,-0.06871734,0.14468119,0.14468119
residual_propio_otro_60m,-0.06276548,-0.0883381,0.090748325,0.090748325
correlacion_btc_eth_240m,0.09806829,-0.049043745,0.03595865,0.09806829
beta_propio_otro_240m,-0.2734589,0.25952944,-0.0035604925,0.2734589
residual_propio_otro_240m,-0.08442045,0.042410884,0.051251747,0.08442045
correlacion_btc_eth_1440m,0.0016001746,-0.07275623,0.07856698,0.07856698
beta_propio_otro_1440m,0.089460306,-0.08781319,0.057537004,0.089460306
residual_propio_otro_1440m,-0.02560398,0.021226568,0.009977565,0.02560398
zscore_divergencia_240m,0.0050696214,-0.03601488,0.04229514,0.04229514
zscore_divergencia_1440m,-0.017582221,0.043961108,0.0065132314,0.043961108
