variable,coeficiente_BAJA,coeficiente_NEUTRAL,coeficiente_SUBE,maximo_absoluto
rango_relativo,-0.061889682,-0.18092047,0.09089858,0.18092047
cuerpo_relativo,-0.03542122,0.10060216,-0.15744811,0.15744811
mecha_superior_relativa,-0.024026606,-0.028992485,0.034181822,0.034181822
mecha_inferior_relativa,-0.009026783,-0.010581046,0.030339273,0.030339273
rendimiento_1m,0.017184172,-0.03868361,0.06648015,0.06648015
rendimiento_5m,-0.0039891875,0.014505203,0.0048953067,0.014505203
volatilidad_5m,0.01436349,-0.03204543,0.016177064,0.03204543
desviacion_media_cierre_5m,0.016982613,-0.037085645,0.004710596,0.037085645
volumen_relativo_5m,0.015037834,-0.011455407,0.026407009,0.026407009
operaciones_relativas_5m,0.006161798,0.048586085,-0.03438825,0.048586085
rendimiento_15m,-0.007329688,-0.0011786913,0.0033014996,0.007329688
volatilidad_15m,-0.0121120745,-0.12339924,0.03679467,0.12339924
desviacion_media_cierre_15m,0.017994473,0.012518898,0.0011957538,0.017994473
volumen_relativo_15m,-0.0011159381,0.038863476,0.014463323,0.038863476
operaciones_relativas_15m,-0.004805734,-0.037810653,-0.0008502265,0.037810653
rendimiento_30m,-0.035375614,0.022720594,0.008314089,0.035375614
volatilidad_30m,-0.030576272,-0.1645587,0.08141204,0.1645587
desviacion_media_cierre_30m,0.016640645,0.0038312352,-0.0369928,0.0369928
volumen_relativo_30m,-0.015237586,0.038477335,-0.050089158,0.050089158
operaciones_relativas_30m,-0.042780682,-0.0029958654,0.051121864,0.051121864
rendimiento_60m,-0.030287724,0.018349292,0.00043408872,0.030287724
volatilidad_60m,-0.021610685,-0.035188705,-0.00479214,0.035188705
desviacion_media_cierre_60m,0.0044360193,0.019100206,0.012166286,0.019100206
volumen_relativo_60m,-0.029257385,-0.07183398,-0.023488153,0.07183398
operaciones_relativas_60m,-0.10220648,0.017840233,0.02972548,0.10220648
rendimiento_240m,0.060380694,-0.02501962,-0.038644746,0.060380694
volatilidad_240m,0.039269812,-0.5734223,0.3248439,0.5734223
desviacion_media_cierre_240m,0.060462613,0.06568267,-0.113679886,0.113679886
volumen_relativo_240m,0.038431555,-0.05324396,-0.06504471,0.06504471
operaciones_relativas_240m,0.12673463,-0.1048358,-0.100494966,0.12673463
minuto_dia_seno,-0.028393477,0.038546257,-0.02857084,0.038546257
minuto_dia_coseno,0.0051993127,0.101833574,-0.08071274,0.101833574
dia_semana_seno,0.017888354,-0.07512385,0.09087937,0.09087937
dia_semana_coseno,-0.004118575,-0.022308176,0.026011027,0.026011027
otro_rendimiento_1m,0.011609286,-0.038610302,0.064187944,0.064187944
divergencia_rendimiento_1m,0.0150662325,-0.0155049255,0.02983994,0.02983994
divergencia_rendimiento_60m,0.08489185,0.009121454,-0.047534093,0.08489185
otro_rendimiento_240m,0.020985354,-0.0150048025,0.0031306357,0.020985354
divergencia_rendimiento_240m,0.08340982,-0.025407257,-0.07743922,0.08340982
otro_volatilidad_60m,-0.08618705,-0.101133265,0.11771862,0.11771862
ratio_volatilidad_60m,-0.018764658,0.097605556,-0.12101699,0.12101699
otro_volatilidad_240m,0.22448072,0.08580194,-0.36570373,0.36570373
ratio_volatilidad_240m,0.23133779,-0.19180027,-0.04136735,0.23133779
correlacion_btc_eth_60m,0.06559864,0.026635367,-0.021948807,0.06559864
beta_propio_otro_60m,0.018490423,-0.062265813,0.08195773,0.08195773
residual_propio_otro_60m,-0.0634521,-0.058508895,0.06874718,0.06874718
correlacion_btc_eth_240m,0.07764218,-0.034241717,0.049049962,0.07764218
beta_propio_otro_240m,-0.25047228,0.23587276,-0.01190266,0.25047228
residual_propio_otro_240m,-0.07925712,0.04882952,0.04893466,0.07925712
correlacion_btc_eth_1440m,0.0103247175,-0.064136766,0.070783615,0.070783615
beta_propio_otro_1440m,0.08194251,-0.0909446,0.0578618,0.0909446
residual_propio_otro_1440m,-0.025236882,0.01807326,0.010161105,0.025236882
