mes,muestras,accuracy,balanced_accuracy,f1_macro,precision_baja,recall_baja,f1_baja,soporte_baja,precision_sube,recall_sube,f1_sube,soporte_sube,tasa_predicha_baja,tasa_predicha_sube
2023-01,44640,0.5728270609318996,0.3612412562037713,0.3200778472276707,0.2382187635105923,0.07332002661343978,0.11212861212861212,7515,0.4970911441499677,0.06740883590462833,0.11871864145117715,11408,0.051814516129032255,0.034655017921146954
2023-02,40320,0.5295882936507936,0.3598257903690209,0.3072557857489104,0.27535566773749426,0.06353240152477764,0.10324356878602771,9444,0.4060500290866783,0.07257980659249245,0.12314749470712774,9617,0.05404265873015873,0.04263392857142857
2023-03,42640,0.486796435272045,0.3651562431669082,0.31839027950318605,0.32084071916941,0.12344115354637568,0.17828748328994581,10264,0.3261526832955404,0.07421102416372861,0.1209106830122592,11629,0.0926125703564728,0.062054409005628516
2023-04,43200,0.5373842592592593,0.3499962203718645,0.28943101065434906,0.23887147335423198,0.03803154322220004,0.06561611986566779,10018,0.4768211920529801,0.058560390402602684,0.10431003259688519,9836,0.0369212962962963,0.027962962962962964
2023-05,44640,0.6625448028673835,0.35242394347122635,0.31145715840424265,0.26461211477151964,0.03235867446393762,0.05766558591940713,7695,0.6724137931034483,0.04202020202020202,0.0790974775003169,7425,0.02107974910394265,0.01039426523297491
2023-06,43200,0.6058564814814815,0.3420819806451814,0.28475935369939775,0.2612872238232469,0.032949727437916417,0.058519793459552494,8255,0.28343949044585987,0.020965842167255593,0.03904364992322878,8490,0.02409722222222222,0.014537037037037038
2023-07,44640,0.7494399641577061,0.33986438077447395,0.30502564752718525,0.1644100580270793,0.014280913978494623,0.026279177616324007,5952,0.425531914893617,0.01586357326987904,0.030586885872682087,5043,0.011581541218637992,0.004211469534050179
2023-08,44640,0.7677195340501792,0.35636514560338073,0.33989747709052476,0.3076923076923077,0.03857900659058029,0.06856163405227825,6221,0.4212962962962963,0.04449877750611247,0.0804953560371517,4090,0.01747311827956989,0.00967741935483871
2023-09,43200,0.7575231481481481,0.34302433257199566,0.31203319399521584,0.2735229759299781,0.025453064548971695,0.046572280178837556,4911,0.3303964757709251,0.013814698839565298,0.02652050919377652,5429,0.010578703703703703,0.00525462962962963
2023-10,44640,0.6182795698924731,0.3415272230816219,0.2885342926502588,0.19894179894179895,0.0230505149583129,0.0413141413031535,8156,0.337468982630273,0.032037691401649,0.058519793459552494,8490,0.021169354838709676,0.018055555555555554
2023-11,43200,0.4948611111111111,0.3472205780985895,0.2656883465599625,0.35824345146379044,0.045989516368311736,0.0815145937417828,10111,0.4043528064146621,0.029915254237288136,0.05570898761145743,11800,0.030046296296296297,0.02020833333333333
2023-12,44400,0.4724774774774775,0.33849896946348723,0.2426604827017582,0.2176795580110497,0.018051864748465134,0.033338974445760707,10913,0.3855421686746988,0.028373367725294214,0.05285682108266387,12406,0.020382882882882883,0.020563063063063065
