variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_240m,0.59423643,0.59423643
volatilidad_240m,-0.42618793,0.42618793
correlacion_btc_eth_1440m,0.17638692,0.17638692
desviacion_media_cierre_240m,-0.14941145,0.14941145
beta_propio_otro_240m,0.14845237,0.14845237
rango_relativo,0.14529726,0.14529726
divergencia_rendimiento_240m,0.13150086,0.13150086
desviacion_media_cierre_30m,-0.0967518,0.0967518
dia_semana_seno,0.09476927,0.09476927
ratio_volatilidad_240m,0.09333926,0.09333926
desviacion_media_cierre_60m,0.09123382,0.09123382
cuerpo_relativo,-0.089941315,0.089941315
volatilidad_15m,0.088560656,0.088560656
residual_propio_otro_240m,-0.0831293,0.0831293
volatilidad_60m,0.08188148,0.08188148
otro_volatilidad_60m,0.071729586,0.071729586
volatilidad_30m,0.067560025,0.067560025
mecha_superior_relativa,0.056564923,0.056564923
residual_propio_otro_1440m,0.05451273,0.05451273
volumen_relativo_15m,-0.052339185,0.052339185
correlacion_btc_eth_240m,-0.052212182,0.052212182
minuto_dia_coseno,-0.04941287,0.04941287
beta_propio_otro_1440m,-0.049308974,0.049308974
operaciones_relativas_240m,0.047460187,0.047460187
rendimiento_1m,0.046816625,0.046816625
volumen_relativo_240m,-0.043302894,0.043302894
rendimiento_240m,0.042709056,0.042709056
operaciones_relativas_30m,0.040484726,0.040484726
volatilidad_5m,0.03949752,0.03949752
otro_rendimiento_240m,-0.03684414,0.03684414
correlacion_btc_eth_60m,0.034255076,0.034255076
operaciones_relativas_60m,0.033746302,0.033746302
dia_semana_coseno,0.033492994,0.033492994
otro_rendimiento_1m,0.03341055,0.03341055
volumen_relativo_5m,0.03315418,0.03315418
volumen_relativo_60m,0.031261843,0.031261843
operaciones_relativas_5m,-0.030500485,0.030500485
rendimiento_30m,0.029354379,0.029354379
rendimiento_60m,-0.028487712,0.028487712
operaciones_relativas_15m,-0.024661394,0.024661394
divergencia_rendimiento_60m,-0.022764359,0.022764359
mecha_inferior_relativa,0.020843456,0.020843456
rendimiento_5m,-0.020587526,0.020587526
ratio_volatilidad_60m,0.020534027,0.020534027
rendimiento_15m,-0.01744087,0.01744087
desviacion_media_cierre_15m,0.014070438,0.014070438
volumen_relativo_30m,0.012072547,0.012072547
minuto_dia_seno,-0.011919269,0.011919269
desviacion_media_cierre_5m,0.010922424,0.010922424
divergencia_rendimiento_1m,0.0064828773,0.0064828773
residual_propio_otro_60m,0.004358568,0.004358568
beta_propio_otro_60m,-0.0012289669,0.0012289669
