variable,coeficiente,coeficiente_absoluto
beta_propio_otro_240m,-0.49073434,0.49073434
ratio_volatilidad_240m,0.43600684,0.43600684
cuerpos_negativos_acumulados_60m,0.3143863,0.3143863
correlacion_btc_eth_240m,0.3099251,0.3099251
posicion_rango_1440m,0.25683898,0.25683898
ratio_semivolatilidad_60m,-0.22445686,0.22445686
semivolatilidad_negativa_60m,-0.19668931,0.19668931
divergencia_rendimiento_240m,0.18353418,0.18353418
residual_propio_otro_240m,-0.1749299,0.1749299
distancia_minimo_240m,-0.1691121,0.1691121
dia_semana_seno,0.16524203,0.16524203
distancia_maximo_1440m,-0.1609594,0.1609594
otro_volatilidad_60m,-0.147152,0.147152
semivolatilidad_positiva_240m,0.1418645,0.1418645
volatilidad_240m,0.14084376,0.14084376
rendimiento_240m,0.1407722,0.1407722
expansion_volatilidad_60m_240m,0.12897722,0.12897722
volatilidad_15m,-0.12670535,0.12670535
aceleracion_60m_240m,0.12664288,0.12664288
desviacion_media_cierre_30m,-0.1219538,0.1219538
minuto_dia_coseno,-0.117256336,0.117256336
correlacion_btc_eth_60m,0.115097314,0.115097314
cuerpos_negativos_acumulados_15m,0.111554556,0.111554556
aceleracion_15m_60m,0.10813344,0.10813344
porcentaje_velas_positivas_60m,0.10768095,0.10768095
operaciones_relativas_60m,0.09806106,0.09806106
cuerpos_positivos_acumulados_15m,-0.09370818,0.09370818
desviacion_media_cierre_240m,0.0931728,0.0931728
semivolatilidad_negativa_240m,0.0869803,0.0869803
beta_propio_otro_60m,-0.07647642,0.07647642
divergencia_rendimiento_60m,-0.06593076,0.06593076
distancia_maximo_60m,0.06256264,0.06256264
dia_semana_coseno,0.061532922,0.061532922
expansion_volatilidad_15m_60m,0.06009321,0.06009321
residual_propio_otro_60m,0.058857635,0.058857635
volatilidad_60m,0.05591988,0.05591988
cuerpos_positivos_acumulados_60m,-0.054774165,0.054774165
volumen_relativo_60m,-0.052201122,0.052201122
operaciones_relativas_5m,-0.051176082,0.051176082
pendiente_log_15m,0.04735436,0.04735436
cuerpo_relativo,-0.0470359,0.0470359
rendimiento_1m,0.045593556,0.045593556
desviacion_media_cierre_15m,-0.043861836,0.043861836
minuto_dia_seno,-0.041896746,0.041896746
pendiente_log_60m,-0.037206452,0.037206452
residual_propio_otro_1440m,0.036610596,0.036610596
ratio_volatilidad_60m,0.03121636,0.03121636
rendimiento_60m,-0.031116003,0.031116003
zscore_divergencia_1440m,-0.030891722,0.030891722
pendiente_log_240m,0.030087672,0.030087672
operaciones_relativas_30m,-0.028923929,0.028923929
volumen_relativo_30m,-0.028573204,0.028573204
volatilidad_5m,-0.027522381,0.027522381
volumen_relativo_5m,0.027239278,0.027239278
porcentaje_velas_positivas_15m,0.026989914,0.026989914
posicion_rango_60m,-0.026958223,0.026958223
otro_rendimiento_1m,0.026312482,0.026312482
operaciones_relativas_15m,0.0242256,0.0242256
r2_tendencia_60m,0.024136277,0.024136277
desviacion_media_cierre_5m,-0.023736488,0.023736488
beta_propio_otro_1440m,0.022200784,0.022200784
correlacion_btc_eth_1440m,0.020231334,0.020231334
divergencia_rendimiento_1m,0.01896276,0.01896276
ruptura_minimo_240m,-0.018942334,0.018942334
divergencia_rendimiento_30m,-0.017666465,0.017666465
rendimiento_30m,-0.01743491,0.01743491
aceleracion_5m_15m,0.016731905,0.016731905
desviacion_media_cierre_60m,0.016359774,0.016359774
semivolatilidad_positiva_60m,0.014967854,0.014967854
r2_tendencia_240m,0.014369931,0.014369931
operaciones_relativas_240m,-0.014043464,0.014043464
posicion_rango_240m,-0.01387698,0.01387698
ratio_semivolatilidad_240m,0.013833368,0.013833368
zscore_divergencia_240m,0.013723798,0.013723798
ruptura_maximo_60m,-0.013353592,0.013353592
otro_rendimiento_240m,0.013183473,0.013183473
distancia_minimo_1440m,0.012298917,0.012298917
volatilidad_30m,0.011986496,0.011986496
distancia_maximo_240m,0.010861966,0.010861966
proporcion_compradora_base,0.010074583,0.010074583
otro_rendimiento_60m,0.009966106,0.009966106
ruptura_maximo_240m,-0.009620214,0.009620214
divergencia_rendimiento_5m,-0.0077221533,0.0077221533
volumen_relativo_15m,0.0076678437,0.0076678437
divergencia_rendimiento_15m,-0.0071587563,0.0071587563
mecha_superior_relativa,0.006801106,0.006801106
proporcion_compradora_cotizacion,0.006493789,0.006493789
otro_rendimiento_15m,0.0063090147,0.0063090147
otro_rendimiento_30m,-0.0046035307,0.0046035307
otro_volatilidad_240m,-0.0042227907,0.0042227907
velas_positivas_consecutivas,-0.004158287,0.004158287
ruptura_minimo_60m,0.0035807737,0.0035807737
rendimiento_5m,-0.0034122346,0.0034122346
rendimiento_15m,0.0033179268,0.0033179268
rango_relativo,0.0026568072,0.0026568072
r2_tendencia_15m,0.0023669375,0.0023669375
distancia_minimo_60m,-0.0013275088,0.0013275088
otro_rendimiento_5m,0.0012762886,0.0012762886
mecha_inferior_relativa,-0.0006824022,0.0006824022
volumen_relativo_240m,-0.00020914362,0.00020914362
velas_negativas_consecutivas,0.00013541304,0.00013541304
