pliegue,modo_evaluacion,estrategia_id,es_control_v4_1,umbral_baja,minutos_minimos,condicion_salida,operaciones,precision_clasificacion,porcentaje_acierto_clasificacion,porcentaje_operaciones_positivas,retorno_bruto_medio,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto,duracion_media_minutos,porcentaje_salidas_anticipadas,perdida_media,peor_operacion,porcentaje_meses_positivos,concentracion_ganancias_mejores_5
validacion_2023,cohorte_v4_1,control_v4_1_fija_480m,True,,0,siempre,70,0.5,50.0,61.42857142857143,0.006191087265403583,0.005191087265403582,0.005219992298277299,1.8054006324372958,-0.08872424885244934,0.404172186676242,480.0,0.0,-0.016710161191529564,-0.07256705888112736,90.9090909090909,0.3928738474631184
validacion_2023,cohorte_v4_1,baja_032_min0_siempre,False,0.32,0,siempre,70,0.5,50.0,55.714285714285715,0.0018246616899316869,0.000824661689931686,0.0005313975428992155,1.173981260106443,-0.09145455134879932,0.0500713155957937,122.21428571428571,95.71428571428572,-0.01070310272903227,-0.041630399036745924,63.63636363636363,0.48664810705433115
validacion_2023,cohorte_v4_1,baja_032_min0_solo_beneficio_neto,False,0.32,0,solo_beneficio_neto,70,0.5,50.0,81.42857142857143,0.003315959761542128,0.002315959761542127,0.0016263100542908146,1.459774735503694,-0.09381296868680644,0.1577692633520955,245.65714285714284,71.42857142857143,-0.027123179242304674,-0.07256705888112736,81.81818181818183,0.46004451065944724
validacion_2023,cohorte_v4_1,baja_032_min30_siempre,False,0.32,30,siempre,70,0.5,50.0,58.57142857142858,0.002275565467266716,0.001275565467266715,0.0017327315312026812,1.2439090495662937,-0.12381683785171937,0.08240833197775954,151.78571428571428,94.28571428571428,-0.012623357490671231,-0.041630399036745924,63.63636363636363,0.420810412335857
validacion_2023,cohorte_v4_1,baja_032_min30_solo_beneficio_neto,False,0.32,30,solo_beneficio_neto,70,0.5,50.0,77.14285714285715,0.0039226554025540965,0.0029226554025540957,0.0025789214212403886,1.5536751629059213,-0.08248381194878096,0.20735877194316,283.14285714285717,67.14285714285714,-0.023094077977174547,-0.07256705888112736,81.81818181818183,0.412466620722499
validacion_2023,cohorte_v4_1,baja_032_min60_siempre,False,0.32,60,siempre,70,0.5,50.0,60.0,0.005540139634450855,0.004540139634450854,0.0026906099920244184,1.9376122641264635,-0.0679409681421268,0.3516080103761645,228.02857142857144,88.57142857142857,-0.012105589400221646,-0.041630399036745924,90.9090909090909,0.45669729225993444
validacion_2023,cohorte_v4_1,baja_032_min60_solo_beneficio_neto,False,0.32,60,solo_beneficio_neto,70,0.5,50.0,74.28571428571429,0.005522872923344214,0.004522872923344213,0.00418025907655606,1.8168499239516118,-0.0824838119487814,0.34359517703254605,334.5,61.42857142857143,-0.021532658254237218,-0.07256705888112736,90.9090909090909,0.42594161590897167
validacion_2023,cohorte_v4_1,baja_047_min0_siempre,False,0.47,0,siempre,70,0.5,50.0,55.714285714285715,0.001691800220825,0.0006918002208249992,0.001711574376690229,1.1403500556145703,-0.09793779740422492,0.041723157199772265,176.18571428571428,71.42857142857143,-0.011130238061216616,-0.05309935740660143,45.45454545454545,0.3285946970038774
validacion_2023,cohorte_v4_1,baja_047_min0_solo_beneficio_neto,False,0.47,0,solo_beneficio_neto,70,0.5,50.0,72.85714285714285,0.002894638414369052,0.0018946384143690511,0.003761566839918019,1.4193590131570288,-0.1008149604182278,0.13083775664095598,271.6714285714286,52.85714285714286,-0.01664503819109991,-0.07256705888112736,63.63636363636363,0.2880276816790439
validacion_2023,cohorte_v4_1,baja_047_min30_siempre,False,0.47,30,siempre,70,0.5,50.0,61.42857142857143,0.0029386877790136393,0.0019386877790136387,0.0036951276447834145,1.3954750191535927,-0.07531419490120617,0.13514554283038893,272.2857142857143,58.57142857142858,-0.01270934276955805,-0.05472006416596076,72.72727272727273,0.27474948381908326
